Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,44,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
LTS,44,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
LTS,44,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
LTS,44,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
LTS,44,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,136.627,120.82,,,120.82,,,,,,136.627,,Energy
LTS,44,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,137.332,118.17,,,118.17,,,,,,130.7924,,Energy
LTS,44,,DIST_DSL,,2027,,7.34106,7.34106,7.34106,7.34106,,,,140.869,117.946,,,117.946,,,,,,127.7723,,Energy
LTS,44,,DIST_DSL,,2028,,7.55523,7.55523,7.55523,7.55523,,,,142.356,115.979,,,115.979,,,,,,122.9725,,Energy
LTS,44,,DIST_DSL,,2029,,7.82706,7.82706,7.82706,7.82706,,,,144.761,114.76,,,114.76,,,,,,119.0952,,Energy
LTS,44,,DIST_DSL,,2030,,8.06437,8.06437,8.06437,8.06437,,,,146.351,112.893,,,112.893,,,,,,114.6698,,Energy
LTS,44,,DIST_DSL,,2031,,8.00296,8.00296,8.00296,8.00296,,,,142.459,106.928,,,106.928,,,,,,106.3051,,Energy
LTS,44,,DIST_DSL,,2032,,7.92343,7.92343,7.92343,7.92343,,,,138.293,101.004,,,101.004,,,,,,98.2823,,Energy
LTS,44,,DIST_DSL,,2033,,7.80071,7.80071,7.80071,7.80071,,,,133.444,94.8349,,,94.8349,,,,,,90.3202,,Energy
LTS,44,,DIST_DSL,,2034,,7.69793,7.69793,7.69793,7.69793,,,,129.014,89.2153,,,89.2153,,,,,,83.1636,,Energy
LTS,44,,DIST_DSL,,2035,,7.60688,7.60688,7.60688,7.60688,,,,124.847,84.0072,,,84.0072,,,,,,76.6452,,Energy
LTS,44,,DIST_DSL,,2036,,7.5063,7.5063,7.5063,7.5063,,,,120.591,78.9562,,,78.9562,,,,,,70.5071,,Energy
LTS,44,,DIST_DSL,,2037,,7.40765,7.40765,7.40765,7.40765,,,,116.435,74.1803,,,74.1803,,,,,,64.8354,,Energy
LTS,44,,DIST_DSL,,2038,,7.30791,7.30791,7.30791,7.30791,,,,112.331,69.6365,,,69.6365,,,,,,59.5715,,Energy
LTS,44,,DIST_DSL,,2039,,7.23861,7.23861,7.23861,7.23861,,,,108.753,65.6014,,,65.6014,,,,,,54.9277,,Energy
LTS,44,,DIST_DSL,,2040,,7.17546,7.17546,7.17546,7.17546,,,,105.313,61.8141,,,61.8141,,,,,,50.6574,,Energy
LTS,44,,DIST_DSL,,2041,,7.25515,7.25515,7.25515,7.25515,,,,103.964,59.3777,,,59.3777,,,,,,47.6271,,Energy
LTS,44,,DIST_DSL,,2042,,7.29,7.29,7.29,7.29,,,,101.933,56.6485,,,56.6485,,,,,,44.473,,Energy
LTS,44,,DIST_DSL,,2043,,7.37208,7.37208,7.37208,7.37208,,,,100.522,54.3585,,,54.3585,,,,,,41.769,,Energy
LTS,44,,DIST_DSL,,2044,,7.41192,7.41192,7.41192,7.41192,,,,98.4926,51.8256,,,51.8256,,,,,,38.9769,,Energy
LTS,44,,DIST_DSL,,2045,,7.43997,7.43997,7.43997,7.43997,,,,96.2828,49.2973,,,49.2973,,,,,,36.288,,Energy
LTS,44,,DIST_DSL,,2046,,7.47242,7.47242,7.47242,7.47242,,,,94.1092,46.8856,,,46.8856,,,,,,33.7798,,Energy
LTS,44,,DIST_DSL,,2047,,7.50776,7.50776,7.50776,7.50776,,,,91.9483,44.5744,,,44.5744,,,,,,31.4325,,Energy
LTS,44,,DIST_DSL,,2048,,7.54935,7.54935,7.54935,7.54935,,,,89.8372,42.3771,,,42.3771,,,,,,29.2484,,Energy
LTS,44,,DIST_DSL,,2049,,7.57387,7.57387,7.57387,7.57387,,,,87.5002,40.1622,,,40.1622,,,,,,27.131,,Energy
LTS,44,,DIST_DSL,,2050,,7.58001,7.58001,7.58001,7.58001,,,,84.9401,37.9363,,,37.9363,,,,,,25.083,,Energy
LTS,44,,DIST_DSL,,2051,,7.39497,7.39497,7.39497,7.39497,,,,80.2998,34.8972,,,34.8972,,,,,,22.5836,,Energy
