Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
LTS,1,2021,DIST_DSL,,,9.3252953,,,,,,,,,,,,,9.3252953,,,,,9.3252953,,,9.3252953,,,,,,
LTS,1,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
LTS,1,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
LTS,1,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
LTS,1,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
LTS,1,2026,DIST_DSL,,,11.116983,,,,,,,,,,,,,11.116983,,,,,11.116983,,,11.116983,,,,,,
LTS,1,2027,DIST_DSL,,,11.432456,,,,,,,,,,,,,11.432456,,,,,11.432456,,,11.432456,,,,,,
LTS,1,2028,DIST_DSL,,,11.809482,,,,,,,,,,,,,11.809482,,,,,11.809482,,,11.809482,,,,,,
LTS,1,2029,DIST_DSL,,,12.170936,,,,,,,,,,,,,12.170936,,,,,12.170936,,,12.170936,,,,,,
LTS,1,2030,DIST_DSL,,,12.497375,,,,,,,,,,,,,12.497375,,,,,12.497375,,,12.497375,,,,,,
LTS,1,2031,DIST_DSL,,,12.521686,,,,,,,,,,,,,12.521686,,,,,12.521686,,,12.521686,,,,,,
LTS,1,2032,DIST_DSL,,,12.529148,,,,,,,,,,,,,12.529148,,,,,12.529148,,,12.529148,,,,,,
LTS,1,2033,DIST_DSL,,,12.492027,,,,,,,,,,,,,12.492027,,,,,12.492027,,,12.492027,,,,,,
LTS,1,2034,DIST_DSL,,,12.476736,,,,,,,,,,,,,12.476736,,,,,12.476736,,,12.476736,,,,,,
LTS,1,2035,DIST_DSL,,,12.471539,,,,,,,,,,,,,12.471539,,,,,12.471539,,,12.471539,,,,,,
LTS,1,2036,DIST_DSL,,,12.455756,,,,,,,,,,,,,12.455756,,,,,12.455756,,,12.455756,,,,,,
LTS,1,2037,DIST_DSL,,,12.439197,,,,,,,,,,,,,12.439197,,,,,12.439197,,,12.439197,,,,,,
LTS,1,2038,DIST_DSL,,,12.423615,,,,,,,,,,,,,12.423615,,,,,12.423615,,,12.423615,,,,,,
LTS,1,2039,DIST_DSL,,,12.440638,,,,,,,,,,,,,12.440638,,,,,12.440638,,,12.440638,,,,,,
LTS,1,2040,DIST_DSL,,,12.464887,,,,,,,,,,,,,12.464887,,,,,12.464887,,,12.464887,,,,,,
LTS,1,2041,DIST_DSL,,,12.630041,,,,,,,,,,,,,12.630041,,,,,12.630041,,,12.630041,,,,,,
LTS,1,2042,DIST_DSL,,,12.75173,,,,,,,,,,,,,12.75173,,,,,12.75173,,,12.75173,,,,,,
LTS,1,2043,DIST_DSL,,,12.924913,,,,,,,,,,,,,12.924913,,,,,12.924913,,,12.924913,,,,,,
LTS,1,2044,DIST_DSL,,,13.057538,,,,,,,,,,,,,13.057538,,,,,13.057538,,,13.057538,,,,,,
LTS,1,2045,DIST_DSL,,,13.178493,,,,,,,,,,,,,13.178493,,,,,13.178493,,,13.178493,,,,,,
LTS,1,2046,DIST_DSL,,,13.308852,,,,,,,,,,,,,13.308852,,,,,13.308852,,,13.308852,,,,,,
LTS,1,2047,DIST_DSL,,,13.442795,,,,,,,,,,,,,13.442795,,,,,13.442795,,,13.442795,,,,,,
LTS,1,2048,DIST_DSL,,,13.585276,,,,,,,,,,,,,13.585276,,,,,13.585276,,,13.585276,,,,,,
LTS,1,2049,DIST_DSL,,,13.712952,,,,,,,,,,,,,13.712952,,,,,13.712952,,,13.712952,,,,,,
LTS,1,2050,DIST_DSL,,,13.820757,,,,,,,,,,,,,13.820757,,,,,13.820757,,,13.820757,,,,,,
LTS,1,2051,DIST_DSL,,,13.74348,,,,,,,,,,,,,13.74348,,,,,13.74348,,,13.74348,,,,,,
LTS,1,2052,DIST_DSL,,,13.609386,,,,,,,,,,,,,13.609386,,,,,13.609386,,,13.609386,,,,,,
LTS,1,2053,DIST_DSL,,,13.496002,,,,,,,,,,,,,13.496002,,,,,13.496002,,,13.496002,,,,,,
LTS,1,2054,DIST_DSL,,,13.441912,,,,,,,,,,,,,13.441912,,,,,13.441912,,,13.441912,,,,,,
LTS,1,2055,DIST_DSL,,,13.635516,,,,,,,,,,,,,13.635516,,,,,13.635516,,,13.635516,,,,,,
LTS,1,2021,DIST_GSL,,,20.866539,,,,,,,,,,,,,20.866539,,,,,20.866539,,,20.866539,,,,,,
LTS,1,2022,DIST_GSL,,,22.576075,,,,,,,,,,,,,22.576075,,,,,22.576075,,,22.576075,,,,,,
LTS,1,2023,DIST_GSL,,,23.629716,,,,,,,,,,,,,23.629716,,,,,23.629716,,,23.629716,,,,,,
LTS,1,2024,DIST_GSL,,,24.082654,,,,,,,,,,,,,24.082654,,,,,24.082654,,,24.082654,,,,,,
LTS,1,2025,DIST_GSL,,,24.54924,,,,,,,,,,,,,24.54924,,,,,24.54924,,,24.54924,,,,,,
LTS,1,2026,DIST_GSL,,,22.327151,,,,,,,,,,,,,22.327151,,,,,22.327151,,,22.327151,,,,,,
LTS,1,2027,DIST_GSL,,,20.849398,,,,,,,,,,,,,20.849398,,,,,20.849398,,,20.849398,,,,,,
LTS,1,2028,DIST_GSL,,,19.372355,,,,,,,,,,,,,19.372355,,,,,19.372355,,,19.372355,,,,,,
LTS,1,2029,DIST_GSL,,,17.895405,,,,,,,,,,,,,17.895405,,,,,17.895405,,,17.895405,,,,,,
LTS,1,2030,DIST_GSL,,,16.429675,,,,,,,,,,,,,16.429675,,,,,16.429675,,,16.429675,,,,,,
LTS,1,2031,DIST_GSL,,,16.184254,,,,,,,,,,,,,16.184254,,,,,16.184254,,,16.184254,,,,,,
LTS,1,2032,DIST_GSL,,,15.924019,,,,,,,,,,,,,15.924019,,,,,15.924019,,,15.924019,,,,,,
LTS,1,2033,DIST_GSL,,,15.67587,,,,,,,,,,,,,15.67587,,,,,15.67587,,,15.67587,,,,,,
LTS,1,2034,DIST_GSL,,,15.386311,,,,,,,,,,,,,15.386311,,,,,15.386311,,,15.386311,,,,,,
