Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,22,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
LTS,22,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
LTS,22,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
LTS,22,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
LTS,22,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,136.627,120.82,,,120.82,,,,,,136.627,,Energy
LTS,22,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,137.459,118.279,,,118.279,,,,,,130.9133,,Energy
LTS,22,,DIST_DSL,,2027,,7.43428,7.43428,7.43428,7.43428,,,,142.928,119.67,,,119.67,,,,,,129.6399,,Energy
LTS,22,,DIST_DSL,,2028,,7.74696,7.74696,7.74696,7.74696,,,,146.39,119.266,,,119.266,,,,,,126.4572,,Energy
LTS,22,,DIST_DSL,,2029,,8.12093,8.12093,8.12093,8.12093,,,,150.786,119.536,,,119.536,,,,,,124.052,,Energy
LTS,22,,DIST_DSL,,2030,,8.4636,8.4636,8.4636,8.4636,,,,154.364,119.074,,,119.074,,,,,,120.9482,,Energy
LTS,22,,DIST_DSL,,2031,,8.49876,8.49876,8.49876,8.49876,,,,152.209,114.247,,,114.247,,,,,,113.5807,,Energy
LTS,22,,DIST_DSL,,2032,,8.52027,8.52027,8.52027,8.52027,,,,149.792,109.402,,,109.402,,,,,,106.4544,,Energy
LTS,22,,DIST_DSL,,2033,,8.49332,8.49332,8.49332,8.49332,,,,146.524,104.131,,,104.131,,,,,,99.1732,,Energy
LTS,22,,DIST_DSL,,2034,,8.50457,8.50457,8.50457,8.50457,,,,143.921,99.5242,,,99.5242,,,,,,92.7728,,Energy
LTS,22,,DIST_DSL,,2035,,8.5098,8.5098,8.5098,8.5098,,,,141.21,95.0173,,,95.0173,,,,,,86.6907,,Energy
LTS,22,,DIST_DSL,,2036,,8.50778,8.50778,8.50778,8.50778,,,,138.378,90.6023,,,90.6023,,,,,,80.9068,,Energy
LTS,22,,DIST_DSL,,2037,,8.50455,8.50455,8.50455,8.50455,,,,135.528,86.3441,,,86.3441,,,,,,75.4671,,Energy
