Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,36,,COMPOST,,2026,,0.0142998,0.0142998,0.0142998,0.0142998,,,0.525516,0.357657,,,0.900885,0.589982,0.900885,,0.400361,,,,-0.835678,-0.547278,,,,,,,,0.5003,,0.8577,0.8577,,nan,,nan,nan,
LTS,36,,COMPOST,,2027,,0.0285717,0.0285717,0.0285717,0.0285717,,,1.05001,0.661685,,,1.80002,1.0915,1.80002,,0.740689,,,,-1.66973,-1.01249,,,,,,,,0.9517,,1.6314,1.6314,,nan,,nan,nan,
LTS,36,,COMPOST,,2028,,0.0429135,0.0429135,0.0429135,0.0429135,,,1.57707,0.920206,,,2.70355,1.51795,2.70355,,1.03008,,,,-2.50787,-1.40808,,,,,,,,1.3608,,2.3328,2.3328,,nan,,nan,nan,
LTS,36,,COMPOST,,2029,,0.0571259,0.0571259,0.0571259,0.0571259,,,2.09938,1.13423,,,3.59893,1.87099,3.59893,,1.26965,,,,-3.33844,-1.73557,,,,,,,,1.7245,,2.9563,2.9563,,nan,,nan,nan,
LTS,36,,COMPOST,,2030,,0.0713161,0.0713161,0.0713161,0.0713161,,,2.62087,1.31109,,,4.49291,2.16273,4.49291,,1.46763,,,,-4.16771,-2.00619,,,,,,,,2.0496,,3.5136,3.5136,,nan,,nan,nan,
LTS,36,,COMPOST,,2031,,0.0856552,0.0856552,0.0856552,0.0856552,,,3.14783,1.45805,,,5.39628,2.40517,5.39628,,1.63214,,,,-5.00569,-2.23108,,,,,,,,2.3436,,4.0176,4.0176,,nan,,nan,nan,
LTS,36,,COMPOST,,2032,,0.100025,0.100025,0.100025,0.100025,,,3.67592,1.57654,,,6.30158,2.60062,6.30158,,1.76477,,,,-5.84546,-2.41238,,,,,,,,2.6055,,4.4665,4.4665,,nan,,nan,nan,
LTS,36,,COMPOST,,2033,,0.114425,0.114425,0.114425,0.114425,,,4.20512,1.66991,,,7.20878,2.75464,7.20878,,1.8693,,,,-6.687,-2.55526,,,,,,,,2.8375,,4.8643,4.8643,,nan,,nan,nan,
LTS,36,,COMPOST,,2034,,0.128956,0.128956,0.128956,0.128956,,,4.73912,1.74256,,,8.1242,2.87449,8.1242,,1.95062,,,,-7.53617,-2.66643,,,,,,,,3.0444,,5.219,5.219,,nan,,nan,nan,
LTS,36,,COMPOST,,2035,,0.143415,0.143415,0.143415,0.143415,,,5.27049,1.7944,,,9.03513,2.95999,9.03513,,2.00864,,,,-8.38115,-2.74574,,,,,,,,3.2233,,5.5257,5.5257,,nan,,nan,nan,
LTS,36,,COMPOST,,2036,,0.158204,0.158204,0.158204,0.158204,,,5.81398,1.83281,,,9.96683,3.02335,9.96683,,2.05164,,,,-9.24542,-2.80452,,,,,,,,3.3851,,5.803,5.803,,nan,,nan,nan,
LTS,36,,COMPOST,,2037,,0.173074,0.173074,0.173074,0.173074,,,6.36046,1.85656,,,10.9037,3.06253,10.9037,,2.07823,,,,-10.1144,-2.84086,,,,,,,,3.5256,,6.0439,6.0439,,nan,,nan,nan,
LTS,36,,COMPOST,,2038,,0.188024,0.188024,0.188024,0.188024,,,6.9099,1.86753,,,11.8455,3.08063,11.8455,,2.09051,,,,-10.9882,-2.85765,,,,,,,,3.6464,,6.2509,6.2509,,nan,,nan,nan,
LTS,36,,COMPOST,,2039,,0.203157,0.203157,0.203157,0.203157,,,7.46601,1.86836,,,12.7989,3.082,12.7989,,2.09144,,,,-11.8725,-2.85892,,,,,,,,3.7508,,6.4299,6.4299,,nan,,nan,nan,
LTS,36,,COMPOST,,2040,,0.218266,0.218266,0.218266,0.218266,,,8.02127,1.85863,,,13.7508,3.06594,13.7508,,2.08054,,,,-12.7555,-2.84402,,,,,,,,3.8364,,6.5767,6.5767,,nan,,nan,nan,
LTS,36,,COMPOST,,2041,,0.233836,0.233836,0.233836,0.233836,,,8.59349,1.84372,,,14.7317,3.04134,14.7317,,2.06385,,,,-13.6654,-2.82121,,,,,,,,3.9129,,6.7078,6.7078,,nan,,nan,nan,
LTS,36,,COMPOST,,2042,,0.249552,0.249552,0.249552,0.249552,,,9.17104,1.82188,,,15.7218,3.00532,15.7218,,2.03941,,,,-14.5838,-2.78779,,,,,,,,3.9755,,6.8151,6.8151,,nan,,nan,nan,
LTS,36,,COMPOST,,2043,,0.265374,0.265374,0.265374,0.265374,,,9.75251,1.79388,,,16.7186,2.95914,16.7186,,2.00807,,,,-15.5085,-2.74495,,,,,,,,4.0247,,6.8995,6.8995,,nan,,nan,nan,
LTS,36,,COMPOST,,2044,,0.281321,0.281321,0.281321,0.281321,,,10.3385,1.76081,,,17.7232,2.90459,17.7232,,1.97105,,,,-16.4404,-2.69435,,,,,,,,4.0618,,6.9631,6.9631,,nan,,nan,nan,
LTS,36,,COMPOST,,2045,,0.297519,0.297519,0.297519,0.297519,,,10.9338,1.72426,,,18.7437,2.84428,18.7437,,1.93013,,,,-17.387,-2.63841,,,,,,,,4.0896,,7.0107,7.0107,,nan,,nan,nan,
LTS,36,,COMPOST,,2046,,0.314176,0.314176,0.314176,0.314176,,,11.546,1.68592,,,19.7931,2.78104,19.7931,,1.88721,,,,-18.3604,-2.57975,,,,,,,,4.1113,,7.048,7.048,,nan,,nan,nan,
