Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,68,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,388.333,383.064,,,383.064,,,,,,472.0212,,Energy
LTS,68,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.922,454.891,,,454.891,,,,,,548.624,,Energy
LTS,68,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,404.916,,,404.916,,,,,,477.9801,,Energy
LTS,68,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.721,365.993,,,365.993,,,,,,422.8571,,Energy
LTS,68,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,340.38,,,340.38,,,,,,384.913,,Energy
LTS,68,,DIST_GSL,,2026,,19.1405,19.1405,19.1405,19.1405,,,,348.142,299.565,,,299.565,,,,,,331.5638,,Energy
LTS,68,,DIST_GSL,,2027,,17.5219,17.5219,17.5219,17.5219,,,,324.881,272.015,,,272.015,,,,,,294.6766,,Energy
LTS,68,,DIST_GSL,,2028,,15.9248,15.9248,15.9248,15.9248,,,,300.884,245.133,,,245.133,,,,,,259.9149,,Energy
LTS,68,,DIST_GSL,,2029,,14.3469,14.3469,14.3469,14.3469,,,,276.131,218.903,,,218.903,,,,,,227.1737,,Energy
LTS,68,,DIST_GSL,,2030,,12.7983,12.7983,12.7983,12.7983,,,,250.839,193.493,,,193.493,,,,,,196.5389,,Energy
LTS,68,,DIST_GSL,,2031,,12.4513,12.4513,12.4513,12.4513,,,,248.429,186.469,,,186.469,,,,,,185.3815,,Energy
LTS,68,,DIST_GSL,,2032,,12.0915,12.0915,12.0915,12.0915,,,,245.515,179.314,,,179.314,,,,,,174.4829,,Energy
LTS,68,,DIST_GSL,,2033,,11.7474,11.7474,11.7474,11.7474,,,,242.67,172.459,,,172.459,,,,,,164.2486,,Energy
LTS,68,,DIST_GSL,,2034,,11.3716,11.3716,11.3716,11.3716,,,,238.917,165.215,,,165.215,,,,,,154.008,,Energy
LTS,68,,DIST_GSL,,2035,,10.9658,10.9658,10.9658,10.9658,,,,234.259,157.628,,,157.628,,,,,,143.8147,,Energy
LTS,68,,DIST_GSL,,2036,,10.649,10.649,10.649,10.649,,,,231.245,151.407,,,151.407,,,,,,135.2042,,Energy
LTS,68,,DIST_GSL,,2037,,10.3053,10.3053,10.3053,10.3053,,,,227.418,144.887,,,144.887,,,,,,126.6349,,Energy
LTS,68,,DIST_GSL,,2038,,9.94289,9.94289,9.94289,9.94289,,,,222.927,138.198,,,138.198,,,,,,118.2229,,Energy
LTS,68,,DIST_GSL,,2039,,9.46174,9.46174,9.46174,9.46174,,,,215.475,129.978,,,129.978,,,,,,108.8295,,Energy
LTS,68,,DIST_GSL,,2040,,9.00441,9.00441,9.00441,9.00441,,,,208.236,122.225,,,122.225,,,,,,100.1651,,Energy
LTS,68,,DIST_GSL,,2041,,8.61771,8.61771,8.61771,8.61771,,,,202.332,115.559,,,115.559,,,,,,92.6906,,Energy
LTS,68,,DIST_GSL,,2042,,8.2187,8.2187,8.2187,8.2187,,,,195.862,108.849,,,108.849,,,,,,85.4539,,Energy
LTS,68,,DIST_GSL,,2043,,7.80744,7.80744,7.80744,7.80744,,,,188.815,102.104,,,102.104,,,,,,78.4565,,Energy
LTS,68,,DIST_GSL,,2044,,7.38302,7.38302,7.38302,7.38302,,,,181.154,95.3212,,,95.3212,,,,,,71.6888,,Energy
LTS,68,,DIST_GSL,,2045,,6.94774,6.94774,6.94774,6.94774,,,,172.924,88.5381,,,88.5381,,,,,,65.1732,,Energy
LTS,68,,DIST_GSL,,2046,,6.51847,6.51847,6.51847,6.51847,,,,164.539,81.974,,,81.974,,,,,,59.06,,Energy
LTS,68,,DIST_GSL,,2047,,6.07141,6.07141,6.07141,6.07141,,,,155.395,75.332,,,75.332,,,,,,53.1218,,Energy
LTS,68,,DIST_GSL,,2048,,5.59133,5.59133,5.59133,5.59133,,,,145.08,68.4356,,,68.4356,,,,,,47.2339,,Energy
LTS,68,,DIST_GSL,,2049,,5.1034,5.1034,5.1034,5.1034,,,,134.219,61.6059,,,61.6059,,,,,,41.617,,Energy
LTS,68,,DIST_GSL,,2050,,4.60659,4.60659,4.60659,4.60659,,,,122.777,54.8354,,,54.8354,,,,,,36.2564,,Energy
LTS,68,,DIST_GSL,,2051,,4.67348,4.67348,4.67348,4.67348,,,,126.208,54.8484,,,54.8484,,,,,,35.4948,,Energy
LTS,68,,DIST_GSL,,2052,,4.72782,4.72782,4.72782,4.72782,,,,129.343,54.6957,,,54.6957,,,,,,34.6443,,Energy
LTS,68,,DIST_GSL,,2053,,4.77061,4.77061,4.77061,4.77061,,,,132.196,54.3954,,,54.3954,,,,,,33.7224,,Energy
LTS,68,,DIST_GSL,,2054,,4.81573,4.81573,4.81573,4.81573,,,,135.145,54.1098,,,54.1098,,,,,,32.833,,Energy
LTS,68,,DIST_GSL,,2055,,4.87656,4.87656,4.87656,4.87656,,,,138.572,53.9866,,,53.9866,,,,,,32.0624,,Energy
LTS,68,,DIST_NGS,,2021,,24.5082,24.5082,24.5082,24.5082,,,,172.94,170.593,,,170.593,,,,,,210.2097,,Energy
LTS,68,,DIST_NGS,,2022,,25.4084,25.4084,25.4084,25.4084,,,,179.592,172.38,,,172.38,,,,,,207.9002,,Energy
LTS,68,,DIST_NGS,,2023,,26.5315,26.5315,26.5315,26.5315,,,,185.33,173.093,,,173.093,,,,,,204.3263,,Energy
LTS,68,,DIST_NGS,,2024,,27.0695,27.0695,27.0695,27.0695,,,,191.655,174.176,,,174.176,,,,,,201.2378,,Energy
LTS,68,,DIST_NGS,,2025,,27.9061,27.9061,27.9061,27.9061,,,,195.262,172.671,,,172.671,,,,,,195.262,,Energy
LTS,68,,DIST_NGS,,2026,,26.5612,26.5612,26.5612,26.5612,,,,193.333,166.357,,,166.357,,,,,,184.1267,,Energy
LTS,68,,DIST_NGS,,2027,,27.1549,27.1549,27.1549,27.1549,,,,202.731,169.741,,,169.741,,,,,,183.883,,Energy
LTS,68,,DIST_NGS,,2028,,26.4418,26.4418,26.4418,26.4418,,,,202.348,164.855,,,164.855,,,,,,174.7958,,Energy
LTS,68,,DIST_NGS,,2029,,26.3817,26.3817,26.3817,26.3817,,,,206.817,163.954,,,163.954,,,,,,170.1489,,Energy
LTS,68,,DIST_NGS,,2030,,24.3189,24.3189,24.3189,24.3189,,,,195.191,150.567,,,150.567,,,,,,152.9373,,Energy
LTS,68,,DIST_NGS,,2031,,23.4146,23.4146,23.4146,23.4146,,,,192.309,144.345,,,144.345,,,,,,143.5039,,Energy
LTS,68,,DIST_NGS,,2032,,23.0409,23.0409,23.0409,23.0409,,,,193.546,141.358,,,141.358,,,,,,137.5495,,Energy
LTS,68,,DIST_NGS,,2033,,22.6665,22.6665,22.6665,22.6665,,,,194.637,138.324,,,138.324,,,,,,131.738,,Energy
LTS,68,,DIST_NGS,,2034,,22.292,22.292,22.292,22.292,,,,195.588,135.253,,,135.253,,,,,,126.0778,,Energy
LTS,68,,DIST_NGS,,2035,,19.7943,19.7943,19.7943,19.7943,,,,177.372,119.35,,,119.35,,,,,,108.891,,Energy
LTS,68,,DIST_NGS,,2036,,16.6583,16.6583,16.6583,16.6583,,,,152.384,99.7723,,,99.7723,,,,,,89.0958,,Energy
LTS,68,,DIST_NGS,,2037,,13.5222,13.5222,13.5222,13.5222,,,,126.223,80.4162,,,80.4162,,,,,,70.2857,,Energy
LTS,68,,DIST_NGS,,2038,,10.3857,10.3857,10.3857,10.3857,,,,98.8861,61.3019,,,61.3019,,,,,,52.4414,,Energy
LTS,68,,DIST_NGS,,2039,,7.24873,7.24873,7.24873,7.24873,,,,70.3729,42.45,,,42.45,,,,,,35.5431,,Energy
LTS,68,,DIST_NGS,,2040,,4.1115,4.1115,4.1115,4.1115,,,,40.6841,23.8798,,,23.8798,,,,,,19.5697,,Energy
LTS,68,,DIST_NGS,,2041,,4.0524,4.0524,4.0524,4.0524,,,,40.8567,23.3347,,,23.3347,,,,,,18.7169,,Energy
LTS,68,,DIST_NGS,,2042,,3.9927,3.9927,3.9927,3.9927,,,,41.001,22.786,,,22.786,,,,,,17.8886,,Energy
LTS,68,,DIST_NGS,,2043,,3.9328,3.9328,3.9328,3.9328,,,,41.1206,22.2365,,,22.2365,,,,,,17.0865,,Energy
LTS,68,,DIST_NGS,,2044,,3.8725,3.8725,3.8725,3.8725,,,,41.2139,21.6862,,,21.6862,,,,,,16.3097,,Energy
LTS,68,,DIST_NGS,,2045,,3.8117,3.8117,3.8117,3.8117,,,,41.2792,21.1352,,,21.1352,,,,,,15.5577,,Energy
LTS,68,,DIST_NGS,,2046,,3.7517,3.7517,3.7517,3.7517,,,,41.3306,20.5911,,,20.5911,,,,,,14.8353,,Energy
LTS,68,,DIST_NGS,,2047,,3.6913,3.6913,3.6913,3.6913,,,,41.3551,20.048,,,20.048,,,,,,14.1372,,Energy
