Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,32,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
LTS,32,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
LTS,32,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
LTS,32,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
LTS,32,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,136.627,120.82,,,120.82,,,,,,136.627,,Energy
LTS,32,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,139.291,119.856,,,119.856,,,,,,132.6581,,Energy
LTS,32,,DIST_DSL,,2027,,7.29403,7.29403,7.29403,7.29403,,,,144.032,120.595,,,120.595,,,,,,130.6413,,Energy
LTS,32,,DIST_DSL,,2028,,7.45414,7.45414,7.45414,7.45414,,,,146.684,119.505,,,119.505,,,,,,126.7112,,Energy
LTS,32,,DIST_DSL,,2029,,7.6657,7.6657,7.6657,7.6657,,,,150.323,119.168,,,119.168,,,,,,123.6711,,Energy
LTS,32,,DIST_DSL,,2030,,7.8349,7.8349,7.8349,7.8349,,,,153.105,118.102,,,118.102,,,,,,119.9618,,Energy
LTS,32,,DIST_DSL,,2031,,7.71257,7.71257,7.71257,7.71257,,,,150.188,112.73,,,112.73,,,,,,112.0726,,Energy
LTS,32,,DIST_DSL,,2032,,7.56972,7.56972,7.56972,7.56972,,,,146.888,107.281,,,107.281,,,,,,104.3906,,Energy
LTS,32,,DIST_DSL,,2033,,7.38528,7.38528,7.38528,7.38528,,,,142.804,101.487,,,101.487,,,,,,96.6554,,Energy
LTS,32,,DIST_DSL,,2034,,7.21789,7.21789,7.21789,7.21789,,,,139.074,96.1721,,,96.1721,,,,,,89.6483,,Energy
LTS,32,,DIST_DSL,,2035,,7.05986,7.05986,7.05986,7.05986,,,,135.546,91.2061,,,91.2061,,,,,,83.2135,,Energy
LTS,32,,DIST_DSL,,2036,,6.89382,6.89382,6.89382,6.89382,,,,131.886,86.3518,,,86.3518,,,,,,77.111,,Energy
LTS,32,,DIST_DSL,,2037,,6.7255,6.7255,6.7255,6.7255,,,,128.206,81.6797,,,81.6797,,,,,,71.3899,,Energy
LTS,32,,DIST_DSL,,2038,,6.55486,6.55486,6.55486,6.55486,,,,124.505,77.1837,,,77.1837,,,,,,66.0277,,Energy
LTS,32,,DIST_DSL,,2039,,6.41231,6.41231,6.41231,6.41231,,,,121.359,73.2055,,,73.2055,,,,,,61.2945,,Energy
LTS,32,,DIST_DSL,,2040,,6.27092,6.27092,6.27092,6.27092,,,,118.254,69.4099,,,69.4099,,,,,,56.8822,,Energy
LTS,32,,DIST_DSL,,2041,,6.2633,6.2633,6.2633,6.2633,,,,117.682,67.2123,,,67.2123,,,,,,53.9115,,Energy
