Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
BAU,82,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,113.154,,113.154,,,,,,,,,,,,,,,139.4307,,,,0.0016868125404387,0.0016868125404387,,,
BAU,82,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
BAU,82,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
BAU,82,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
BAU,82,,DIST_DSL,,2025,,6.92341,6.92341,6.92341,6.92341,,,,,,,137.806,121.863,,121.863,,,,,,,,,,,,,,,137.806,,,,0.001849360641375,0.001849360641375,,,
BAU,82,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,,,,140.74,121.102,,121.102,,,,,,,,,,,,,,,134.0381,,,,0.0018248647843931,0.0018248647843931,,,
BAU,82,,DIST_DSL,,2027,,7.29067,7.29067,7.29067,7.29067,,,,,,,145.436,121.77,,121.77,,,,,,,,,,,,,,,131.9147,,,,0.0018219846977676,0.0018219846977676,,,
BAU,82,,DIST_DSL,,2028,,7.43318,7.43318,7.43318,7.43318,,,,,,,148.521,121.001,,121.001,,,,,,,,,,,,,,,128.298,,,,0.0017977128736101,0.0017977128736101,,,
BAU,82,,DIST_DSL,,2029,,7.64989,7.64989,7.64989,7.64989,,,,,,,153.099,121.369,,121.369,,,,,,,,,,,,,,,125.9549,,,,0.0017904594012758,0.0017904594012758,,,
BAU,82,,DIST_DSL,,2030,,7.87247,7.87247,7.87247,7.87247,,,,,,,157.809,121.731,,121.731,,,,,,,,,,,,,,,123.6475,,,,0.0017831322370796,0.0017831322370796,,,
BAU,82,,DIST_DSL,,2031,,8.1232,8.1232,8.1232,8.1232,,,,,,,163.098,122.42,,122.42,,,,,,,,,,,,,,,121.7062,,,,0.0017805742126528,0.0017805742126528,,,
BAU,82,,DIST_DSL,,2032,,8.36978,8.36978,8.36978,8.36978,,,,,,,168.321,122.935,,122.935,,,,,,,,,,,,,,,119.6226,,,,0.0017754539257037,0.0017754539257037,,,
BAU,82,,DIST_DSL,,2033,,8.61723,8.61723,8.61723,8.61723,,,,,,,173.578,123.357,,123.357,,,,,,,,,,,,,,,117.4844,,,,0.0017689902691797,0.0017689902691797,,,
BAU,82,,DIST_DSL,,2034,,8.86338,8.86338,8.86338,8.86338,,,,,,,178.823,123.66,,123.66,,,,,,,,,,,,,,,115.2709,,,,0.0017608152887719,0.0017608152887719,,,
BAU,82,,DIST_DSL,,2035,,9.10858,9.10858,9.10858,9.10858,,,,,,,184.066,123.854,,123.854,,,,,,,,,,,,,,,113.0006,,,,0.0017511512505219,0.0017511512505219,,,
BAU,82,,DIST_DSL,,2036,,9.42499,9.42499,9.42499,9.42499,,,,,,,190.766,124.903,,124.903,,,,,,,,,,,,,,,111.5369,,,,0.0017535199751324,0.0017535199751324,,,
BAU,82,,DIST_DSL,,2037,,9.75719,9.75719,9.75719,9.75719,,,,,,,197.807,126.022,,126.022,,,,,,,,,,,,,,,110.1463,,,,0.0017567544422975,0.0017567544422975,,,
BAU,82,,DIST_DSL,,2038,,10.0567,10.0567,10.0567,10.0567,,,,,,,204.204,126.591,,126.591,,,,,,,,,,,,,,,108.2937,,,,0.0017522388655852,0.0017522388655852,,,
BAU,82,,DIST_DSL,,2039,,10.3543,10.3543,10.3543,10.3543,,,,,,,210.584,127.028,,127.028,,,,,,,,,,,,,,,106.3592,,,,0.0017458788138889,0.0017458788138889,,,
BAU,82,,DIST_DSL,,2040,,10.6514,10.6514,10.6514,10.6514,,,,,,,216.972,127.353,,127.353,,,,,,,,,,,,,,,104.3672,,,,0.00173800922145,0.00173800922145,,,
BAU,82,,DIST_DSL,,2041,,11.0961,11.0961,11.0961,11.0961,,,,,,,226.39,129.3,,129.3,,,,,,,,,,,,,,,103.7119,,,,0.001752125795989,0.001752125795989,,,
BAU,82,,DIST_DSL,,2042,,11.5409,11.5409,11.5409,11.5409,,,,,,,235.841,131.067,,131.067,,,,,,,,,,,,,,,102.8966,,,,0.0017635468919512,0.0017635468919512,,,
BAU,82,,DIST_DSL,,2043,,11.9928,11.9928,11.9928,11.9928,,,,,,,245.465,132.738,,132.738,,,,,,,,,,,,,,,101.9958,,,,0.0017734418000281,0.0017734418000281,,,
BAU,82,,DIST_DSL,,2044,,12.4462,12.4462,12.4462,12.4462,,,,,,,255.148,134.255,,134.255,,,,,,,,,,,,,,,100.9707,,,,0.0017810626351552,0.0017810626351552,,,
BAU,82,,DIST_DSL,,2045,,12.9038,12.9038,12.9038,12.9038,,,,,,,264.949,135.655,,135.655,,,,,,,,,,,,,,,99.8565,,,,0.0017869358793529,0.0017869358793529,,,
BAU,82,,DIST_DSL,,2046,,13.4115,13.4115,13.4115,13.4115,,,,,,,275.808,137.409,,137.409,,,,,,,,,,,,,,,98.9992,,,,0.0017972694960589,0.0017972694960589,,,
BAU,82,,DIST_DSL,,2047,,13.9323,13.9323,13.9323,13.9323,,,,,,,286.971,139.117,,139.117,,,,,,,,,,,,,,,98.101,,,,0.0018067747619588,0.0018067747619588,,,
BAU,82,,DIST_DSL,,2048,,14.4591,14.4591,14.4591,14.4591,,,,,,,298.289,140.706,,140.706,,,,,,,,,,,,,,,97.1143,,,,0.0018145247761191,0.0018145247761191,,,
