Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
LTS,55,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,113.154,,113.154,,,,,,,,,,,,,,,139.4307,,,,0.0016868125404387,0.0016868125404387,,,
LTS,55,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
LTS,55,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
LTS,55,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
LTS,55,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,,,,136.627,120.82,,120.82,,,,,,,,,,,,,,,136.627,,,,0.0018335384261146,0.0018335384261146,,,
LTS,55,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,,,,143.104,123.137,,123.137,,,,,,,,,,,,,,,136.2895,,,,0.0018555169129798,0.0018555169129798,,,
LTS,55,,DIST_DSL,,2027,,7.34772,7.34772,7.34772,7.34772,,,,,,,153.063,128.156,,128.156,,,,,,,,,,,,,,,138.8327,,,,0.0019175337899776,0.0019175337899776,,,
LTS,55,,DIST_DSL,,2028,,7.56852,7.56852,7.56852,7.56852,,,,,,,161.25,131.371,,131.371,,,,,,,,,,,,,,,139.2938,,,,0.0019517859536731,0.0019517859536731,,,
LTS,55,,DIST_DSL,,2029,,7.84837,7.84837,7.84837,7.84837,,,,,,,170.931,135.506,,135.506,,,,,,,,,,,,,,,140.6254,,,,0.0019990007575718,0.0019990007575718,,,
LTS,55,,DIST_DSL,,2030,,8.09215,8.09215,8.09215,8.09215,,,,,,,180.076,138.908,,138.908,,,,,,,,,,,,,,,141.0943,,,,0.0020347339006,0.0020347339006,,,
LTS,55,,DIST_DSL,,2031,,8.03634,8.03634,8.03634,8.03634,,,,,,,182.644,137.091,,137.091,,,,,,,,,,,,,,,136.2918,,,,0.0019939619013827,0.0019939619013827,,,
LTS,55,,DIST_DSL,,2032,,7.96193,7.96193,7.96193,7.96193,,,,,,,184.726,134.916,,134.916,,,,,,,,,,,,,,,131.2813,,,,0.0019484942691344,0.0019484942691344,,,
LTS,55,,DIST_DSL,,2033,,7.84258,7.84258,7.84258,7.84258,,,,,,,185.674,131.954,,131.954,,,,,,,,,,,,,,,125.6715,,,,0.0018922645814763,0.0018922645814763,,,
LTS,55,,DIST_DSL,,2034,,7.74607,7.74607,7.74607,7.74607,,,,,,,187.061,129.356,,129.356,,,,,,,,,,,,,,,120.5812,,,,0.0018419323650174,0.0018419323650174,,,
