block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
1,1,Costs,1,o_pure_direct_d_pure_direct,Costs_direct,,,o_pure_direct_d_pure_direct,Costs_direct,41-50,Low,Low,25,30506.58946034928,0.4352368032293872,base,1.0,1.0,1.0,Variable Costs Crops_direct,0.9628594031411393,1.0387417092412732,0.0,0.37874490920610576,structured
1,1,Costs,1,o_pure_direct_d_pure_direct,Costs_direct,,,o_pure_direct_d_pure_direct,Costs_direct,41-50,Low,Low,25,30506.58946034928,0.4352368032293872,base,1.0,1.0,1.0,Capital Costs Electric Transport_direct,0.8244189348819978,1.1777849396304998,0.0,0.9287400488937616,structured
1,1,Costs,1,o_pure_direct_d_pure_direct,Costs_direct,,,o_pure_direct_d_pure_direct,Costs_direct,41-50,Low,Low,25,30506.58946034928,0.4352368032293872,base,1.0,1.0,1.0,Fixed Costs Electric Transport_direct,0.9612610756020267,1.0633361718267524,0.0,0.6374235903690753,structured
1,1,Costs,1,o_pure_direct_d_pure_direct,Costs_direct,,,o_pure_direct_d_pure_direct,Costs_direct,41-50,Low,Low,25,30506.58946034928,0.4352368032293872,base,1.0,1.0,1.0,Fixed Costs ICE Transport_direct,0.9574069132116769,1.0322376207887696,0.0,0.5690174228113706,structured
1,1,Costs,1,o_pure_direct_d_pure_direct,Costs_direct,,,o_pure_direct_d_pure_direct,Costs_direct,41-50,Low,Low,25,30506.58946034928,0.4352368032293872,base,1.0,1.0,1.0,Fuel Demand_direct,253.003231,256.4390075,0.1389131854426273,0.6136669012953799,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,High,High,75,38.2897644165,0.605989720437528,base,0.2,0.5,0.35,Fuel Demand_direct,77.276903,77.505479,0.2595961362797084,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,Low,Low,25,35.13789618470001,0.1536189708393941,base,1.0,1.0,1.0,Capital Costs ICE Transport_direct,1.0015923920065086,1.010775724944297,0.24755205106693431,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,Low,Low,25,35.13789618470001,0.1536189708393941,base,1.0,1.0,1.0,Fixed Costs Crops_direct,0.9939648986642752,1.0055739214448431,0.0,0.49936249354229456,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,Low,Low,25,35.13789618470001,0.1536189708393941,base,1.0,1.0,1.0,Capital Costs Electric Transport_direct,0.9775200178970012,1.0045570168832962,0.2024082759820002,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,Low,Low,25,35.13789618470001,0.1536189708393941,base,1.0,1.0,1.0,Capital Costs Industry_direct,0.9987589921639217,1.0128105152190625,0.14168663623144578,1.0,structured
