Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
BAU,91,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,113.154,,113.154,,,,,,,,,,,,,,,139.4307,,,,0.0016868125404387,0.0016868125404387,,,
BAU,91,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
BAU,91,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
BAU,91,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
BAU,91,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,,,,138.179,122.192,,122.192,,,,,,,,,,,,,,,138.179,,,,0.0018543663125304,0.0018543663125304,,,
BAU,91,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,,,,140.464,120.865,,120.865,,,,,,,,,,,,,,,133.7752,,,,0.001821285974545,0.001821285974545,,,
BAU,91,,DIST_DSL,,2027,,7.13282,7.13282,7.13282,7.13282,,,,,,,141.732,118.669,,118.669,,,,,,,,,,,,,,,128.5551,,,,0.0017755816776187,0.0017755816776187,,,
BAU,91,,DIST_DSL,,2028,,7.16625,7.16625,7.16625,7.16625,,,,,,,142.35,115.973,,115.973,,,,,,,,,,,,,,,122.9673,,,,0.0017230180957577,0.0017230180957577,,,
BAU,91,,DIST_DSL,,2029,,7.24735,7.24735,7.24735,7.24735,,,,,,,143.914,114.088,,114.088,,,,,,,,,,,,,,,118.3984,,,,0.0016830423308193,0.0016830423308193,,,
BAU,91,,DIST_DSL,,2030,,7.33027,7.33027,7.33027,7.33027,,,,,,,145.513,112.246,,112.246,,,,,,,,,,,,,,,114.0132,,,,0.0016441953561665,0.0016441953561665,,,
