Strategy,Future.ID,Technology,Year,TotalCapacityAnnual
BAU,3,PPPVT,2026,0.240085
BAU,3,PPPVT,2027,0.330085
BAU,3,PPPVT,2028,0.420085
BAU,3,PPPVT,2029,0.510085
BAU,3,PPPVT,2030,0.600085
BAU,3,PPPVT,2031,0.690085
BAU,3,PPPVT,2032,0.780085
BAU,3,PPPVT,2033,0.814085
BAU,3,PPPVT,2034,0.814085
BAU,3,PPPVT,2035,0.815642
BAU,3,PPPVT,2036,0.900132
BAU,3,PPPVT,2037,0.990649
BAU,3,PPPVT,2038,1.06105
BAU,3,PPPVT,2039,1.15158
BAU,3,PPPVT,2040,1.1747
BAU,3,PPPVT,2041,1.20789
BAU,3,PPPVT,2042,1.20789
BAU,3,PPPVT,2043,1.20789
BAU,3,PPPVT,2044,1.20789
BAU,3,PPPVT,2045,1.20789
BAU,3,PPPVT,2046,1.20789
BAU,3,PPPVT,2047,1.20789
BAU,3,PPPVT,2048,1.20789
BAU,3,PPPVT,2049,1.20789
BAU,3,PPPVT,2050,1.20789
BAU,3,PPPVT,2051,1.20789
BAU,3,PPPVT,2052,1.20789
BAU,3,PPPVT,2053,1.20789
BAU,3,PPPVT,2054,1.20789
BAU,3,PPPVT,2055,1.20789
BAU,3,PPWNDON,2021,0.102457
BAU,3,PPWNDON,2022,0.102457
BAU,3,PPWNDON,2023,0.102457
BAU,3,PPWNDON,2024,0.102457
BAU,3,PPWNDON,2025,0.162457
BAU,3,PPWNDON,2026,0.222457
BAU,3,PPWNDON,2027,0.282457
BAU,3,PPWNDON,2028,0.303457
BAU,3,PPWNDON,2029,0.303457
BAU,3,PPWNDON,2030,0.303457
BAU,3,PPWNDON,2031,0.303457
BAU,3,PPWNDON,2032,0.360457
BAU,3,PPWNDON,2033,0.360457
BAU,3,PPWNDON,2034,0.360457
BAU,3,PPWNDON,2035,0.385457
BAU,3,PPWNDON,2036,0.385457
BAU,3,PPWNDON,2037,0.385457
BAU,3,PPWNDON,2038,0.385457
BAU,3,PPWNDON,2039,0.445457
BAU,3,PPWNDON,2040,0.445457
BAU,3,PPWNDON,2041,0.445
BAU,3,PPWNDON,2042,0.445
BAU,3,PPWNDON,2043,0.445
BAU,3,PPWNDON,2044,0.445
BAU,3,PPWNDON,2045,0.445399
BAU,3,PPWNDON,2046,0.450529
BAU,3,PPWNDON,2047,0.455669
BAU,3,PPWNDON,2048,0.46081
BAU,3,PPWNDON,2049,0.46595
BAU,3,PPWNDON,2050,0.47108
BAU,3,PPWNDON,2051,0.47622
BAU,3,PPWNDON,2052,0.481361
BAU,3,PPWNDON,2053,0.486501
BAU,3,PPWNDON,2054,0.491641
BAU,3,PPWNDON,2055,0.466641
BAU,4,PPPVT,2021,0.0573256
BAU,4,PPPVT,2022,0.0573256
BAU,4,PPPVT,2023,0.0573256
BAU,4,PPPVT,2024,0.0594499
BAU,4,PPPVT,2025,0.14981
BAU,4,PPPVT,2026,0.23981
BAU,4,PPPVT,2027,0.32981
BAU,4,PPPVT,2028,0.41981
BAU,4,PPPVT,2029,0.50981
BAU,4,PPPVT,2030,0.59981
BAU,4,PPPVT,2031,0.68981
BAU,4,PPPVT,2032,0.77981
BAU,4,PPPVT,2033,0.81381
BAU,4,PPPVT,2034,0.81381
BAU,4,PPPVT,2035,0.851998
BAU,4,PPPVT,2036,0.955635
BAU,4,PPPVT,2037,1.05985
BAU,4,PPPVT,2038,1.15222
BAU,4,PPPVT,2039,1.24222
BAU,4,PPPVT,2040,1.29424
BAU,4,PPPVT,2041,1.32869
BAU,4,PPPVT,2042,1.35964
BAU,4,PPPVT,2043,1.3906
BAU,4,PPPVT,2044,1.42156
BAU,4,PPPVT,2045,1.4525
BAU,4,PPPVT,2046,1.48346
BAU,4,PPPVT,2047,1.51442
BAU,4,PPPVT,2048,1.54537
BAU,4,PPPVT,2049,1.57633
BAU,4,PPPVT,2050,1.60729
BAU,4,PPPVT,2051,1.62568
BAU,4,PPPVT,2052,1.66919
BAU,4,PPPVT,2053,1.70015
BAU,4,PPPVT,2054,1.71801
BAU,4,PPPVT,2055,1.76101
BAU,4,PPWNDON,2021,0.102457
BAU,4,PPWNDON,2022,0.102457
BAU,4,PPWNDON,2023,0.102457
BAU,4,PPWNDON,2024,0.102457
BAU,4,PPWNDON,2025,0.162457
BAU,4,PPWNDON,2026,0.222457
BAU,4,PPWNDON,2027,0.282457
BAU,4,PPWNDON,2028,0.303457
BAU,4,PPWNDON,2029,0.303457
BAU,4,PPWNDON,2030,0.303457
BAU,4,PPWNDON,2031,0.303457
BAU,4,PPWNDON,2032,0.360457
BAU,4,PPWNDON,2033,0.360457
BAU,4,PPWNDON,2034,0.360457
BAU,4,PPWNDON,2035,0.385457
BAU,4,PPWNDON,2036,0.385457
BAU,4,PPWNDON,2037,0.385457
BAU,4,PPWNDON,2038,0.385457
BAU,4,PPWNDON,2039,0.445457
BAU,4,PPWNDON,2040,0.445457
BAU,4,PPWNDON,2041,0.448531
BAU,4,PPWNDON,2042,0.461065
BAU,4,PPWNDON,2043,0.475514
BAU,4,PPWNDON,2044,0.489286
BAU,4,PPWNDON,2045,0.504975
BAU,4,PPWNDON,2046,0.522741
BAU,4,PPWNDON,2047,0.534636
BAU,4,PPWNDON,2048,0.553814
BAU,4,PPWNDON,2049,0.573596
BAU,4,PPWNDON,2050,0.590097
BAU,4,PPWNDON,2051,0.590097
BAU,4,PPWNDON,2052,0.551061
BAU,4,PPWNDON,2053,0.551061
BAU,4,PPWNDON,2054,0.551061
BAU,4,PPWNDON,2055,0.526061
BAU,5,PPPVT,2021,0.0573256
BAU,5,PPPVT,2022,0.0573256
BAU,5,PPPVT,2023,0.0573256
BAU,5,PPPVT,2024,0.0594499
BAU,5,PPPVT,2025,0.149668
BAU,5,PPPVT,2026,0.239668
BAU,5,PPPVT,2027,0.329668
BAU,5,PPPVT,2028,0.419668
BAU,5,PPPVT,2029,0.509668
BAU,5,PPPVT,2030,0.599668
BAU,5,PPPVT,2031,0.689668
BAU,5,PPPVT,2032,0.779668
BAU,5,PPPVT,2033,0.813668
BAU,5,PPPVT,2034,0.813668
BAU,5,PPPVT,2035,0.815642
BAU,5,PPPVT,2036,0.900132
BAU,5,PPPVT,2037,0.990649
BAU,5,PPPVT,2038,1.06105
BAU,5,PPPVT,2039,1.15158
BAU,5,PPPVT,2040,1.1747
BAU,5,PPPVT,2041,1.20789
BAU,5,PPPVT,2042,1.20789
BAU,5,PPPVT,2043,1.20789
BAU,5,PPPVT,2044,1.20789
BAU,5,PPPVT,2045,1.20789
BAU,5,PPPVT,2046,1.20789
BAU,5,PPPVT,2047,1.20789
BAU,5,PPPVT,2048,1.20789
BAU,5,PPPVT,2049,1.20789
BAU,5,PPPVT,2050,1.20789
BAU,5,PPPVT,2051,1.20789
BAU,5,PPPVT,2052,1.20789
BAU,5,PPPVT,2053,1.20789
BAU,5,PPPVT,2054,1.20789
BAU,5,PPPVT,2055,1.20789
BAU,5,PPWNDON,2021,0.102457
BAU,5,PPWNDON,2022,0.102457
BAU,5,PPWNDON,2023,0.102457
BAU,5,PPWNDON,2024,0.102457
BAU,5,PPWNDON,2025,0.162457
BAU,5,PPWNDON,2026,0.222457
BAU,5,PPWNDON,2027,0.282457
BAU,5,PPWNDON,2028,0.303457
BAU,5,PPWNDON,2029,0.303457
BAU,5,PPWNDON,2030,0.303457
BAU,5,PPWNDON,2031,0.303457
BAU,5,PPWNDON,2032,0.360457
BAU,5,PPWNDON,2033,0.360457
BAU,5,PPWNDON,2034,0.360457
BAU,5,PPWNDON,2035,0.385457
BAU,5,PPWNDON,2036,0.385457
BAU,5,PPWNDON,2037,0.385457
BAU,5,PPWNDON,2038,0.385457
BAU,5,PPWNDON,2039,0.445457
BAU,5,PPWNDON,2040,0.445457
BAU,5,PPWNDON,2041,0.445
BAU,5,PPWNDON,2042,0.445
BAU,5,PPWNDON,2043,0.445
BAU,5,PPWNDON,2044,0.445
BAU,5,PPWNDON,2045,0.445399
BAU,5,PPWNDON,2046,0.450529
BAU,5,PPWNDON,2047,0.455669
BAU,5,PPWNDON,2048,0.46081
BAU,5,PPWNDON,2049,0.46595
BAU,5,PPWNDON,2050,0.47108
BAU,5,PPWNDON,2051,0.47622
BAU,5,PPWNDON,2052,0.481361
BAU,5,PPWNDON,2053,0.486501
BAU,5,PPWNDON,2054,0.491641
BAU,5,PPWNDON,2055,0.466641
BAU,6,PPPVT,2021,0.0573256
BAU,6,PPPVT,2022,0.0573256
BAU,6,PPPVT,2023,0.0573256
BAU,6,PPPVT,2024,0.0594499
BAU,6,PPPVT,2025,0.14982
BAU,6,PPPVT,2026,0.23982
BAU,6,PPPVT,2027,0.32982
BAU,6,PPPVT,2028,0.41982
BAU,6,PPPVT,2029,0.50982
BAU,6,PPPVT,2030,0.59982
BAU,6,PPPVT,2031,0.68982
BAU,6,PPPVT,2032,0.77982
BAU,6,PPPVT,2033,0.81382
BAU,6,PPPVT,2034,0.81382
BAU,6,PPPVT,2035,0.815642
BAU,6,PPPVT,2036,0.900132
BAU,6,PPPVT,2037,0.990649
BAU,6,PPPVT,2038,1.06105
BAU,6,PPPVT,2039,1.15158
BAU,6,PPPVT,2040,1.1747
BAU,6,PPPVT,2041,1.20789
BAU,6,PPPVT,2042,1.20789
BAU,6,PPPVT,2043,1.20789
BAU,6,PPPVT,2044,1.20789
BAU,6,PPPVT,2045,1.20789
BAU,6,PPPVT,2046,1.20789
BAU,6,PPPVT,2047,1.20789
BAU,6,PPPVT,2048,1.22513
BAU,6,PPPVT,2049,1.24689
BAU,6,PPPVT,2050,1.26497
BAU,6,PPPVT,2051,1.27317
BAU,6,PPPVT,2052,1.28066
BAU,6,PPPVT,2053,1.28816
BAU,6,PPPVT,2054,1.29584
BAU,6,PPPVT,2055,1.33376
BAU,6,PPWNDON,2021,0.102457
BAU,6,PPWNDON,2022,0.102457
BAU,6,PPWNDON,2023,0.102457
BAU,6,PPWNDON,2024,0.102457
BAU,6,PPWNDON,2025,0.162457
BAU,6,PPWNDON,2026,0.222457
BAU,6,PPWNDON,2027,0.282457
BAU,6,PPWNDON,2028,0.303457
BAU,6,PPWNDON,2029,0.303457
BAU,6,PPWNDON,2030,0.303457
BAU,6,PPWNDON,2031,0.303457
BAU,6,PPWNDON,2032,0.360457
BAU,6,PPWNDON,2033,0.360457
BAU,6,PPWNDON,2034,0.360457
BAU,6,PPWNDON,2035,0.385457
BAU,6,PPWNDON,2036,0.385457
BAU,6,PPWNDON,2037,0.385457
BAU,6,PPWNDON,2038,0.385457
BAU,6,PPWNDON,2039,0.445457
BAU,6,PPWNDON,2040,0.445457
BAU,6,PPWNDON,2041,0.445
BAU,6,PPWNDON,2042,0.445
BAU,6,PPWNDON,2043,0.445
BAU,6,PPWNDON,2044,0.445
BAU,6,PPWNDON,2045,0.445399
BAU,6,PPWNDON,2046,0.450529
BAU,6,PPWNDON,2047,0.455669
BAU,6,PPWNDON,2048,0.46081
BAU,6,PPWNDON,2049,0.46595
BAU,6,PPWNDON,2050,0.47108
BAU,6,PPWNDON,2051,0.47622
BAU,6,PPWNDON,2052,0.481361
BAU,6,PPWNDON,2053,0.486501
BAU,6,PPWNDON,2054,0.491641
BAU,6,PPWNDON,2055,0.466641
BAU,7,PPPVT,2021,0.0573256
BAU,7,PPPVT,2022,0.0573256
BAU,7,PPPVT,2023,0.0573256
BAU,7,PPPVT,2024,0.0593062
BAU,7,PPPVT,2025,0.149403
BAU,7,PPPVT,2026,0.239403
BAU,7,PPPVT,2027,0.329403
BAU,7,PPPVT,2028,0.419403
BAU,7,PPPVT,2029,0.509403
BAU,7,PPPVT,2030,0.599403
BAU,7,PPPVT,2031,0.689403
BAU,7,PPPVT,2032,0.779403
BAU,7,PPPVT,2033,0.813403
BAU,7,PPPVT,2034,0.813403
BAU,7,PPPVT,2035,0.906197
BAU,7,PPPVT,2036,1.01337
BAU,7,PPPVT,2037,1.12128
BAU,7,PPPVT,2038,1.21396
BAU,7,PPPVT,2039,1.30396
BAU,7,PPPVT,2040,1.32696
BAU,7,PPPVT,2041,1.35964
BAU,7,PPPVT,2042,1.35964
BAU,7,PPPVT,2043,1.3906
BAU,7,PPPVT,2044,1.42156
BAU,7,PPPVT,2045,1.4525
BAU,7,PPPVT,2046,1.48346
BAU,7,PPPVT,2047,1.51442
BAU,7,PPPVT,2048,1.54537
BAU,7,PPPVT,2049,1.57633
BAU,7,PPPVT,2050,1.60729
BAU,7,PPPVT,2051,1.62926
BAU,7,PPPVT,2052,1.66919
BAU,7,PPPVT,2053,1.6949
BAU,7,PPPVT,2054,1.71592
BAU,7,PPPVT,2055,1.76206
BAU,7,PPWNDON,2021,0.102457
BAU,7,PPWNDON,2022,0.102457
BAU,7,PPWNDON,2023,0.102457
BAU,7,PPWNDON,2024,0.102457
BAU,7,PPWNDON,2025,0.162457
BAU,7,PPWNDON,2026,0.222457
BAU,7,PPWNDON,2027,0.282457
BAU,7,PPWNDON,2028,0.303457
BAU,7,PPWNDON,2029,0.303457
BAU,7,PPWNDON,2030,0.303457
BAU,7,PPWNDON,2031,0.303457
BAU,7,PPWNDON,2032,0.360457
BAU,7,PPWNDON,2033,0.360457
BAU,7,PPWNDON,2034,0.360457
BAU,7,PPWNDON,2035,0.385457
BAU,7,PPWNDON,2036,0.385457
BAU,7,PPWNDON,2037,0.385457
BAU,7,PPWNDON,2038,0.385457
BAU,7,PPWNDON,2039,0.445457
BAU,7,PPWNDON,2040,0.489031
BAU,7,PPWNDON,2041,0.488575
BAU,7,PPWNDON,2042,0.488575
BAU,7,PPWNDON,2043,0.488575
BAU,7,PPWNDON,2044,0.488575
BAU,7,PPWNDON,2045,0.445399
BAU,7,PPWNDON,2046,0.450529
BAU,7,PPWNDON,2047,0.455669
BAU,7,PPWNDON,2048,0.46081
BAU,7,PPWNDON,2049,0.488839
BAU,7,PPWNDON,2050,0.51588
BAU,7,PPWNDON,2051,0.51588
BAU,7,PPWNDON,2052,0.491641
BAU,7,PPWNDON,2053,0.491641
BAU,7,PPWNDON,2054,0.491641
BAU,7,PPWNDON,2055,0.466641
BAU,8,PPPVT,2021,0.0573256
BAU,8,PPPVT,2022,0.0573256
BAU,8,PPPVT,2023,0.0573256
BAU,8,PPPVT,2024,0.0594499
BAU,8,PPPVT,2025,0.15366
BAU,8,PPPVT,2026,0.24366
BAU,8,PPPVT,2027,0.338123
BAU,8,PPPVT,2028,0.428123
BAU,8,PPPVT,2029,0.518123
BAU,8,PPPVT,2030,0.608123
BAU,8,PPPVT,2031,0.698123
BAU,8,PPPVT,2032,0.788123
BAU,8,PPPVT,2033,0.822123
BAU,8,PPPVT,2034,0.850273
BAU,8,PPPVT,2035,0.999425
BAU,8,PPPVT,2036,1.11739
BAU,8,PPPVT,2037,1.20801
BAU,8,PPPVT,2038,1.27801
BAU,8,PPPVT,2039,1.36801
BAU,8,PPPVT,2040,1.39101
BAU,8,PPPVT,2041,1.42368
BAU,8,PPPVT,2042,1.42368
BAU,8,PPPVT,2043,1.42368
BAU,8,PPPVT,2044,1.42156
BAU,8,PPPVT,2045,1.4525
BAU,8,PPPVT,2046,1.48346
BAU,8,PPPVT,2047,1.51442
BAU,8,PPPVT,2048,1.54537
BAU,8,PPPVT,2049,1.57633
BAU,8,PPPVT,2050,1.60729
BAU,8,PPPVT,2051,1.63824
BAU,8,PPPVT,2052,1.66919
BAU,8,PPPVT,2053,1.70015
BAU,8,PPPVT,2054,1.7311
BAU,8,PPPVT,2055,1.76206
BAU,8,PPWNDON,2021,0.102457
BAU,8,PPWNDON,2022,0.102457
BAU,8,PPWNDON,2023,0.102457
BAU,8,PPWNDON,2024,0.102457
BAU,8,PPWNDON,2025,0.162457
BAU,8,PPWNDON,2026,0.222457
BAU,8,PPWNDON,2027,0.282457
BAU,8,PPWNDON,2028,0.303457
BAU,8,PPWNDON,2029,0.303457
BAU,8,PPWNDON,2030,0.303457
BAU,8,PPWNDON,2031,0.303457
BAU,8,PPWNDON,2032,0.360457
BAU,8,PPWNDON,2033,0.360457
BAU,8,PPWNDON,2034,0.360457
BAU,8,PPWNDON,2035,0.385457
BAU,8,PPWNDON,2036,0.385457
BAU,8,PPWNDON,2037,0.385457
BAU,8,PPWNDON,2038,0.447259
BAU,8,PPWNDON,2039,0.507259
BAU,8,PPWNDON,2040,0.507259
BAU,8,PPWNDON,2041,0.506803
BAU,8,PPWNDON,2042,0.506803
BAU,8,PPWNDON,2043,0.506803
BAU,8,PPWNDON,2044,0.506803
BAU,8,PPWNDON,2045,0.446803
BAU,8,PPWNDON,2046,0.450529
BAU,8,PPWNDON,2047,0.455669
BAU,8,PPWNDON,2048,0.48773
BAU,8,PPWNDON,2049,0.537062
BAU,8,PPWNDON,2050,0.583508
BAU,8,PPWNDON,2051,0.583508
BAU,8,PPWNDON,2052,0.581734
BAU,8,PPWNDON,2053,0.581734
BAU,8,PPWNDON,2054,0.581734
BAU,8,PPWNDON,2055,0.579612
BAU,9,PPPVT,2021,0.0573256
BAU,9,PPPVT,2022,0.0573256
BAU,9,PPPVT,2023,0.0573256
BAU,9,PPPVT,2024,0.0594499
BAU,9,PPPVT,2025,0.149973
BAU,9,PPPVT,2026,0.239973
BAU,9,PPPVT,2027,0.329973
BAU,9,PPPVT,2028,0.419973
BAU,9,PPPVT,2029,0.509973
BAU,9,PPPVT,2030,0.599973
BAU,9,PPPVT,2031,0.689973
BAU,9,PPPVT,2032,0.779973
BAU,9,PPPVT,2033,0.813973
BAU,9,PPPVT,2034,0.813973
BAU,9,PPPVT,2035,0.815642
BAU,9,PPPVT,2036,0.900132
BAU,9,PPPVT,2037,0.990649
BAU,9,PPPVT,2038,1.06105
BAU,9,PPPVT,2039,1.15158
BAU,9,PPPVT,2040,1.1747
BAU,9,PPPVT,2041,1.20789
BAU,9,PPPVT,2042,1.20789
BAU,9,PPPVT,2043,1.20789
BAU,9,PPPVT,2044,1.20789
BAU,9,PPPVT,2045,1.20789
BAU,9,PPPVT,2046,1.20789
BAU,9,PPPVT,2047,1.20789
BAU,9,PPPVT,2048,1.20789
BAU,9,PPPVT,2049,1.20789
BAU,9,PPPVT,2050,1.20789
BAU,9,PPPVT,2051,1.20789
BAU,9,PPPVT,2052,1.20789
BAU,9,PPPVT,2053,1.20789
BAU,9,PPPVT,2054,1.20789
BAU,9,PPPVT,2055,1.20789
BAU,9,PPWNDON,2021,0.102457
BAU,9,PPWNDON,2022,0.102457
