Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,92,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
BAU,92,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
BAU,92,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
BAU,92,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
BAU,92,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,138.179,122.192,,,122.192,,,,,,138.179,,Energy
BAU,92,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,141.394,121.665,,,121.665,,,,,,134.661,,Energy
BAU,92,,DIST_DSL,,2027,,7.1572,7.1572,7.1572,7.1572,,,,144.1,120.652,,,120.652,,,,,,130.7029,,Energy
BAU,92,,DIST_DSL,,2028,,7.32155,7.32155,7.32155,7.32155,,,,148.325,120.842,,,120.842,,,,,,128.1287,,Energy
BAU,92,,DIST_DSL,,2029,,7.48096,7.48096,7.48096,7.48096,,,,152.49,120.887,,,120.887,,,,,,125.4539,,Energy
BAU,92,,DIST_DSL,,2030,,7.64378,7.64378,7.64378,7.64378,,,,156.765,120.926,,,120.926,,,,,,122.8295,,Energy
BAU,92,,DIST_DSL,,2031,,7.82929,7.82929,7.82929,7.82929,,,,161.55,121.258,,,121.258,,,,,,120.5511,,Energy
BAU,92,,DIST_DSL,,2032,,8.01011,8.01011,8.01011,8.01011,,,,166.283,121.447,,,121.447,,,,,,118.1742,,Energy
BAU,92,,DIST_DSL,,2033,,8.19289,8.19289,8.19289,8.19289,,,,171.103,121.598,,,121.598,,,,,,115.8092,,Energy
BAU,92,,DIST_DSL,,2034,,8.37218,8.37218,8.37218,8.37218,,,,175.894,121.634,,,121.634,,,,,,113.3828,,Energy
BAU,92,,DIST_DSL,,2035,,8.54983,8.54983,8.54983,8.54983,,,,180.696,121.587,,,121.587,,,,,,110.9317,,Energy
BAU,92,,DIST_DSL,,2036,,8.80833,8.80833,8.80833,8.80833,,,,187.261,122.608,,,122.608,,,,,,109.4876,,Energy
BAU,92,,DIST_DSL,,2037,,9.05565,9.05565,9.05565,9.05565,,,,193.652,123.375,,,123.375,,,,,,107.8327,,Energy
BAU,92,,DIST_DSL,,2038,,9.28135,9.28135,9.28135,9.28135,,,,199.64,123.762,,,123.762,,,,,,105.8734,,Energy
BAU,92,,DIST_DSL,,2039,,9.50425,9.50425,9.50425,9.50425,,,,205.624,124.035,,,124.035,,,,,,103.8541,,Energy
BAU,92,,DIST_DSL,,2040,,9.72537,9.72537,9.72537,9.72537,,,,211.624,124.214,,,124.214,,,,,,101.7948,,Energy
BAU,92,,DIST_DSL,,2041,,10.0762,10.0762,10.0762,10.0762,,,,220.518,125.946,,,125.946,,,,,,101.0218,,Energy
BAU,92,,DIST_DSL,,2042,,10.4231,10.4231,10.4231,10.4231,,,,229.415,127.496,,,127.496,,,,,,100.093,,Energy
BAU,92,,DIST_DSL,,2043,,10.7728,10.7728,10.7728,10.7728,,,,238.461,128.951,,,128.951,,,,,,99.0855,,Energy
BAU,92,,DIST_DSL,,2044,,11.1207,11.1207,11.1207,11.1207,,,,247.551,130.259,,,130.259,,,,,,97.9643,,Energy
BAU,92,,DIST_DSL,,2045,,11.4679,11.4679,11.4679,11.4679,,,,256.715,131.439,,,131.439,,,,,,96.7532,,Energy
BAU,92,,DIST_DSL,,2046,,11.8587,11.8587,11.8587,11.8587,,,,266.947,132.995,,,132.995,,,,,,95.8186,,Energy
BAU,92,,DIST_DSL,,2047,,12.256,12.256,12.256,12.256,,,,277.425,134.489,,,134.489,,,,,,94.8377,,Energy
BAU,92,,DIST_DSL,,2048,,12.6554,12.6554,12.6554,12.6554,,,,288.048,135.875,,,135.875,,,,,,93.7802,,Energy
BAU,92,,DIST_DSL,,2049,,13.0562,13.0562,13.0562,13.0562,,,,298.805,137.15,,,137.15,,,,,,92.6498,,Energy
BAU,92,,DIST_DSL,,2050,,13.4542,13.4542,13.4542,13.4542,,,,309.596,138.273,,,138.273,,,,,,91.4246,,Energy
BAU,92,,DIST_DSL,,2051,,13.7946,13.7946,13.7946,13.7946,,,,319.154,138.7,,,138.7,,,,,,89.7591,,Energy
BAU,92,,DIST_DSL,,2052,,14.1388,14.1388,14.1388,14.1388,,,,328.887,139.077,,,139.077,,,,,,88.0918,,Energy
BAU,92,,DIST_DSL,,2053,,14.4895,14.4895,14.4895,14.4895,,,,338.857,139.431,,,139.431,,,,,,86.4403,,Energy
BAU,92,,DIST_DSL,,2054,,14.8438,14.8438,14.8438,14.8438,,,,349.002,139.735,,,139.735,,,,,,84.7888,,Energy
BAU,92,,DIST_DSL,,2055,,15.2043,15.2043,15.2043,15.2043,,,,359.379,140.011,,,140.011,,,,,,83.1522,,Energy
BAU,92,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,388.333,383.064,,,383.064,,,,,,472.0212,,Energy
BAU,92,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.922,454.891,,,454.891,,,,,,548.624,,Energy
BAU,92,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,404.916,,,404.916,,,,,,477.9801,,Energy
BAU,92,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.721,365.993,,,365.993,,,,,,422.8571,,Energy
BAU,92,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,340.38,,,340.38,,,,,,384.913,,Energy
BAU,92,,DIST_GSL,,2026,,21.7438,21.7438,21.7438,21.7438,,,,389.557,335.202,,,335.202,,,,,,371.0067,,Energy
BAU,92,,DIST_GSL,,2027,,22.0877,22.0877,22.0877,22.0877,,,,397.478,332.799,,,332.799,,,,,,360.5243,,Energy
BAU,92,,DIST_GSL,,2028,,22.4416,22.4416,22.4416,22.4416,,,,405.633,330.473,,,330.473,,,,,,350.401,,Energy
BAU,92,,DIST_GSL,,2029,,22.7923,22.7923,22.7923,22.7923,,,,413.789,328.031,,,328.031,,,,,,340.4252,,Energy
BAU,92,,DIST_GSL,,2030,,23.132,23.132,23.132,23.132,,,,421.799,325.368,,,325.368,,,,,,330.4906,,Energy
BAU,92,,DIST_GSL,,2031,,23.5086,23.5086,23.5086,23.5086,,,,430.539,323.159,,,323.159,,,,,,321.2748,,Energy
BAU,92,,DIST_GSL,,2032,,23.8813,23.8813,23.8813,23.8813,,,,439.268,320.824,,,320.824,,,,,,312.1796,,Energy
BAU,92,,DIST_GSL,,2033,,24.2418,24.2418,24.2418,24.2418,,,,447.829,318.26,,,318.26,,,,,,303.1083,,Energy
BAU,92,,DIST_GSL,,2034,,24.5978,24.5978,24.5978,24.5978,,,,456.366,315.586,,,315.586,,,,,,294.1776,,Energy
BAU,92,,DIST_GSL,,2035,,24.948,24.948,24.948,24.948,,,,464.851,312.789,,,312.789,,,,,,285.3782,,Energy
BAU,92,,DIST_GSL,,2036,,25.3786,25.3786,25.3786,25.3786,,,,474.895,310.935,,,310.935,,,,,,277.6613,,Energy
BAU,92,,DIST_GSL,,2037,,25.808,25.808,25.808,25.808,,,,484.987,308.983,,,308.983,,,,,,270.0589,,Energy
BAU,92,,DIST_GSL,,2038,,26.2486,26.2486,26.2486,26.2486,,,,495.359,307.085,,,307.085,,,,,,262.6995,,Energy
BAU,92,,DIST_GSL,,2039,,26.6832,26.6832,26.6832,26.6832,,,,505.684,305.037,,,305.037,,,,,,255.4048,,Energy
BAU,92,,DIST_GSL,,2040,,27.1097,27.1097,27.1097,27.1097,,,,515.927,302.827,,,302.827,,,,,,248.1697,,Energy
BAU,92,,DIST_GSL,,2041,,27.7268,27.7268,27.7268,27.7268,,,,529.881,302.634,,,302.634,,,,,,242.7446,,Energy
BAU,92,,DIST_GSL,,2042,,28.3391,28.3391,28.3391,28.3391,,,,543.841,302.235,,,302.235,,,,,,237.276,,Energy
BAU,92,,DIST_GSL,,2043,,28.9448,28.9448,28.9448,28.9448,,,,557.769,301.621,,,301.621,,,,,,231.7645,,Energy
BAU,92,,DIST_GSL,,2044,,29.5479,29.5479,29.5479,29.5479,,,,571.745,300.845,,,300.845,,,,,,226.2589,,Energy
BAU,92,,DIST_GSL,,2045,,30.1441,30.1441,30.1441,30.1441,,,,585.685,299.874,,,299.874,,,,,,220.7385,,Energy
BAU,92,,DIST_GSL,,2046,,30.8112,30.8112,30.8112,30.8112,,,,601.099,299.471,,,299.471,,,,,,215.7599,,Energy
BAU,92,,DIST_GSL,,2047,,31.4732,31.4732,31.4732,31.4732,,,,616.523,298.876,,,298.876,,,,,,210.7583,,Energy
BAU,92,,DIST_GSL,,2048,,32.1293,32.1293,32.1293,32.1293,,,,631.935,298.09,,,298.09,,,,,,205.7399,,Energy
BAU,92,,DIST_GSL,,2049,,32.7802,32.7802,32.7802,32.7802,,,,647.347,297.13,,,297.13,,,,,,200.7215,,Energy
BAU,92,,DIST_GSL,,2050,,33.4241,33.4241,33.4241,33.4241,,,,662.727,295.99,,,295.99,,,,,,195.7051,,Energy
BAU,92,,DIST_GSL,,2051,,34.1435,34.1435,34.1435,34.1435,,,,679.712,295.394,,,295.394,,,,,,191.1627,,Energy
BAU,92,,DIST_GSL,,2052,,34.8743,34.8743,34.8743,34.8743,,,,697.037,294.758,,,294.758,,,,,,186.7002,,Energy
BAU,92,,DIST_GSL,,2053,,35.6177,35.6177,35.6177,35.6177,,,,714.734,294.095,,,294.095,,,,,,182.3241,,Energy
BAU,92,,DIST_GSL,,2054,,36.3748,36.3748,36.3748,36.3748,,,,732.824,293.411,,,293.411,,,,,,178.0369,,Energy
BAU,92,,DIST_GSL,,2055,,37.1448,37.1448,37.1448,37.1448,,,,751.294,292.699,,,292.699,,,,,,173.8325,,Energy
BAU,92,,DIST_NGS,,2021,,24.5082,24.5082,24.5082,24.5082,,,,172.94,170.593,,,170.593,,,,,,210.2097,,Energy
BAU,92,,DIST_NGS,,2022,,25.4084,25.4084,25.4084,25.4084,,,,179.592,172.38,,,172.38,,,,,,207.9002,,Energy
BAU,92,,DIST_NGS,,2023,,26.5315,26.5315,26.5315,26.5315,,,,185.33,173.093,,,173.093,,,,,,204.3263,,Energy
BAU,92,,DIST_NGS,,2024,,27.0753,27.0753,27.0753,27.0753,,,,191.696,174.213,,,174.213,,,,,,201.2808,,Energy
BAU,92,,DIST_NGS,,2025,,27.9234,27.9234,27.9234,27.9234,,,,195.383,172.778,,,172.778,,,,,,195.383,,Energy
BAU,92,,DIST_NGS,,2026,,26.5623,26.5623,26.5623,26.5623,,,,190.149,163.617,,,163.617,,,,,,181.0943,,Energy
BAU,92,,DIST_NGS,,2027,,27.1371,27.1371,27.1371,27.1371,,,,196.074,164.168,,,164.168,,,,,,177.8449,,Energy
BAU,92,,DIST_NGS,,2028,,26.6126,26.6126,26.6126,26.6126,,,,194.059,158.101,,,158.101,,,,,,167.6355,,Energy
BAU,92,,DIST_NGS,,2029,,26.6378,26.6378,26.6378,26.6378,,,,196.022,155.396,,,155.396,,,,,,161.2678,,Energy
BAU,92,,DIST_NGS,,2030,,24.6607,24.6607,24.6607,24.6607,,,,183.118,141.254,,,141.254,,,,,,143.4777,,Energy
BAU,92,,DIST_NGS,,2031,,23.8424,23.8424,23.8424,23.8424,,,,178.632,134.079,,,134.079,,,,,,133.2979,,Energy
BAU,92,,DIST_NGS,,2032,,23.555,23.555,23.555,23.555,,,,178.05,130.04,,,130.04,,,,,,126.5368,,Energy
BAU,92,,DIST_NGS,,2033,,23.2675,23.2675,23.2675,23.2675,,,,177.428,126.094,,,126.094,,,,,,120.0903,,Energy
BAU,92,,DIST_NGS,,2034,,22.9802,22.9802,22.9802,22.9802,,,,176.771,122.24,,,122.24,,,,,,113.9482,,Energy
BAU,92,,DIST_NGS,,2035,,20.5699,20.5699,20.5699,20.5699,,,,159.604,107.394,,,107.394,,,,,,97.983,,Energy
BAU,92,,DIST_NGS,,2036,,19.4817,19.4817,19.4817,19.4817,,,,152.46,99.8224,,,99.8224,,,,,,89.1402,,Energy
BAU,92,,DIST_NGS,,2037,,18.3937,18.3937,18.3937,18.3937,,,,145.172,92.4888,,,92.4888,,,,,,80.8372,,Energy
BAU,92,,DIST_NGS,,2038,,17.3058,17.3058,17.3058,17.3058,,,,137.74,85.3885,,,85.3885,,,,,,73.0465,,Energy
BAU,92,,DIST_NGS,,2039,,16.2181,16.2181,16.2181,16.2181,,,,130.165,78.5174,,,78.5174,,,,,,65.7422,,Energy
BAU,92,,DIST_NGS,,2040,,15.1303,15.1303,15.1303,15.1303,,,,122.443,71.8689,,,71.8689,,,,,,58.8972,,Energy
BAU,92,,DIST_NGS,,2041,,15.3217,15.3217,15.3217,15.3217,,,,125.016,71.4012,,,71.4012,,,,,,57.2713,,Energy
BAU,92,,DIST_NGS,,2042,,15.5131,15.5131,15.5131,15.5131,,,,127.613,70.9198,,,70.9198,,,,,,55.6771,,Energy
BAU,92,,DIST_NGS,,2043,,15.705,15.705,15.705,15.705,,,,130.239,70.4282,,,70.4282,,,,,,54.117,,Energy
BAU,92,,DIST_NGS,,2044,,15.8967,15.8967,15.8967,15.8967,,,,132.888,69.9241,,,69.9241,,,,,,52.5883,,Energy
BAU,92,,DIST_NGS,,2045,,16.0883,16.0883,16.0883,16.0883,,,,135.563,69.409,,,69.409,,,,,,51.0923,,Energy
BAU,92,,DIST_NGS,,2046,,16.2819,16.2819,16.2819,16.2819,,,,138.281,68.8922,,,68.8922,,,,,,49.6349,,Energy
BAU,92,,DIST_NGS,,2047,,16.7197,16.7197,16.7197,16.7197,,,,143.114,69.3782,,,69.3782,,,,,,48.9235,,Energy
BAU,92,,DIST_NGS,,2048,,16.6695,16.6695,16.6695,16.6695,,,,143.798,67.831,,,67.831,,,,,,46.8165,,Energy
BAU,92,,DIST_NGS,,2049,,16.8634,16.8634,16.8634,16.8634,,,,146.595,67.2865,,,67.2865,,,,,,45.4544,,Energy
BAU,92,,DIST_NGS,,2050,,17.3402,17.3402,17.3402,17.3402,,,,151.896,67.8406,,,67.8406,,,,,,44.8553,,Energy
BAU,92,,DIST_NGS,,2051,,17.235,17.235,17.235,17.235,,,,152.125,66.1113,,,66.1113,,,,,,42.7837,,Energy
BAU,92,,DIST_NGS,,2052,,17.4123,17.4123,17.4123,17.4123,,,,154.851,65.4824,,,65.4824,,,,,,41.4766,,Energy
BAU,92,,DIST_NGS,,2053,,17.5898,17.5898,17.5898,17.5898,,,,157.602,64.8494,,,64.8494,,,,,,40.2033,,Energy
BAU,92,,DIST_NGS,,2054,,17.7673,17.7673,17.7673,17.7673,,,,160.38,64.2136,,,64.2136,,,,,,38.9637,,Energy
BAU,92,,DIST_NGS,,2055,,17.945,17.945,17.945,17.945,,,,163.181,63.574,,,63.574,,,,,,37.7564,,Energy
BAU,92,,DIST_LPG,,2021,,4.4822,4.4822,4.4822,4.4822,,,,97.0204,95.7039,,,95.7039,,,,,,117.9289,,Energy
BAU,92,,DIST_LPG,,2022,,5.4102,5.4102,5.4102,5.4102,,,,117.108,112.405,,,112.405,,,,,,135.5671,,Energy
BAU,92,,DIST_LPG,,2023,,5.529,5.529,5.529,5.529,,,,123.018,114.895,,,114.895,,,,,,135.6273,,Energy
BAU,92,,DIST_LPG,,2024,,5.5567,5.5567,5.5567,5.5567,,,,118.128,107.355,,,107.355,,,,,,124.0344,,Energy
BAU,92,,DIST_LPG,,2025,,5.5845,5.5845,5.5845,5.5845,,,,112.065,99.0992,,,99.0992,,,,,,112.065,,Energy
BAU,92,,DIST_LPG,,2026,,5.612,5.612,5.612,5.612,,,,108.47,93.3349,,,93.3349,,,,,,103.3048,,Energy
BAU,92,,DIST_LPG,,2027,,5.6583,5.6583,5.6583,5.6583,,,,110.026,92.1218,,,92.1218,,,,,,99.7968,,Energy
BAU,92,,DIST_LPG,,2028,,5.7046,5.7046,5.7046,5.7046,,,,111.592,90.9152,,,90.9152,,,,,,96.3974,,Energy
BAU,92,,DIST_LPG,,2029,,5.7511,5.7511,5.7511,5.7511,,,,113.174,89.7183,,,89.7183,,,,,,93.1085,,Energy
BAU,92,,DIST_LPG,,2030,,5.7978,5.7978,5.7978,5.7978,,,,114.769,88.5309,,,88.5309,,,,,,89.9245,,Energy
BAU,92,,DIST_LPG,,2031,,5.8394,5.8394,5.8394,5.8394,,,,116.275,87.2747,,,87.2747,,,,,,86.7662,,Energy
BAU,92,,DIST_LPG,,2032,,5.8812,5.8812,5.8812,5.8812,,,,117.794,86.032,,,86.032,,,,,,83.714,,Energy
BAU,92,,DIST_LPG,,2033,,5.9232,5.9232,5.9232,5.9232,,,,119.327,84.8026,,,84.8026,,,,,,80.7652,,Energy
BAU,92,,DIST_LPG,,2034,,5.9652,5.9652,5.9652,5.9652,,,,120.87,83.5838,,,83.5838,,,,,,77.9139,,Energy
BAU,92,,DIST_LPG,,2035,,6.0075,6.0075,6.0075,6.0075,,,,122.429,82.3798,,,82.3798,,,,,,75.1608,,Energy
BAU,92,,DIST_LPG,,2036,,6.0482,6.0482,6.0482,6.0482,,,,123.965,81.165,,,81.165,,,,,,72.4798,,Energy
BAU,92,,DIST_LPG,,2037,,6.0891,6.0891,6.0891,6.0891,,,,125.514,79.9645,,,79.9645,,,,,,69.8909,,Energy
BAU,92,,DIST_LPG,,2038,,6.1301,6.1301,6.1301,6.1301,,,,127.075,78.7766,,,78.7766,,,,,,67.3906,,Energy
BAU,92,,DIST_LPG,,2039,,6.1711,6.1711,6.1711,6.1711,,,,128.645,77.6008,,,77.6008,,,,,,64.9745,,Energy
BAU,92,,DIST_LPG,,2040,,6.2124,6.2124,6.2124,6.2124,,,,130.232,76.4404,,,76.4404,,,,,,62.6438,,Energy
BAU,92,,DIST_LPG,,2041,,6.2486,6.2486,6.2486,6.2486,,,,131.72,75.2303,,,75.2303,,,,,,60.3424,,Energy
BAU,92,,DIST_LPG,,2042,,6.2849,6.2849,6.2849,6.2849,,,,133.22,74.0358,,,74.0358,,,,,,58.1234,,Energy
BAU,92,,DIST_LPG,,2043,,6.3213,6.3213,6.3213,6.3213,,,,134.73,72.8568,,,72.8568,,,,,,55.9831,,Energy
BAU,92,,DIST_LPG,,2044,,6.3577,6.3577,6.3577,6.3577,,,,136.248,71.692,,,71.692,,,,,,53.918,,Energy
BAU,92,,DIST_LPG,,2045,,6.3944,6.3944,6.3944,6.3944,,,,137.781,70.5448,,,70.5448,,,,,,51.9282,,Energy
BAU,92,,DIST_LPG,,2046,,6.4238,6.4238,6.4238,6.4238,,,,139.165,69.3328,,,69.3328,,,,,,49.9522,,Energy
BAU,92,,DIST_LPG,,2047,,6.4532,6.4532,6.4532,6.4532,,,,140.555,68.1379,,,68.1379,,,,,,48.0487,,Energy
BAU,92,,DIST_LPG,,2048,,6.4827,6.4827,6.4827,6.4827,,,,141.955,66.9616,,,66.9616,,,,,,46.2165,,Energy
BAU,92,,DIST_LPG,,2049,,6.5123,6.5123,6.5123,6.5123,,,,143.364,65.8034,,,65.8034,,,,,,44.4526,,Energy
BAU,92,,DIST_LPG,,2050,,6.542,6.542,6.542,6.542,,,,144.782,64.663,,,64.663,,,,,,42.7545,,Energy
BAU,92,,DIST_LPG,,2051,,6.5517,6.5517,6.5517,6.5517,,,,145.762,63.346,,,63.346,,,,,,40.9942,,Energy
BAU,92,,DIST_LPG,,2052,,6.5615,6.5615,6.5615,6.5615,,,,146.746,62.0549,,,62.0549,,,,,,39.3057,,Energy
BAU,92,,DIST_LPG,,2053,,6.5713,6.5713,6.5713,6.5713,,,,147.733,60.7883,,,60.7883,,,,,,37.6857,,Energy
BAU,92,,DIST_LPG,,2054,,6.5811,6.5811,6.5811,6.5811,,,,148.722,59.5458,,,59.5458,,,,,,36.1315,,Energy
BAU,92,,DIST_LPG,,2055,,6.591,6.591,6.591,6.591,,,,149.715,58.3277,,,58.3277,,,,,,34.6407,,Energy
BAU,92,,DIST_KER,,2021,,0.1589,0.1589,0.1589,0.1589,,,,2.64694,2.61102,,,2.61102,,,,,,3.2174,,Energy
BAU,92,,DIST_KER,,2022,,1.2037,1.2037,1.2037,1.2037,,,,20.0511,19.2459,,,19.2459,,,,,,23.2117,,Energy
BAU,92,,DIST_KER,,2023,,0.0843,0.0843,0.0843,0.0843,,,,1.18517,1.10691,,,1.10691,,,,,,1.3066,,Energy
BAU,92,,DIST_KER,,2024,,0.0849,0.0849,0.0849,0.0849,,,,1.1455,1.04103,,,1.04103,,,,,,1.2028,,Energy
BAU,92,,DIST_KER,,2025,,0.0855,0.0855,0.0855,0.0855,,,,1.07462,0.950294,,,0.950294,,,,,,1.0746,,Energy
BAU,92,,DIST_KER,,2026,,0.0861,0.0861,0.0861,0.0861,,,,1.07591,0.92579,,,0.92579,,,,,,1.0247,,Energy
BAU,92,,DIST_KER,,2027,,0.087,0.087,0.087,0.087,,,,1.09326,0.91536,,,0.91536,,,,,,0.9916,,Energy
BAU,92,,DIST_KER,,2028,,0.0879,0.0879,0.0879,0.0879,,,,1.11073,0.904922,,,0.904922,,,,,,0.9595,,Energy
BAU,92,,DIST_KER,,2029,,0.0888,0.0888,0.0888,0.0888,,,,1.12834,0.894489,,,0.894489,,,,,,0.9283,,Energy
BAU,92,,DIST_KER,,2030,,0.0897,0.0897,0.0897,0.0897,,,,1.14606,0.884051,,,0.884051,,,,,,0.898,,Energy
BAU,92,,DIST_KER,,2031,,0.0904,0.0904,0.0904,0.0904,,,,1.16134,0.871692,,,0.871692,,,,,,0.8666,,Energy
BAU,92,,DIST_KER,,2032,,0.0912,0.0912,0.0912,0.0912,,,,1.17801,0.860373,,,0.860373,,,,,,0.8372,,Energy
BAU,92,,DIST_KER,,2033,,0.0919,0.0919,0.0919,0.0919,,,,1.1935,0.848187,,,0.848187,,,,,,0.8078,,Energy
