Strategy,Future.ID,Technology,Year,UseByTechnology
BAU,0,T4DSL_PUB,2045,0.77612
BAU,0,T4DSL_PUB,2046,0.795338
BAU,0,T4DSL_PUB,2047,0.813842
BAU,0,T4DSL_PUB,2048,0.832978
BAU,0,T4DSL_PUB,2049,0.85283
BAU,0,T4DSL_PUB,2050,0.871966
BAU,0,T4DSL_PUB,2051,0.891185
BAU,0,T4DSL_PUB,2052,0.909056
BAU,0,T4DSL_PUB,2053,0.928907
BAU,0,T4DSL_PUB,2054,0.948043
BAU,0,T4DSL_PUB,2055,0.967895
BAU,0,T4ELE_PRI,2021,0.0
BAU,0,T4ELE_PRI,2022,0.0
BAU,0,T4ELE_PRI,2023,0.0
BAU,0,T4ELE_PRI,2024,0.0
BAU,0,T4ELE_PRI,2025,0.0
BAU,0,T4ELE_PRI,2026,0.005796
BAU,0,T4ELE_PRI,2026,0.0
BAU,0,T4ELE_PRI,2027,0.0116784
BAU,0,T4ELE_PRI,2027,0.0
BAU,0,T4ELE_PRI,2028,0.0178632
BAU,0,T4ELE_PRI,2028,0.0
BAU,0,T4ELE_PRI,2029,0.0242136
BAU,0,T4ELE_PRI,2029,0.0
BAU,0,T4ELE_PRI,2030,0.030834
BAU,0,T4ELE_PRI,2030,0.0
BAU,0,T4ELE_PRI,2031,0.0392616
BAU,0,T4ELE_PRI,2031,0.0
BAU,0,T4ELE_PRI,2032,0.0480384
BAU,0,T4ELE_PRI,2032,0.0
BAU,0,T4ELE_PRI,2033,0.0571644
BAU,0,T4ELE_PRI,2033,0.0
BAU,0,T4ELE_PRI,2034,0.066528
BAU,0,T4ELE_PRI,2034,0.0
BAU,0,T4ELE_PRI,2035,0.0761688
BAU,0,T4ELE_PRI,2035,0.0
BAU,0,T4ELE_PRI,2036,0.0865476
BAU,0,T4ELE_PRI,2036,0.0
BAU,0,T4ELE_PRI,2037,0.0972036
BAU,0,T4ELE_PRI,2037,0.0
BAU,0,T4ELE_PRI,2038,0.108216
BAU,0,T4ELE_PRI,2038,0.0
BAU,0,T4ELE_PRI,2039,0.119617
BAU,0,T4ELE_PRI,2039,0.0
BAU,0,T4ELE_PRI,2040,0.131486
BAU,0,T4ELE_PRI,2040,0.0
BAU,0,T4ELE_PRI,2041,0.144068
BAU,0,T4ELE_PRI,2041,0.0
BAU,0,T4ELE_PRI,2042,0.15719
BAU,0,T4ELE_PRI,2042,0.0
BAU,0,T4ELE_PRI,2043,0.170708
BAU,0,T4ELE_PRI,2043,0.0
BAU,0,T4ELE_PRI,2044,0.184583
BAU,0,T4ELE_PRI,2044,0.0
BAU,0,T4ELE_PRI,2045,0.199037
BAU,0,T4ELE_PRI,2045,0.0
BAU,0,T4ELE_PRI,2046,0.214322
BAU,0,T4ELE_PRI,2046,0.0
BAU,0,T4ELE_PRI,2047,0.230108
BAU,0,T4ELE_PRI,2047,0.0
BAU,0,T4ELE_PRI,2048,0.24637
BAU,0,T4ELE_PRI,2048,0.0
BAU,0,T4ELE_PRI,2049,0.263138
BAU,0,T4ELE_PRI,2049,0.0
BAU,0,T4ELE_PRI,2050,0.280343
BAU,0,T4ELE_PRI,2050,0.0
BAU,0,T4ELE_PRI,2051,0.286258
BAU,0,T4ELE_PRI,2051,0.0
BAU,0,T4ELE_PRI,2052,0.292291
BAU,0,T4ELE_PRI,2052,0.0
BAU,0,T4ELE_PRI,2053,0.298483
BAU,0,T4ELE_PRI,2053,0.0
BAU,0,T4ELE_PRI,2054,0.304826
BAU,0,T4ELE_PRI,2054,0.0
BAU,0,T4ELE_PRI,2055,0.311177
BAU,0,T4ELE_PRI,2055,0.0
BAU,0,T4ELE_PUB,2021,0.0
BAU,0,T4ELE_PUB,2022,0.0
BAU,0,T4ELE_PUB,2023,0.0
BAU,0,T4ELE_PUB,2024,0.0
BAU,0,T4ELE_PUB,2025,0.0
BAU,0,T4ELE_PUB,2026,0.0024516
BAU,0,T4ELE_PUB,2026,0.0
BAU,0,T4ELE_PUB,2027,0.0044028
BAU,0,T4ELE_PUB,2027,0.0
BAU,0,T4ELE_PUB,2028,0.006894
BAU,0,T4ELE_PUB,2028,0.0
BAU,0,T4ELE_PUB,2029,0.0094248
BAU,0,T4ELE_PUB,2029,0.0
BAU,0,T4ELE_PUB,2030,0.0119952
BAU,0,T4ELE_PUB,2030,0.0
BAU,0,T4ELE_PUB,2031,0.0153828
BAU,0,T4ELE_PUB,2031,0.0
BAU,0,T4ELE_PUB,2032,0.01881
BAU,0,T4ELE_PUB,2032,0.0
BAU,0,T4ELE_PUB,2033,0.0222768
BAU,0,T4ELE_PUB,2033,0.0
BAU,0,T4ELE_PUB,2034,0.0258228
BAU,0,T4ELE_PUB,2034,0.0
BAU,0,T4ELE_PUB,2035,0.0299088
BAU,0,T4ELE_PUB,2035,0.0
BAU,0,T4ELE_PUB,2036,0.033534
BAU,0,T4ELE_PUB,2036,0.0
BAU,0,T4ELE_PUB,2037,0.0377784
BAU,0,T4ELE_PUB,2037,0.0
BAU,0,T4ELE_PUB,2038,0.042102
BAU,0,T4ELE_PUB,2038,0.0
BAU,0,T4ELE_PUB,2039,0.0464256
BAU,0,T4ELE_PUB,2039,0.0
BAU,0,T4ELE_PUB,2040,0.0513684
BAU,0,T4ELE_PUB,2040,0.0
BAU,0,T4ELE_PUB,2041,0.05589
BAU,0,T4ELE_PUB,2041,0.0
BAU,0,T4ELE_PUB,2042,0.0610308
BAU,0,T4ELE_PUB,2042,0.0
BAU,0,T4ELE_PUB,2043,0.0667512
BAU,0,T4ELE_PUB,2043,0.0
BAU,0,T4ELE_PUB,2044,0.0720108
BAU,0,T4ELE_PUB,2044,0.0
BAU,0,T4ELE_PUB,2045,0.0773496
BAU,0,T4ELE_PUB,2045,0.0
BAU,0,T4ELE_PUB,2046,0.0833472
BAU,0,T4ELE_PUB,2046,0.0
BAU,0,T4ELE_PUB,2047,0.0893844
BAU,0,T4ELE_PUB,2047,0.0
BAU,0,T4ELE_PUB,2048,0.0960804
BAU,0,T4ELE_PUB,2048,0.0
BAU,0,T4ELE_PUB,2049,0.102276
BAU,0,T4ELE_PUB,2049,0.0
BAU,0,T4ELE_PUB,2050,0.109091
BAU,0,T4ELE_PUB,2050,0.0
BAU,0,T4ELE_PUB,2051,0.111542
BAU,0,T4ELE_PUB,2051,0.0
BAU,0,T4ELE_PUB,2052,0.114034
BAU,0,T4ELE_PUB,2052,0.0
BAU,0,T4ELE_PUB,2053,0.116024
BAU,0,T4ELE_PUB,2053,0.0
BAU,0,T4ELE_PUB,2054,0.118555
BAU,0,T4ELE_PUB,2054,0.0
BAU,0,T4ELE_PUB,2055,0.121086
BAU,0,T4ELE_PUB,2055,0.0
BAU,0,T4FOI_HEA,2021,0.0144
BAU,0,T4FOI_HEA,2022,0.0156
BAU,0,T4FOI_HEA,2023,0.0163036
BAU,0,T4FOI_HEA,2024,0.0165251
BAU,0,T4FOI_HEA,2025,0.0169
BAU,0,T4FOI_HEA,2026,0.030514
BAU,0,T4FOI_HEA,2027,0.0446376
BAU,0,T4FOI_HEA,2028,0.0593
BAU,0,T4FOI_HEA,2029,0.0744
BAU,0,T4FOI_HEA,2030,0.0900176
BAU,0,T4FOI_HEA,2031,0.1063
BAU,0,T4FOI_HEA,2032,0.123201
BAU,0,T4FOI_HEA,2033,0.140743
BAU,0,T4FOI_HEA,2034,0.1587
BAU,0,T4FOI_HEA,2035,0.177327
BAU,0,T4FOI_HEA,2036,0.1972
BAU,0,T4FOI_HEA,2037,0.2178
BAU,0,T4FOI_HEA,2038,0.239132
BAU,0,T4FOI_HEA,2039,0.261004
BAU,0,T4FOI_HEA,2040,0.2837
BAU,0,T4FOI_HEA,2041,0.2806
BAU,0,T4FOI_HEA,2042,0.277234
BAU,0,T4FOI_HEA,2043,0.273319
BAU,0,T4FOI_HEA,2044,0.268903
BAU,0,T4FOI_HEA,2045,0.2641
BAU,0,T4FOI_HEA,2046,0.2595
BAU,0,T4FOI_HEA,2047,0.254425
BAU,0,T4FOI_HEA,2048,0.2488
BAU,0,T4FOI_HEA,2049,0.2427
BAU,0,T4FOI_HEA,2050,0.236133
BAU,0,T4FOI_HEA,2051,0.241124
BAU,0,T4FOI_HEA,2052,0.2462
BAU,0,T4FOI_HEA,2053,0.2514
BAU,0,T4FOI_HEA,2054,0.256731
BAU,0,T4FOI_HEA,2055,0.262132
BAU,0,T4GSL_LIG,2021,0.871633
BAU,0,T4GSL_LIG,2022,0.943262
BAU,0,T4GSL_LIG,2023,0.987582
BAU,0,T4GSL_LIG,2024,1.00594
BAU,0,T4GSL_LIG,2025,1.02563
BAU,0,T4GSL_LIG,2026,1.03145
BAU,0,T4GSL_LIG,2027,1.03638
BAU,0,T4GSL_LIG,2028,1.04086
BAU,0,T4GSL_LIG,2029,1.04444
BAU,0,T4GSL_LIG,2030,1.04802
BAU,0,T4GSL_LIG,2031,1.05294
BAU,0,T4GSL_LIG,2032,1.05742
BAU,0,T4GSL_LIG,2033,1.061
BAU,0,T4GSL_LIG,2034,1.06414
BAU,0,T4GSL_LIG,2035,1.06682
BAU,0,T4GSL_LIG,2036,1.07309
BAU,0,T4GSL_LIG,2037,1.07846
BAU,0,T4GSL_LIG,2038,1.08294
BAU,0,T4GSL_LIG,2039,1.08697
BAU,0,T4GSL_LIG,2040,1.0901
BAU,0,T4GSL_LIG,2041,1.13129
BAU,0,T4GSL_LIG,2042,1.17337
BAU,0,T4GSL_LIG,2043,1.2159
BAU,0,T4GSL_LIG,2044,1.25932
BAU,0,T4GSL_LIG,2045,1.30364
BAU,0,T4GSL_LIG,2046,1.3511
BAU,0,T4GSL_LIG,2047,1.3999
BAU,0,T4GSL_LIG,2048,1.44914
BAU,0,T4GSL_LIG,2049,1.49928
BAU,0,T4GSL_LIG,2050,1.55076
BAU,0,T4GSL_LIG,2051,1.58344
BAU,0,T4GSL_LIG,2052,1.61657
BAU,0,T4GSL_LIG,2053,1.65104
BAU,0,T4GSL_LIG,2054,1.68552
BAU,0,T4GSL_LIG,2055,1.72133
BAU,0,T4GSL_PRI,2021,17.1316
BAU,0,T4GSL_PRI,2022,18.5346
BAU,0,T4GSL_PRI,2023,19.3998
BAU,0,T4GSL_PRI,2024,19.7715
BAU,0,T4GSL_PRI,2025,20.1545
BAU,0,T4GSL_PRI,2026,20.467
BAU,0,T4GSL_PRI,2027,20.7794
BAU,0,T4GSL_PRI,2028,21.0902
BAU,0,T4GSL_PRI,2029,21.3932
BAU,0,T4GSL_PRI,2030,21.6903
BAU,0,T4GSL_PRI,2031,22.0172
BAU,0,T4GSL_PRI,2032,22.3396
BAU,0,T4GSL_PRI,2033,22.6583
BAU,0,T4GSL_PRI,2034,22.9735
BAU,0,T4GSL_PRI,2035,23.2848
BAU,0,T4GSL_PRI,2036,23.6838
BAU,0,T4GSL_PRI,2037,24.0492
BAU,0,T4GSL_PRI,2038,24.4386
BAU,0,T4GSL_PRI,2039,24.8235
BAU,0,T4GSL_PRI,2040,25.2031
BAU,0,T4GSL_PRI,2041,25.7246
BAU,0,T4GSL_PRI,2042,26.2426
BAU,0,T4GSL_PRI,2043,26.7578
BAU,0,T4GSL_PRI,2044,27.2706
BAU,0,T4GSL_PRI,2045,27.7794
BAU,0,T4GSL_PRI,2046,28.3495
BAU,0,T4GSL_PRI,2047,28.9162
BAU,0,T4GSL_PRI,2048,29.4797
BAU,0,T4GSL_PRI,2049,30.0398
BAU,0,T4GSL_PRI,2050,30.597
BAU,0,T4GSL_PRI,2051,31.2429
BAU,0,T4GSL_PRI,2052,31.9023
BAU,0,T4GSL_PRI,2053,32.5755
BAU,0,T4GSL_PRI,2054,33.263
BAU,0,T4GSL_PRI,2055,33.9652
BAU,0,T4GSL_PUB,2021,2.86331
BAU,0,T4GSL_PUB,2022,3.09821
BAU,0,T4GSL_PUB,2023,3.24235
BAU,0,T4GSL_PUB,2024,3.30524
BAU,0,T4GSL_PUB,2025,3.36908
BAU,0,T4GSL_PUB,2026,3.42663
BAU,0,T4GSL_PUB,2027,3.48388
BAU,0,T4GSL_PUB,2028,3.54056
BAU,0,T4GSL_PUB,2029,3.59781
BAU,0,T4GSL_PUB,2030,3.65445
BAU,0,T4GSL_PUB,2031,3.71592
BAU,0,T4GSL_PUB,2032,3.77765
BAU,0,T4GSL_PUB,2033,3.83852
BAU,0,T4GSL_PUB,2034,3.89964
BAU,0,T4GSL_PUB,2035,3.9596
BAU,0,T4GSL_PUB,2036,4.03572
BAU,0,T4GSL_PUB,2037,4.11067
BAU,0,T4GSL_PUB,2038,4.18502
BAU,0,T4GSL_PUB,2039,4.25993
BAU,0,T4GSL_PUB,2040,4.33367
BAU,0,T4GSL_PUB,2041,4.42436
BAU,0,T4GSL_PUB,2042,4.515
BAU,0,T4GSL_PUB,2043,4.60478
BAU,0,T4GSL_PUB,2044,4.69452
BAU,0,T4GSL_PUB,2045,4.78366
BAU,0,T4GSL_PUB,2046,4.883
BAU,0,T4GSL_PUB,2047,4.98204
BAU,0,T4GSL_PUB,2048,5.08075
BAU,0,T4GSL_PUB,2049,5.17858
BAU,0,T4GSL_PUB,2050,5.27638
BAU,0,T4GSL_PUB,2051,5.38782
BAU,0,T4GSL_PUB,2052,5.50168
BAU,0,T4GSL_PUB,2053,5.6176
BAU,0,T4GSL_PUB,2054,5.73593
BAU,0,T4GSL_PUB,2055,5.85754
BAU,1,T4DSL_HEA,2021,7.5281836
BAU,1,T4DSL_HEA,2022,8.144768
BAU,1,T4DSL_HEA,2023,8.5246451
BAU,1,T4DSL_HEA,2024,8.6888131
BAU,1,T4DSL_HEA,2025,8.8567989
BAU,1,T4DSL_HEA,2026,8.9427007
BAU,1,T4DSL_HEA,2027,9.0126642
BAU,1,T4DSL_HEA,2028,9.1704678
BAU,1,T4DSL_HEA,2029,9.3269761
BAU,1,T4DSL_HEA,2030,9.482137
BAU,1,T4DSL_HEA,2031,9.6543227
BAU,1,T4DSL_HEA,2032,9.8239752
BAU,1,T4DSL_HEA,2033,9.9910163
BAU,1,T4DSL_HEA,2034,10.158052
BAU,1,T4DSL_HEA,2035,10.321004
BAU,1,T4DSL_HEA,2036,10.52327
BAU,1,T4DSL_HEA,2037,10.723168
BAU,1,T4DSL_HEA,2038,10.919931
BAU,1,T4DSL_HEA,2039,11.11416
BAU,1,T4DSL_HEA,2040,11.305778
BAU,1,T4DSL_HEA,2041,11.729847
BAU,1,T4DSL_HEA,2042,12.161656
BAU,1,T4DSL_HEA,2043,12.602855
BAU,1,T4DSL_HEA,2044,13.053533
BAU,1,T4DSL_HEA,2045,13.512345
BAU,1,T4DSL_HEA,2046,14.011896
BAU,1,T4DSL_HEA,2047,14.520829
BAU,1,T4DSL_HEA,2048,15.040685
BAU,1,T4DSL_HEA,2049,15.571569
BAU,1,T4DSL_HEA,2050,16.110623
BAU,1,T4DSL_HEA,2051,16.576714
BAU,1,T4DSL_HEA,2052,17.055377
BAU,1,T4DSL_HEA,2053,17.548261
BAU,1,T4DSL_HEA,2054,18.052507
BAU,1,T4DSL_HEA,2055,18.57204
BAU,1,T4DSL_LIG,2021,0.92409296
BAU,1,T4DSL_LIG,2022,0.999635
BAU,1,T4DSL_LIG,2023,1.0459347
BAU,1,T4DSL_LIG,2024,1.0667182
BAU,1,T4DSL_LIG,2025,1.0871463
BAU,1,T4DSL_LIG,2026,1.1195637
BAU,1,T4DSL_LIG,2027,1.1715974
BAU,1,T4DSL_LIG,2028,1.2159817
BAU,1,T4DSL_LIG,2029,1.2615823
BAU,1,T4DSL_LIG,2030,1.3077113
BAU,1,T4DSL_LIG,2031,1.358357
BAU,1,T4DSL_LIG,2032,1.4096997
BAU,1,T4DSL_LIG,2033,1.4621956
BAU,1,T4DSL_LIG,2034,1.5164973
BAU,1,T4DSL_LIG,2035,1.5713609
BAU,1,T4DSL_LIG,2036,1.6342218
BAU,1,T4DSL_LIG,2037,1.6985797
BAU,1,T4DSL_LIG,2038,1.7647934
BAU,1,T4DSL_LIG,2039,1.8321552
BAU,1,T4DSL_LIG,2040,1.901397
BAU,1,T4DSL_LIG,2041,1.9462726
BAU,1,T4DSL_LIG,2042,1.9905907
BAU,1,T4DSL_LIG,2043,2.0351459
BAU,1,T4DSL_LIG,2044,2.0792617
BAU,1,T4DSL_LIG,2045,2.1233932
BAU,1,T4DSL_LIG,2046,2.1724972
BAU,1,T4DSL_LIG,2047,2.2211872
BAU,1,T4DSL_LIG,2048,2.2695011
BAU,1,T4DSL_LIG,2049,2.3173182
BAU,1,T4DSL_LIG,2050,2.3647732
BAU,1,T4DSL_LIG,2051,2.4333517
BAU,1,T4DSL_LIG,2052,2.5037392
BAU,1,T4DSL_LIG,2053,2.5755859
BAU,1,T4DSL_LIG,2054,2.6501788
BAU,1,T4DSL_LIG,2055,2.7262859
BAU,1,T4DSL_PRI,2021,0.41189148
BAU,1,T4DSL_PRI,2022,0.44540496
BAU,1,T4DSL_PRI,2023,0.46594548
BAU,1,T4DSL_PRI,2024,0.47531484
BAU,1,T4DSL_PRI,2025,0.48432384
BAU,1,T4DSL_PRI,2026,0.52576524
BAU,1,T4DSL_PRI,2027,0.56926458
BAU,1,T4DSL_PRI,2028,0.61257456
BAU,1,T4DSL_PRI,2029,0.65860443
BAU,1,T4DSL_PRI,2030,0.71372632
BAU,1,T4DSL_PRI,2031,0.77175815
BAU,1,T4DSL_PRI,2032,0.8327442
BAU,1,T4DSL_PRI,2033,0.8948409
BAU,1,T4DSL_PRI,2034,0.95993052
BAU,1,T4DSL_PRI,2035,1.0273413
BAU,1,T4DSL_PRI,2036,1.1063176
BAU,1,T4DSL_PRI,2037,1.228058
BAU,1,T4DSL_PRI,2038,1.3091499
BAU,1,T4DSL_PRI,2039,1.3927005
BAU,1,T4DSL_PRI,2040,1.4788084
BAU,1,T4DSL_PRI,2041,1.5134463
BAU,1,T4DSL_PRI,2042,1.5479994
BAU,1,T4DSL_PRI,2043,1.5828624
BAU,1,T4DSL_PRI,2044,1.616417
BAU,1,T4DSL_PRI,2045,1.6514424
BAU,1,T4DSL_PRI,2046,1.6929557
BAU,1,T4DSL_PRI,2047,1.7430874
BAU,1,T4DSL_PRI,2048,1.7932819
BAU,1,T4DSL_PRI,2049,1.8439487
BAU,1,T4DSL_PRI,2050,1.8963007
BAU,1,T4DSL_PRI,2051,1.9453877
BAU,1,T4DSL_PRI,2052,1.9966146
BAU,1,T4DSL_PRI,2053,2.0491575
BAU,1,T4DSL_PRI,2054,2.1026018
BAU,1,T4DSL_PRI,2055,2.1577684
BAU,1,T4DSL_PUB,2021,0.46112729
BAU,1,T4DSL_PUB,2022,0.49866753
BAU,1,T4DSL_PUB,2023,0.52223002
BAU,1,T4DSL_PUB,2024,0.5318943
BAU,1,T4DSL_PUB,2025,0.54257904
BAU,1,T4DSL_PUB,2026,0.55167296
BAU,1,T4DSL_PUB,2027,0.56899618
BAU,1,T4DSL_PUB,2028,0.58236864
BAU,1,T4DSL_PUB,2029,0.59467298
BAU,1,T4DSL_PUB,2030,0.60849729
BAU,1,T4DSL_PUB,2031,0.62315444
BAU,1,T4DSL_PUB,2032,0.63676313
BAU,1,T4DSL_PUB,2033,0.65283133
BAU,1,T4DSL_PUB,2034,0.66575675
BAU,1,T4DSL_PUB,2035,0.68089727
BAU,1,T4DSL_PUB,2036,0.69779577
BAU,1,T4DSL_PUB,2037,0.71616115
BAU,1,T4DSL_PUB,2038,0.73312836
BAU,1,T4DSL_PUB,2039,0.75055894
BAU,1,T4DSL_PUB,2040,0.768611
BAU,1,T4DSL_PUB,2041,0.78672877
BAU,1,T4DSL_PUB,2042,0.80370059
BAU,1,T4DSL_PUB,2043,0.82153749
BAU,1,T4DSL_PUB,2044,0.83881141
BAU,1,T4DSL_PUB,2045,0.8561406
BAU,1,T4DSL_PUB,2046,0.87803338
BAU,1,T4DSL_PUB,2047,0.90219088
BAU,1,T4DSL_PUB,2048,0.92812336
BAU,1,T4DSL_PUB,2049,0.95587028
BAU,1,T4DSL_PUB,2050,0.98146725
BAU,1,T4DSL_PUB,2051,1.0082311
BAU,1,T4DSL_PUB,2052,1.0344114
BAU,1,T4DSL_PUB,2053,1.06241
BAU,1,T4DSL_PUB,2054,1.0889585
BAU,1,T4DSL_PUB,2055,1.116611
BAU,1,T4ELE_PRI,2026,0.005796
BAU,1,T4ELE_PRI,2027,0.0116784
BAU,1,T4ELE_PRI,2028,0.01786293
BAU,1,T4ELE_PRI,2029,0.02417364
BAU,1,T4ELE_PRI,2030,0.03071501
BAU,1,T4ELE_PRI,2031,0.03910099
BAU,1,T4ELE_PRI,2032,0.04793976
BAU,1,T4ELE_PRI,2033,0.05695186
BAU,1,T4ELE_PRI,2034,0.0661943
BAU,1,T4ELE_PRI,2035,0.07568148
BAU,1,T4ELE_PRI,2036,0.08593758
BAU,1,T4ELE_PRI,2037,0.09645018
BAU,1,T4ELE_PRI,2038,0.10733838
BAU,1,T4ELE_PRI,2039,0.11846406
BAU,1,T4ELE_PRI,2040,0.13016712
BAU,1,T4ELE_PRI,2041,0.1425448
BAU,1,T4ELE_PRI,2042,0.15535066
BAU,1,T4ELE_PRI,2043,0.16858373
BAU,1,T4ELE_PRI,2044,0.1822031
BAU,1,T4ELE_PRI,2045,0.19622536
BAU,1,T4ELE_PRI,2046,0.21089512
BAU,1,T4ELE_PRI,2047,0.22623786
BAU,1,T4ELE_PRI,2048,0.24201897
BAU,1,T4ELE_PRI,2049,0.25830729
BAU,1,T4ELE_PRI,2050,0.27496872
BAU,1,T4ELE_PRI,2051,0.28055705
BAU,1,T4ELE_PRI,2052,0.28623573
