Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_DSL,,2055,,8.8753,8.8753,8.8753,8.8753,,,,198.927,36.954,,,36.954,,,,,,45.5043,,Energy
LTS,0,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,388.332,378.973,,,378.973,,,,,,472.7397,,Energy
LTS,0,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.923,440.477,,,440.477,,,,,,549.2524,,Energy
LTS,0,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,383.758,,,383.758,,,,,,478.3443,,Energy
LTS,0,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.722,339.502,,,339.502,,,,,,423.0192,,Energy
LTS,0,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,309.037,,,309.037,,,,,,384.913,,Energy
LTS,0,,DIST_GSL,,2026,,19.1404,19.1404,19.1404,19.1404,,,,341.39,261.042,,,261.042,,,,,,325.0095,,Energy
LTS,0,,DIST_GSL,,2027,,17.0186,17.0186,17.0186,17.0186,,,,301.612,219.644,,,219.644,,,,,,273.3627,,Energy
LTS,0,,DIST_GSL,,2028,,14.9872,14.9872,14.9872,14.9872,,,,265.579,184.193,,,184.193,,,,,,229.1551,,Energy
LTS,0,,DIST_GSL,,2029,,13.0517,13.0517,13.0517,13.0517,,,,231.642,153.006,,,153.006,,,,,,190.2823,,Energy
LTS,0,,DIST_GSL,,2030,,11.2199,11.2199,11.2199,11.2199,,,,199.784,125.679,,,125.679,,,,,,156.2382,,Energy
LTS,0,,DIST_GSL,,2031,,10.9941,10.9941,10.9941,10.9941,,,,195.449,117.097,,,117.097,,,,,,145.5141,,Energy
LTS,0,,DIST_GSL,,2032,,10.7549,10.7549,10.7549,10.7549,,,,192.166,109.648,,,109.648,,,,,,136.2052,,Energy
LTS,0,,DIST_GSL,,2033,,10.5287,10.5287,10.5287,10.5287,,,,188.549,102.461,,,102.461,,,,,,127.2291,,Energy
LTS,0,,DIST_GSL,,2034,,10.2632,10.2632,10.2632,10.2632,,,,184.393,95.4307,,,95.4307,,,,,,118.4546,,Energy
LTS,0,,DIST_GSL,,2035,,9.9721,9.9721,9.9721,9.9721,,,,179.528,88.4885,,,88.4885,,,,,,109.7956,,Energy
LTS,0,,DIST_GSL,,2036,,9.7596,9.7596,9.7596,9.7596,,,,177.567,83.3544,,,83.3544,,,,,,103.3857,,Energy
LTS,0,,DIST_GSL,,2037,,9.5198,9.5198,9.5198,9.5198,,,,173.436,77.5384,,,77.5384,,,,,,96.1353,,Energy
