Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
BAU,45,2021,DIST_DSL,,,9.3245971,,,,,,,,,,,,,9.3245971,,,,,9.3245971,,,9.3245971,,,,,,
BAU,45,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
BAU,45,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
BAU,45,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
BAU,45,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
BAU,45,2026,DIST_DSL,,,11.139703,,,,,,,,,,,,,11.139703,,,,,11.139703,,,11.139703,,,,,,
BAU,45,2027,DIST_DSL,,,11.147552,,,,,,,,,,,,,11.147552,,,,,11.147552,,,11.147552,,,,,,
BAU,45,2028,DIST_DSL,,,11.227685,,,,,,,,,,,,,11.227685,,,,,11.227685,,,11.227685,,,,,,
BAU,45,2029,DIST_DSL,,,11.306959,,,,,,,,,,,,,11.306959,,,,,11.306959,,,11.306959,,,,,,
BAU,45,2030,DIST_DSL,,,11.387324,,,,,,,,,,,,,11.387324,,,,,11.387324,,,11.387324,,,,,,
BAU,45,2031,DIST_DSL,,,11.489542,,,,,,,,,,,,,11.489542,,,,,11.489542,,,11.489542,,,,,,
BAU,45,2032,DIST_DSL,,,11.585271,,,,,,,,,,,,,11.585271,,,,,11.585271,,,11.585271,,,,,,
BAU,45,2033,DIST_DSL,,,11.679541,,,,,,,,,,,,,11.679541,,,,,11.679541,,,11.679541,,,,,,
BAU,45,2034,DIST_DSL,,,11.76962,,,,,,,,,,,,,11.76962,,,,,11.76962,,,11.76962,,,,,,
BAU,45,2035,DIST_DSL,,,11.857569,,,,,,,,,,,,,11.857569,,,,,11.857569,,,11.857569,,,,,,
BAU,45,2036,DIST_DSL,,,11.987436,,,,,,,,,,,,,11.987436,,,,,11.987436,,,11.987436,,,,,,
BAU,45,2037,DIST_DSL,,,12.160439,,,,,,,,,,,,,12.160439,,,,,12.160439,,,12.160439,,,,,,
BAU,45,2038,DIST_DSL,,,12.282914,,,,,,,,,,,,,12.282914,,,,,12.282914,,,12.282914,,,,,,
BAU,45,2039,DIST_DSL,,,12.401419,,,,,,,,,,,,,12.401419,,,,,12.401419,,,12.401419,,,,,,
BAU,45,2040,DIST_DSL,,,12.51613,,,,,,,,,,,,,12.51613,,,,,12.51613,,,12.51613,,,,,,
BAU,45,2041,DIST_DSL,,,12.745305,,,,,,,,,,,,,12.745305,,,,,12.745305,,,12.745305,,,,,,
BAU,45,2042,DIST_DSL,,,12.968488,,,,,,,,,,,,,12.968488,,,,,12.968488,,,12.968488,,,,,,
BAU,45,2043,DIST_DSL,,,13.191283,,,,,,,,,,,,,13.191283,,,,,13.191283,,,13.191283,,,,,,
BAU,45,2044,DIST_DSL,,,13.408518,,,,,,,,,,,,,13.408518,,,,,13.408518,,,13.408518,,,,,,
BAU,45,2045,DIST_DSL,,,13.624682,,,,,,,,,,,,,13.624682,,,,,13.624682,,,13.624682,,,,,,
BAU,45,2046,DIST_DSL,,,13.873177,,,,,,,,,,,,,13.873177,,,,,13.873177,,,13.873177,,,,,,
BAU,45,2047,DIST_DSL,,,14.125983,,,,,,,,,,,,,14.125983,,,,,14.125983,,,14.125983,,,,,,
BAU,45,2048,DIST_DSL,,,14.377282,,,,,,,,,,,,,14.377282,,,,,14.377282,,,14.377282,,,,,,
BAU,45,2049,DIST_DSL,,,14.626621,,,,,,,,,,,,,14.626621,,,,,14.626621,,,14.626621,,,,,,
BAU,45,2050,DIST_DSL,,,14.871243,,,,,,,,,,,,,14.871243,,,,,14.871243,,,14.871243,,,,,,
BAU,45,2051,DIST_DSL,,,15.069202,,,,,,,,,,,,,15.069202,,,,,15.069202,,,15.069202,,,,,,
BAU,45,2052,DIST_DSL,,,15.267304,,,,,,,,,,,,,15.267304,,,,,15.267304,,,15.267304,,,,,,
BAU,45,2053,DIST_DSL,,,15.469407,,,,,,,,,,,,,15.469407,,,,,15.469407,,,15.469407,,,,,,
BAU,45,2054,DIST_DSL,,,15.672436,,,,,,,,,,,,,15.672436,,,,,15.672436,,,15.672436,,,,,,
BAU,45,2055,DIST_DSL,,,15.876521,,,,,,,,,,,,,15.876521,,,,,15.876521,,,15.876521,,,,,,
BAU,45,2021,DIST_GSL,,,20.867258,,,,,,,,,,,,,20.867258,,,,,20.867258,,,20.867258,,,,,,
BAU,45,2022,DIST_GSL,,,22.576075,,,,,,,,,,,,,22.576075,,,,,22.576075,,,22.576075,,,,,,
BAU,45,2023,DIST_GSL,,,23.629716,,,,,,,,,,,,,23.629716,,,,,23.629716,,,23.629716,,,,,,
BAU,45,2024,DIST_GSL,,,24.082654,,,,,,,,,,,,,24.082654,,,,,24.082654,,,24.082654,,,,,,
BAU,45,2025,DIST_GSL,,,24.54924,,,,,,,,,,,,,24.54924,,,,,24.54924,,,24.54924,,,,,,
BAU,45,2026,DIST_GSL,,,24.925077,,,,,,,,,,,,,24.925077,,,,,24.925077,,,24.925077,,,,,,
BAU,45,2027,DIST_GSL,,,25.199755,,,,,,,,,,,,,25.199755,,,,,25.199755,,,25.199755,,,,,,
BAU,45,2028,DIST_GSL,,,25.48316,,,,,,,,,,,,,25.48316,,,,,25.48316,,,25.48316,,,,,,
BAU,45,2029,DIST_GSL,,,25.758042,,,,,,,,,,,,,25.758042,,,,,25.758042,,,25.758042,,,,,,
BAU,45,2030,DIST_GSL,,,26.021918,,,,,,,,,,,,,26.021918,,,,,26.021918,,,26.021918,,,,,,
BAU,45,2031,DIST_GSL,,,26.317458,,,,,,,,,,,,,26.317458,,,,,26.317458,,,26.317458,,,,,,
BAU,45,2032,DIST_GSL,,,26.607614,,,,,,,,,,,,,26.607614,,,,,26.607614,,,26.607614,,,,,,
BAU,45,2033,DIST_GSL,,,26.888055,,,,,,,,,,,,,26.888055,,,,,26.888055,,,26.888055,,,,,,
BAU,45,2034,DIST_GSL,,,27.16495,,,,,,,,,,,,,27.16495,,,,,27.16495,,,27.16495,,,,,,
BAU,45,2035,DIST_GSL,,,27.431598,,,,,,,,,,,,,27.431598,,,,,27.431598,,,27.431598,,,,,,
BAU,45,2036,DIST_GSL,,,27.801713,,,,,,,,,,,,,27.801713,,,,,27.801713,,,27.801713,,,,,,
BAU,45,2037,DIST_GSL,,,28.115127,,,,,,,,,,,,,28.115127,,,,,28.115127,,,28.115127,,,,,,
BAU,45,2038,DIST_GSL,,,28.466184,,,,,,,,,,,,,28.466184,,,,,28.466184,,,28.466184,,,,,,
BAU,45,2039,DIST_GSL,,,28.810005,,,,,,,,,,,,,28.810005,,,,,28.810005,,,28.810005,,,,,,
BAU,45,2040,DIST_GSL,,,29.144699,,,,,,,,,,,,,29.144699,,,,,29.144699,,,29.144699,,,,,,
BAU,45,2041,DIST_GSL,,,29.659255,,,,,,,,,,,,,29.659255,,,,,29.659255,,,29.659255,,,,,,
BAU,45,2042,DIST_GSL,,,30.167435,,,,,,,,,,,,,30.167435,,,,,30.167435,,,30.167435,,,,,,
BAU,45,2043,DIST_GSL,,,30.667282,,,,,,,,,,,,,30.667282,,,,,30.667282,,,30.667282,,,,,,
BAU,45,2044,DIST_GSL,,,31.162624,,,,,,,,,,,,,31.162624,,,,,31.162624,,,31.162624,,,,,,
BAU,45,2045,DIST_GSL,,,31.649859,,,,,,,,,,,,,31.649859,,,,,31.649859,,,31.649859,,,,,,
BAU,45,2046,DIST_GSL,,,32.20213,,,,,,,,,,,,,32.20213,,,,,32.20213,,,32.20213,,,,,,
BAU,45,2047,DIST_GSL,,,32.747861,,,,,,,,,,,,,32.747861,,,,,32.747861,,,32.747861,,,,,,
BAU,45,2048,DIST_GSL,,,33.285565,,,,,,,,,,,,,33.285565,,,,,33.285565,,,33.285565,,,,,,
BAU,45,2049,DIST_GSL,,,33.81666,,,,,,,,,,,,,33.81666,,,,,33.81666,,,33.81666,,,,,,
BAU,45,2050,DIST_GSL,,,34.339887,,,,,,,,,,,,,34.339887,,,,,34.339887,,,34.339887,,,,,,
BAU,45,2051,DIST_GSL,,,34.938198,,,,,,,,,,,,,34.938198,,,,,34.938198,,,34.938198,,,,,,
