Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,88,,NO_CONTR_OD,,2021,,0.7188,0.7188,0.7188,0.7188,,,,,,,31.7746,30.5751,31.7746,,114.464,,,,87.1795,83.8885,,,,,,,,,,38.6811,38.6811,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2022,,0.7266,0.7266,0.7266,0.7266,,,,,,,32.1194,28.6175,32.1194,,106.326,,,,87.2182,77.709,,,,,,,,,,37.2247,37.2247,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2023,,0.7345,0.7345,0.7345,0.7345,,,,,,,32.4686,26.7857,32.4686,,98.7596,,,,87.2437,71.9738,,,,,,,,,,35.8239,35.8239,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2024,,0.7423,0.7423,0.7423,0.7423,,,,,,,32.8134,25.065,32.8134,,91.6884,,,,87.2188,66.6234,,,,,,,,,,34.4672,34.4672,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2025,,0.7502,0.7502,0.7502,0.7502,,,,,,,33.1626,23.4553,33.1626,,85.1021,,,,87.1601,61.6468,,,,,,,,,,33.1626,33.1626,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2026,,0.763556,0.763556,0.763556,0.763556,,,,,,,33.753,22.1046,33.753,,79.6613,,,,87.8875,57.5568,,,,,,,,,,32.1335,32.1335,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2027,,0.770958,0.770958,0.770958,0.770958,,,,,,,34.0802,20.6656,34.0802,,73.9562,,,,87.8831,53.2906,,,,,,,,,,30.8882,30.8882,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2028,,0.778258,0.778258,0.778258,0.778258,,,,,,,34.4029,19.316,34.4029,,68.6349,,,,87.8399,49.3189,,,,,,,,,,29.6846,29.6846,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2029,,0.78566,0.78566,0.78566,0.78566,,,,,,,34.7301,18.0553,34.7301,,63.6899,,,,87.7802,45.6347,,,,,,,,,,28.529,28.529,,,,nan,nan,
BAU,88,,NO_CONTR_OD,,2030,,0.79296,0.79296,0.79296,0.79296,,,,,,,35.0528,16.8732,35.0528,,59.0774,,,,87.6761,42.2042,,,,,,,,,,27.4125,27.4125,,,,nan,nan,
