Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit,EmissionsPenalty,SpecifiedDemandProfile,YearSplit,DistanceDriven,UnitCapitalCost (USD),UnitFixedCost (USD),BiofuelShares,FilterFuelType,FilterVehicleType
17,0,BAU,E5COMGSL,,,,2042,0.1403,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2043,0.1402,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2044,0.14,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2045,0.1398,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2046,0.1396,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2047,0.1395,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2048,0.1393,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2049,0.1391,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2050,0.139,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2051,0.1393,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2052,0.1396,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2053,0.1399,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2054,0.1403,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMGSL,,,,2055,0.1406,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2021,1.9185,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2022,2.2668,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2023,2.3646,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2024,2.3682,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2025,2.3719,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2026,2.3751,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2027,2.3706,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2028,2.366,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2029,2.3615,,,,,,,,,,,,,,,,,,,,,,,,
17,0,BAU,E5COMLPG,,,,2030,2.3569,,,,,,,,,,,,,,,,,,,,,,,,
