Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,85,,COMPOST,,2026,,0.0143213,0.0143213,0.0143213,0.0143213,,,0.526309,0.358197,,,0.902243,0.590871,0.902243,,0.400965,,,,-0.836938,-0.548104,,,,,,,,0.5011,,0.859,0.859,,nan,,nan,nan,
LTS,85,,COMPOST,,2027,,0.0286573,0.0286573,0.0286573,0.0286573,,,1.05316,0.663667,,,1.80541,1.09477,1.80541,,0.742907,,,,-1.67473,-1.01553,,,,,,,,0.9545,,1.6363,1.6363,,nan,,nan,nan,
LTS,85,,COMPOST,,2028,,0.043105,0.043105,0.043105,0.043105,,,1.58411,0.924312,,,2.71561,1.52472,2.71561,,1.03467,,,,-2.51906,-1.41436,,,,,,,,1.3669,,2.3432,2.3432,,nan,,nan,nan,
LTS,85,,COMPOST,,2029,,0.0574634,0.0574634,0.0574634,0.0574634,,,2.11178,1.14093,,,3.6202,1.88205,3.6202,,1.27715,,,,-3.35816,-1.74582,,,,,,,,1.7347,,2.9738,2.9738,,nan,,nan,nan,
LTS,85,,COMPOST,,2030,,0.0718391,0.0718391,0.0718391,0.0718391,,,2.64009,1.3207,,,4.52587,2.17859,4.52587,,1.47839,,,,-4.19828,-2.0209,,,,,,,,2.0646,,3.5394,3.5394,,nan,,nan,nan,
LTS,85,,COMPOST,,2031,,0.086404,0.086404,0.086404,0.086404,,,3.17535,1.4708,,,5.44345,2.42619,5.44345,,1.64641,,,,-5.04945,-2.25058,,,,,,,,2.3641,,4.0527,4.0527,,nan,,nan,nan,
LTS,85,,COMPOST,,2032,,0.101038,0.101038,0.101038,0.101038,,,3.71316,1.59251,,,6.36542,2.62696,6.36542,,1.78265,,,,-5.90469,-2.43682,,,,,,,,2.6318,,4.5117,4.5117,,nan,,nan,nan,
LTS,85,,COMPOST,,2033,,0.115741,0.115741,0.115741,0.115741,,,4.25349,1.68912,,,7.29169,2.78632,7.29169,,1.8908,,,,-6.76391,-2.58465,,,,,,,,2.8702,,4.9203,4.9203,,nan,,nan,nan,
LTS,85,,COMPOST,,2034,,0.130613,0.130613,0.130613,0.130613,,,4.80003,1.76496,,,8.22863,2.91143,8.22863,,1.9757,,,,-7.63303,-2.7007,,,,,,,,3.0836,,5.2861,5.2861,,nan,,nan,nan,
LTS,85,,COMPOST,,2035,,0.145449,0.145449,0.145449,0.145449,,,5.34527,1.81986,,,9.16332,3.00198,9.16332,,2.03714,,,,-8.50007,-2.7847,,,,,,,,3.2691,,5.6041,5.6041,,nan,,nan,nan,
