Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
BAU,99,2021,DIST_DSL,,,9.3252953,,,,,,,,,,,,,9.3252953,,,,,9.3252953,,,9.3252953,,,,,,
BAU,99,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
BAU,99,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
BAU,99,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
BAU,99,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
BAU,99,2026,DIST_DSL,,,11.139703,,,,,,,,,,,,,11.139703,,,,,11.139703,,,11.139703,,,,,,
BAU,99,2027,DIST_DSL,,,11.110292,,,,,,,,,,,,,11.110292,,,,,11.110292,,,11.110292,,,,,,
BAU,99,2028,DIST_DSL,,,11.152973,,,,,,,,,,,,,11.152973,,,,,11.152973,,,11.152973,,,,,,
BAU,99,2029,DIST_DSL,,,11.189178,,,,,,,,,,,,,11.189178,,,,,11.189178,,,11.189178,,,,,,
BAU,99,2030,DIST_DSL,,,11.227342,,,,,,,,,,,,,11.227342,,,,,11.227342,,,11.227342,,,,,,
BAU,99,2031,DIST_DSL,,,11.283839,,,,,,,,,,,,,11.283839,,,,,11.283839,,,11.283839,,,,,,
BAU,99,2032,DIST_DSL,,,11.333614,,,,,,,,,,,,,11.333614,,,,,11.333614,,,11.333614,,,,,,
BAU,99,2033,DIST_DSL,,,11.383657,,,,,,,,,,,,,11.383657,,,,,11.383657,,,11.383657,,,,,,
BAU,99,2034,DIST_DSL,,,11.428726,,,,,,,,,,,,,11.428726,,,,,11.428726,,,11.428726,,,,,,
BAU,99,2035,DIST_DSL,,,11.471844,,,,,,,,,,,,,11.471844,,,,,11.471844,,,11.471844,,,,,,
