Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
BAU,92,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,113.154,,113.154,,,,,,,,,,,,,,,139.4307,,,,0.0016868125404387,0.0016868125404387,,,
BAU,92,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
BAU,92,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
BAU,92,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
BAU,92,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,,,,138.179,122.192,,122.192,,,,,,,,,,,,,,,138.179,,,,0.0018543663125304,0.0018543663125304,,,
BAU,92,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,,,,141.394,121.665,,121.665,,,,,,,,,,,,,,,134.661,,,,0.0018333446507667,0.0018333446507667,,,
BAU,92,,DIST_DSL,,2027,,7.1572,7.1572,7.1572,7.1572,,,,,,,144.1,120.652,,120.652,,,,,,,,,,,,,,,130.7029,,,,0.0018052475619222,0.0018052475619222,,,
BAU,92,,DIST_DSL,,2028,,7.32155,7.32155,7.32155,7.32155,,,,,,,148.325,120.842,,120.842,,,,,,,,,,,,,,,128.1287,,,,0.0017953403621894,0.0017953403621894,,,
BAU,92,,DIST_DSL,,2029,,7.48096,7.48096,7.48096,7.48096,,,,,,,152.49,120.887,,120.887,,,,,,,,,,,,,,,125.4539,,,,0.001783337136066,0.001783337136066,,,
BAU,92,,DIST_DSL,,2030,,7.64378,7.64378,7.64378,7.64378,,,,,,,156.765,120.926,,120.926,,,,,,,,,,,,,,,122.8295,,,,0.0017713355835907,0.0017713355835907,,,
BAU,92,,DIST_DSL,,2031,,7.82929,7.82929,7.82929,7.82929,,,,,,,161.55,121.258,,121.258,,,,,,,,,,,,,,,120.5511,,,,0.001763674167893,0.001763674167893,,,
BAU,92,,DIST_DSL,,2032,,8.01011,8.01011,8.01011,8.01011,,,,,,,166.283,121.447,,121.447,,,,,,,,,,,,,,,118.1742,,,,0.0017539568067868,0.0017539568067868,,,
BAU,92,,DIST_DSL,,2033,,8.19289,8.19289,8.19289,8.19289,,,,,,,171.103,121.598,,121.598,,,,,,,,,,,,,,,115.8092,,,,0.0017437664534517,0.0017437664534517,,,
BAU,92,,DIST_DSL,,2034,,8.37218,8.37218,8.37218,8.37218,,,,,,,175.894,121.634,,121.634,,,,,,,,,,,,,,,113.3828,,,,0.0017319740105655,0.0017319740105655,,,
