Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,81,,DIST_DSL,,2021,,6.05899,6.05899,6.05899,6.05899,,,,114.622,113.066,,,113.066,,,,,,139.3238,,Energy
BAU,81,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
BAU,81,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
BAU,81,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
BAU,81,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,138.179,122.192,,,122.192,,,,,,138.179,,Energy
BAU,81,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,140.656,121.03,,,121.03,,,,,,133.9581,,Energy
BAU,81,,DIST_DSL,,2027,,7.12822,7.12822,7.12822,7.12822,,,,142.028,118.916,,,118.916,,,,,,128.8236,,Energy
BAU,81,,DIST_DSL,,2028,,7.26217,7.26217,7.26217,7.26217,,,,144.847,118.008,,,118.008,,,,,,125.1243,,Energy
BAU,81,,DIST_DSL,,2029,,7.39374,7.39374,7.39374,7.39374,,,,147.623,117.028,,,117.028,,,,,,121.4498,,Energy
BAU,81,,DIST_DSL,,2030,,7.52672,7.52672,7.52672,7.52672,,,,150.434,116.042,,,116.042,,,,,,117.869,,Energy
BAU,81,,DIST_DSL,,2031,,7.6802,7.6802,7.6802,7.6802,,,,153.661,115.336,,,115.336,,,,,,114.6642,,Energy
BAU,81,,DIST_DSL,,2032,,7.82716,7.82716,7.82716,7.82716,,,,156.762,114.493,,,114.493,,,,,,111.4078,,Energy
BAU,81,,DIST_DSL,,2033,,7.97035,7.97035,7.97035,7.97035,,,,159.795,113.562,,,113.562,,,,,,108.1555,,Energy
BAU,81,,DIST_DSL,,2034,,8.10844,8.10844,8.10844,8.10844,,,,162.731,112.531,,,112.531,,,,,,104.8979,,Energy
BAU,81,,DIST_DSL,,2035,,8.24087,8.24087,8.24087,8.24087,,,,165.559,111.402,,,111.402,,,,,,101.6389,,Energy
BAU,81,,DIST_DSL,,2036,,8.42306,8.42306,8.42306,8.42306,,,,169.394,110.909,,,110.909,,,,,,99.0412,,Energy
BAU,81,,DIST_DSL,,2037,,8.6414,8.6414,8.6414,8.6414,,,,173.963,110.831,,,110.831,,,,,,96.8691,,Energy
BAU,81,,DIST_DSL,,2038,,8.81141,8.81141,8.81141,8.81141,,,,177.568,110.078,,,110.078,,,,,,94.1681,,Energy
BAU,81,,DIST_DSL,,2039,,8.97603,8.97603,8.97603,8.97603,,,,181.07,109.224,,,109.224,,,,,,91.4527,,Energy
BAU,81,,DIST_DSL,,2040,,9.13304,9.13304,9.13304,9.13304,,,,184.426,108.25,,,108.25,,,,,,88.7121,,Energy
BAU,81,,DIST_DSL,,2041,,9.42458,9.42458,9.42458,9.42458,,,,190.508,108.806,,,108.806,,,,,,87.2739,,Energy
BAU,81,,DIST_DSL,,2042,,9.71137,9.71137,9.71137,9.71137,,,,196.506,109.207,,,109.207,,,,,,85.7349,,Energy
BAU,81,,DIST_DSL,,2043,,9.99666,9.99666,9.99666,9.99666,,,,202.485,109.497,,,109.497,,,,,,84.1367,,Energy
BAU,81,,DIST_DSL,,2044,,10.2761,10.2761,10.2761,10.2761,,,,208.357,109.635,,,109.635,,,,,,82.4539,,Energy
BAU,81,,DIST_DSL,,2045,,10.5547,10.5547,10.5547,10.5547,,,,214.224,109.684,,,109.684,,,,,,80.7388,,Energy
BAU,81,,DIST_DSL,,2046,,10.8705,10.8705,10.8705,10.8705,,,,220.858,110.033,,,110.033,,,,,,79.2753,,Energy
BAU,81,,DIST_DSL,,2047,,11.1882,11.1882,11.1882,11.1882,,,,227.544,110.308,,,110.308,,,,,,77.7859,,Energy
BAU,81,,DIST_DSL,,2048,,11.505,11.505,11.505,11.505,,,,234.226,110.487,,,110.487,,,,,,76.2573,,Energy
BAU,81,,DIST_DSL,,2049,,11.8188,11.8188,11.8188,11.8188,,,,240.858,110.553,,,110.553,,,,,,74.6823,,Energy
BAU,81,,DIST_DSL,,2050,,12.1271,12.1271,12.1271,12.1271,,,,247.391,110.491,,,110.491,,,,,,73.0552,,Energy
BAU,81,,DIST_DSL,,2051,,12.4173,12.4173,12.4173,12.4173,,,,253.569,110.198,,,110.198,,,,,,71.3139,,Energy
BAU,81,,DIST_DSL,,2052,,12.7113,12.7113,12.7113,12.7113,,,,259.834,109.877,,,109.877,,,,,,69.5961,,Energy
BAU,81,,DIST_DSL,,2053,,13.0077,13.0077,13.0077,13.0077,,,,266.162,109.519,,,109.519,,,,,,67.8962,,Energy
BAU,81,,DIST_DSL,,2054,,13.306,13.306,13.306,13.306,,,,272.541,109.121,,,109.121,,,,,,66.2128,,Energy
