Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_GSL,,2021,,16.0074,16.0074,16.0074,16.0074,,,,388.72,383.446,,,383.446,,,,,,472.4916,,Energy
BAU,78,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.922,454.891,,,454.891,,,,,,548.624,,Energy
BAU,78,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,404.916,,,404.916,,,,,,477.9801,,Energy
BAU,78,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.721,365.993,,,365.993,,,,,,422.8571,,Energy
BAU,78,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,340.38,,,340.38,,,,,,384.913,,Energy
BAU,78,,DIST_GSL,,2026,,21.7438,21.7438,21.7438,21.7438,,,,397.892,342.373,,,342.373,,,,,,378.9448,,Energy
BAU,78,,DIST_GSL,,2027,,22.2822,22.2822,22.2822,22.2822,,,,418.061,350.033,,,350.033,,,,,,379.1937,,Energy
BAU,78,,DIST_GSL,,2028,,22.8345,22.8345,22.8345,22.8345,,,,438.995,357.653,,,357.653,,,,,,379.2204,,Energy
BAU,78,,DIST_GSL,,2029,,23.377,23.377,23.377,23.377,,,,460.25,364.863,,,364.863,,,,,,378.6488,,Energy
BAU,78,,DIST_GSL,,2030,,23.9169,23.9169,23.9169,23.9169,,,,481.955,371.772,,,371.772,,,,,,377.6244,,Energy
BAU,78,,DIST_GSL,,2031,,24.498,24.498,24.498,24.498,,,,505.007,379.054,,,379.054,,,,,,376.844,,Energy
BAU,78,,DIST_GSL,,2032,,25.0772,25.0772,25.0772,25.0772,,,,528.557,386.037,,,386.037,,,,,,375.6356,,Energy
BAU,78,,DIST_GSL,,2033,,25.6526,25.6526,25.6526,25.6526,,,,552.562,392.691,,,392.691,,,,,,373.9957,,Energy
BAU,78,,DIST_GSL,,2034,,26.2283,26.2283,26.2283,26.2283,,,,577.106,399.08,,,399.08,,,,,,372.0077,,Energy
BAU,78,,DIST_GSL,,2035,,26.7996,26.7996,26.7996,26.7996,,,,602.087,405.132,,,405.132,,,,,,369.6292,,Energy
BAU,78,,DIST_GSL,,2036,,27.491,27.491,27.491,27.491,,,,630.35,412.718,,,412.718,,,,,,368.5526,,Energy
BAU,78,,DIST_GSL,,2037,,28.1259,28.1259,28.1259,28.1259,,,,657.929,419.164,,,419.164,,,,,,366.3595,,Energy
BAU,78,,DIST_GSL,,2038,,28.8106,28.8106,28.8106,28.8106,,,,687.286,426.065,,,426.065,,,,,,364.4824,,Energy
BAU,78,,DIST_GSL,,2039,,29.4913,29.4913,29.4913,29.4913,,,,717.177,432.612,,,432.612,,,,,,362.2231,,Energy
BAU,78,,DIST_GSL,,2040,,30.1702,30.1702,30.1702,30.1702,,,,747.657,438.842,,,438.842,,,,,,359.6358,,Energy
BAU,78,,DIST_GSL,,2041,,31.0681,31.0681,31.0681,31.0681,,,,784.291,447.937,,,447.937,,,,,,359.2927,,Energy
BAU,78,,DIST_GSL,,2042,,31.9692,31.9692,31.9692,31.9692,,,,821.845,456.734,,,456.734,,,,,,358.5683,,Energy
BAU,78,,DIST_GSL,,2043,,32.8738,32.8738,32.8738,32.8738,,,,860.321,465.23,,,465.23,,,,,,357.4811,,Energy
BAU,78,,DIST_GSL,,2044,,33.7808,33.7808,33.7808,33.7808,,,,899.697,473.409,,,473.409,,,,,,356.0407,,Energy
BAU,78,,DIST_GSL,,2045,,34.6899,34.6899,34.6899,34.6899,,,,939.973,481.271,,,481.271,,,,,,354.2659,,Energy
BAU,78,,DIST_GSL,,2046,,35.6879,35.6879,35.6879,35.6879,,,,983.537,490.003,,,490.003,,,,,,353.0331,,Energy
BAU,78,,DIST_GSL,,2047,,36.6901,36.6901,36.6901,36.6901,,,,1028.15,498.421,,,498.421,,,,,,351.4729,,Energy
BAU,78,,DIST_GSL,,2048,,37.6943,37.6943,37.6943,37.6943,,,,1073.74,506.495,,,506.495,,,,,,349.5789,,Energy
BAU,78,,DIST_GSL,,2049,,38.6996,38.6996,38.6996,38.6996,,,,1120.29,514.211,,,514.211,,,,,,347.366,,Energy
BAU,78,,DIST_GSL,,2050,,39.7107,39.7107,39.7107,39.7107,,,,1167.95,521.636,,,521.636,,,,,,344.8989,,Energy
BAU,78,,DIST_GSL,,2051,,40.7779,40.7779,40.7779,40.7779,,,,1218.22,529.422,,,529.422,,,,,,342.6131,,Energy
BAU,78,,DIST_GSL,,2052,,41.8677,41.8677,41.8677,41.8677,,,,1270.16,537.116,,,537.116,,,,,,340.2102,,Energy
BAU,78,,DIST_GSL,,2053,,42.9803,42.9803,42.9803,42.9803,,,,1323.82,544.717,,,544.717,,,,,,337.6981,,Energy
BAU,78,,DIST_GSL,,2054,,44.1163,44.1163,44.1163,44.1163,,,,1379.23,552.223,,,552.223,,,,,,335.0789,,Energy
BAU,78,,DIST_GSL,,2055,,45.2799,45.2799,45.2799,45.2799,,,,1436.58,559.679,,,559.679,,,,,,332.3922,,Energy
BAU,78,,DIST_NGS,,2021,,24.5082,24.5082,24.5082,24.5082,,,,172.94,170.593,,,170.593,,,,,,210.2097,,Energy
BAU,78,,DIST_NGS,,2022,,25.4084,25.4084,25.4084,25.4084,,,,179.592,172.38,,,172.38,,,,,,207.9002,,Energy
BAU,78,,DIST_NGS,,2023,,26.5315,26.5315,26.5315,26.5315,,,,185.33,173.093,,,173.093,,,,,,204.3263,,Energy
BAU,78,,DIST_NGS,,2024,,27.0753,27.0753,27.0753,27.0753,,,,191.696,174.213,,,174.213,,,,,,201.2808,,Energy
