Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,0,,COMPOST,,2045,,0.2844,0.2844,0.2844,0.2844,,,10.4517,3.24074,,,17.9172,5.42166,17.9172,,3.63316,,,,-16.6203,-5.02924,,,,,,,,3.9092,,6.7016,6.7016,,7.049095969685906e-05,,0.00012084164519461554,0.00012084164519461554,
LTS,0,,COMPOST,,2046,,0.2986,0.2986,0.2986,0.2986,,,10.9735,3.24052,,,18.8118,5.4213,18.8118,,3.63292,,,,-17.4502,-5.0289,,,,,,,,3.9075,,6.6986,6.6986,,7.15074524532179e-05,,0.00012258476275203397,0.00012258476275203397,
LTS,0,,COMPOST,,2047,,0.3128,0.3128,0.3128,0.3128,,,11.4954,3.23297,,,19.7064,5.40867,19.7064,,3.62446,,,,-18.28,-5.01719,,,,,,,,3.8969,,6.6804,6.6804,,7.237521652894764e-05,,0.00012407179976391022,0.00012407179976391022,
LTS,0,,COMPOST,,2048,,0.327,0.327,0.327,0.327,,,12.0173,3.2188,,,20.601,5.38496,20.601,,3.60857,,,,-19.1099,-4.99519,,,,,,,,3.8784,,6.6486,6.6486,,7.310251885617281e-05,,0.0001253180823442883,0.0001253180823442883,
LTS,0,,COMPOST,,2049,,0.3412,0.3412,0.3412,0.3412,,,12.5391,3.19864,,,21.4956,5.35124,21.4956,,3.58597,,,,-19.9397,-4.96391,,,,,,,,3.8526,,6.6044,6.6044,,7.369727919137482e-05,,0.00012633819289949971,0.00012633819289949971,
LTS,0,,COMPOST,,2050,,0.3555,0.3555,0.3555,0.3555,,,13.0646,3.174,,,22.3965,5.31002,22.3965,,3.55835,,,,-20.7754,-4.92567,,,,,,,,3.8215,,6.5511,6.5511,,7.4189228747445e-05,,0.00012718177836613075,0.00012718177836613075,
LTS,0,,COMPOST,,2051,,0.3697,0.3697,0.3697,0.3697,,,13.5865,3.1436,,,23.2911,5.25916,23.2911,,3.52427,,,,-21.6053,-4.8785,,,,,,,,3.7834,,6.4859,6.4859,,7.454387797487057e-05,,0.00012778926995918804,0.00012778926995918804,
LTS,0,,COMPOST,,2052,,0.3839,0.3839,0.3839,0.3839,,,14.1083,3.1089,,,24.1857,5.20111,24.1857,,3.48536,,,,-22.4351,-4.82465,,,,,,,,3.7402,,6.4118,6.4118,,7.478917201896147e-05,,0.00012821023636433847,0.00012821023636433847,
LTS,0,,COMPOST,,2053,,0.3981,0.3981,0.3981,0.3981,,,14.6302,3.07038,,,25.0803,5.13666,25.0803,,3.44217,,,,-23.265,-4.76486,,,,,,,,3.6925,,6.33,6.33,,7.493314361199242e-05,,0.00012845659811430149,0.00012845659811430149,
LTS,0,,COMPOST,,2054,,0.4123,0.4123,0.4123,0.4123,,,15.152,3.02847,,,25.9749,5.06655,25.9749,,3.3952,,,,-24.0948,-4.69983,,,,,,,,3.6407,,6.2412,6.2412,,7.49813579315758e-05,,0.0001285396828231843,0.0001285396828231843,
LTS,0,,COMPOST,,2055,,0.4265,0.4265,0.4265,0.4265,,,15.6739,2.9836,,,26.8695,4.99147,26.8695,,3.34488,,,,-24.9247,-4.63019,,,,,,,,3.5854,,6.1464,6.1464,,7.494109966406285e-05,,0.00012847025165552522,0.00012847025165552522,
LTS,0,,LANDFILL,,2026,,0.0218,0.0218,0.0218,0.0218,,,0.11445,0.0896746,,,1.44894,1.10792,1.44894,,1.19759,,,,,,,,,,,,,0.109,,1.3794,1.3794,,1.4839830172611833e-06,,1.878726389716399e-05,1.878726389716399e-05,
LTS,0,,LANDFILL,,2027,,0.0437,0.0437,0.0437,0.0437,,,0.229425,0.1712,,,2.90452,2.11516,2.90452,,2.28636,,,,,,,,,,,,,0.2079,,2.6325,2.6325,,2.8741770976516294e-06,,3.6387075792398876e-05,3.6387075792398876e-05,
LTS,0,,LANDFILL,,2028,,0.0656,0.0656,0.0656,0.0656,,,0.3444,0.244759,,,4.3601,3.02397,4.3601,,3.26873,,,,,,,,,,,,,0.2972,,3.7621,3.7621,,4.168651380314771e-06,,5.277507805839266e-05,5.277507805839266e-05,
LTS,0,,LANDFILL,,2029,,0.0874,0.0874,0.0874,0.0874,,,0.45885,0.310568,,,5.80904,3.83703,5.80904,,4.1476,,,,,,,,,,,,,0.3769,,4.7718,4.7718,,5.366150150811697e-06,,6.793544921449533e-05,6.793544921449533e-05,
LTS,0,,LANDFILL,,2030,,0.1092,0.1092,0.1092,0.1092,,,0.5733,0.369554,,,7.25798,4.5658,7.25798,,4.93536,,,,,,,,,,,,,0.4483,,5.676,5.676,,6.4778916024788846e-06,,8.201013028599283e-05,8.201013028599283e-05,
LTS,0,,LANDFILL,,2031,,0.1294,0.1294,0.1294,0.1294,,,0.67935,0.417062,,,8.60057,5.15276,8.60057,,5.56982,,,,,,,,,,,,,0.5058,,6.4032,6.4032,,7.416601841772112e-06,,9.389416839963195e-05,9.389416839963195e-05,
LTS,0,,LANDFILL,,2032,,0.1496,0.1496,0.1496,0.1496,,,0.7854,0.459207,,,9.94316,5.67346,9.94316,,6.13266,,,,,,,,,,,,,0.5567,,7.0476,7.0476,,8.284416635150773e-06,,0.00010488067240892,0.00010488067240892,
LTS,0,,LANDFILL,,2033,,0.1698,0.1698,0.1698,0.1698,,,0.89145,0.496393,,,11.2858,6.13288,11.2858,,6.62927,,,,,,,,,,,,,0.6015,,7.6154,7.6154,,9.085057381026385e-06,,0.00011501726467080327,0.00011501726467080327,
LTS,0,,LANDFILL,,2034,,0.19,0.19,0.19,0.19,,,0.9975,0.528996,,,12.6283,6.53568,12.6283,,7.06468,,,,,,,,,,,,,0.6408,,8.1125,8.1125,,9.822074861559285e-06,,0.000124346975412761,0.000124346975412761,
LTS,0,,LANDFILL,,2035,,0.2102,0.2102,0.2102,0.2102,,,1.10355,0.557368,,,13.9709,6.88622,13.9709,,7.44359,,,,,,,,,,,,,0.6749,,8.5443,8.5443,,1.0498856526314577e-05,,0.00013291511453354023,0.00013291511453354023,
LTS,0,,LANDFILL,,2036,,0.2289,0.2289,0.2289,0.2289,,,1.20172,0.57805,,,15.2138,7.14175,15.2138,,7.7198,,,,,,,,,,,,,0.6997,,8.858,8.858,,1.1046200581743769e-05,,0.00013984512732627681,0.00013984512732627681,
LTS,0,,LANDFILL,,2037,,0.2476,0.2476,0.2476,0.2476,,,1.2999,0.595499,,,16.4567,7.35733,16.4567,,7.95283,,,,,,,,,,,,,0.7205,,9.1219,9.1219,,1.1544609036394637e-05,,0.00014615444844159984,0.00014615444844159984,
LTS,0,,LANDFILL,,2038,,0.2662,0.2662,0.2662,0.2662,,,1.39755,0.609746,,,17.693,7.53335,17.693,,8.1431,,,,,,,,,,,,,0.7375,,9.3366,9.3366,,1.1992128981168991e-05,,0.00015182049877558796,0.00015182049877558796,
LTS,0,,LANDFILL,,2039,,0.2849,0.2849,0.2849,0.2849,,,1.49573,0.621505,,,18.9359,7.67862,18.9359,,8.30013,,,,,,,,,,,,,0.7514,,9.5131,9.5131,,1.2400574076410043e-05,,0.0001569909212581769,0.0001569909212581769,
LTS,0,,LANDFILL,,2040,,0.3036,0.3036,0.3036,0.3036,,,1.5939,0.63076,,,20.1788,7.79298,20.1788,,8.42374,,,,,,,,,,,,,0.7623,,9.6511,9.6511,,1.2767601156406217e-05,,0.00016163803890764146,0.00016163803890764146,
LTS,0,,LANDFILL,,2041,,0.3209,0.3209,0.3209,0.3209,,,1.68473,0.634955,,,21.3286,7.8448,21.3286,,8.47976,,,,,,,,,,,,,0.7671,,9.7115,9.7115,,1.3038817191164653e-05,,0.00016507079255635883,0.00016507079255635883,
LTS,0,,LANDFILL,,2042,,0.3382,0.3382,0.3382,0.3382,,,1.77555,0.63732,,,22.4785,7.87402,22.4785,,8.51134,,,,,,,,,,,,,0.7697,,9.744,9.744,,1.3277014937482864e-05,,0.00016808728578311427,0.00016808728578311427,
LTS,0,,LANDFILL,,2043,,0.3555,0.3555,0.3555,0.3555,,,1.86637,0.63802,,,23.6283,7.88267,23.6283,,8.52069,,,,,,,,,,,,,0.7702,,9.751,9.751,,1.3484192143970575e-05,,0.00017071027568776818,0.00017071027568776818,
LTS,0,,LANDFILL,,2044,,0.3728,0.3728,0.3728,0.3728,,,1.9572,0.637208,,,24.7782,7.87264,24.7782,,8.50985,,,,,,,,,,,,,0.7689,,9.7349,9.7349,,1.3662244232024147e-05,,0.0001729643470416619,0.0001729643470416619,
LTS,0,,LANDFILL,,2045,,0.3901,0.3901,0.3901,0.3901,,,2.04803,0.635027,,,25.928,7.84569,25.928,,8.48072,,,,,,,,,,,,,0.766,,9.6978,9.6978,,1.381283429374726e-05,,0.00017487007884077824,0.00017487007884077824,
LTS,0,,LANDFILL,,2046,,0.4062,0.4062,0.4062,0.4062,,,2.13255,0.629748,,,26.9981,7.78047,26.9981,,8.41022,,,,,,,,,,,,,0.7594,,9.6136,9.6136,,1.3896497719880608e-05,,0.00017592977191208112,0.00017592977191208112,
LTS,0,,LANDFILL,,2047,,0.4222,0.4222,0.4222,0.4222,,,2.21655,0.623384,,,28.0615,7.70185,28.0615,,8.32523,,,,,,,,,,,,,0.7514,,9.5128,9.5128,,1.3955433146931718e-05,,0.00017667563883179914,0.00017667563883179914,
LTS,0,,LANDFILL,,2048,,0.4383,0.4383,0.4383,0.4383,,,2.30107,0.616339,,,29.1316,7.6148,29.1316,,8.23114,,,,,,,,,,,,,0.7426,,9.4017,9.4017,,1.3997654470169968e-05,,0.00017721063286349543,0.00017721063286349543,
LTS,0,,LANDFILL,,2049,,0.4544,0.4544,0.4544,0.4544,,,2.3856,0.608551,,,30.2017,7.51859,30.2017,,8.12714,,,,,,,,,,,,,0.733,,9.2794,9.2794,,1.402112027489563e-05,,0.00017750740618977,0.00017750740618977,
LTS,0,,LANDFILL,,2050,,0.4705,0.4705,0.4705,0.4705,,,2.47012,0.600108,,,31.2718,7.41427,31.2718,,8.01438,,,,,,,,,,,,,0.7225,,9.1471,9.1471,,1.4026935207632751e-05,,0.0001775814585631669,0.0001775814585631669,
LTS,0,,LANDFILL,,2051,,0.4566,0.4566,0.4566,0.4566,,,2.39715,0.554646,,,30.3479,6.8526,30.3479,,7.40725,,,,,,,,,,,,,0.6675,,8.451,8.451,,1.3152236196773342e-05,,0.0001665072060054889,0.0001665072060054889,
LTS,0,,LANDFILL,,2052,,0.4426,0.4426,0.4426,0.4426,,,2.32365,0.512038,,,29.4174,6.32618,29.4174,,6.83822,,,,,,,,,,,,,0.616,,7.7988,7.7988,,1.2317845492501567e-05,,0.00015594387622538486,0.00015594387622538486,
LTS,0,,LANDFILL,,2053,,0.4287,0.4287,0.4287,0.4287,,,2.25067,0.472341,,,28.4935,5.83572,28.4935,,6.30806,,,,,,,,,,,,,0.568,,7.1914,7.1914,,1.1527510104660426e-05,,0.0001459383690932664,0.0001459383690932664,
LTS,0,,LANDFILL,,2054,,0.4148,0.4148,0.4148,0.4148,,,2.1777,0.435262,,,27.5697,5.37762,27.5697,,5.81288,,,,,,,,,,,,,0.5233,,6.6244,6.6244,,1.0776590758156854e-05,,0.00013643172807326857,0.00013643172807326857,
LTS,0,,LANDFILL,,2055,,0.4009,0.4009,0.4009,0.4009,,,2.10472,0.400645,,,26.6458,4.94992,26.6458,,5.35057,,,,,,,,,,,,,0.4815,,6.0952,6.0952,,1.0063228123501256e-05,,0.00012740068224428419,0.00012740068224428419,
LTS,0,,NO_CONTR_OD,,2021,,0.7188,0.7188,0.7188,0.7188,,,,,,,31.7746,31.0088,31.7746,,116.087,,,,87.1795,85.0784,,,,,,,,,,38.6811,38.6811,,,,0.0004672460443503323,0.0004672460443503323,
LTS,0,,NO_CONTR_OD,,2022,,0.7266,0.7266,0.7266,0.7266,,,,,,,32.1194,29.8526,32.1194,,110.916,,,,87.2182,81.0631,,,,,,,,,,37.2247,37.2247,,,,0.0004547300167058357,0.0004547300167058357,
LTS,0,,NO_CONTR_OD,,2023,,0.7345,0.7345,0.7345,0.7345,,,,,,,32.4686,28.7402,32.4686,,105.966,,,,87.2437,77.2255,,,,,,,,,,35.8239,35.8239,,,,0.0004667644225931197,0.0004667644225931197,
LTS,0,,NO_CONTR_OD,,2024,,0.7423,0.7423,0.7423,0.7423,,,,,,,32.8134,27.6623,32.8134,,101.189,,,,87.2188,73.5271,,,,,,,,,,34.4672,34.4672,,,,0.00045576929768033857,0.00045576929768033857,
LTS,0,,NO_CONTR_OD,,2025,,0.7502,0.7502,0.7502,0.7502,,,,,,,33.1626,26.6254,33.1626,,96.6041,,,,87.1601,69.9787,,,,,,,,,,33.1626,33.1626,,,,0.00044504308379653655,0.00044504308379653655,
LTS,0,,NO_CONTR_OD,,2026,,0.7202,0.7202,0.7202,0.7202,,,,,,,31.8364,24.3435,31.8364,,87.7302,,,,82.8971,63.3867,,,,,,,,,,30.3088,30.3088,,,,0.0004127975266992917,0.0004127975266992917,
LTS,0,,NO_CONTR_OD,,2027,,0.6901,0.6901,0.6901,0.6901,,,,,,,30.5059,22.2153,30.5059,,79.5024,,,,78.6659,57.287,,,,,,,,,,27.6487,27.6487,,,,0.00038217002995859586,0.00038217002995859586,
LTS,0,,NO_CONTR_OD,,2028,,0.6601,0.6601,0.6601,0.6601,,,,,,,29.1797,20.2377,29.1797,,71.9101,,,,74.5037,51.6723,,,,,,,,,,25.1777,25.1777,,,,0.00035319395087738363,0.00035319395087738363,
LTS,0,,NO_CONTR_OD,,2029,,0.6301,0.6301,0.6301,0.6301,,,,,,,27.8536,18.3981,27.8536,,64.8991,,,,70.3998,46.501,,,,,,,,,,22.8803,22.8803,,,,0.000325741745321235,0.000325741745321235,
LTS,0,,NO_CONTR_OD,,2030,,0.6001,0.6001,0.6001,0.6001,,,,,,,26.5274,16.6877,26.5274,,58.428,,,,66.352,41.7403,,,,,,,,,,20.7454,20.7454,,,,0.00029974118558450785,0.00029974118558450785,
LTS,0,,NO_CONTR_OD,,2031,,0.5701,0.5701,0.5701,0.5701,,,,,,,25.2013,15.0985,25.2013,,52.54,,,,62.4943,37.4415,,,,,,,,,,18.7627,18.7627,,,,0.00027512770736005227,0.00027512770736005227,
LTS,0,,NO_CONTR_OD,,2032,,0.5401,0.5401,0.5401,0.5401,,,,,,,23.8751,13.6229,23.8751,,47.1024,,,,58.6754,33.4795,,,,,,,,,,16.9224,16.9224,,,,0.00025183508480505247,0.00025183508480505247,
LTS,0,,NO_CONTR_OD,,2033,,0.5101,0.5101,0.5101,0.5101,,,,,,,22.549,12.2535,22.549,,42.0858,,,,54.8975,29.8323,,,,,,,,,,15.2156,15.2156,,,,0.00022980420537861232,0.00022980420537861232,
LTS,0,,NO_CONTR_OD,,2034,,0.4801,0.4801,0.4801,0.4801,,,,,,,21.2228,10.9837,21.2228,,37.4641,,,,51.166,26.4805,,,,,,,,,,13.6336,13.6336,,,,0.0002089743662876194,0.0002089743662876194,
LTS,0,,NO_CONTR_OD,,2035,,0.4501,0.4501,0.4501,0.4501,,,,,,,19.8967,9.80699,19.8967,,33.2119,,,,47.4846,23.4049,,,,,,,,,,12.1684,12.1684,,,,0.0001892914672168214,0.0001892914672168214,
LTS,0,,NO_CONTR_OD,,2036,,0.4201,0.4201,0.4201,0.4201,,,,,,,18.5705,8.71746,18.5705,,29.3435,,,,43.9389,20.626,,,,,,,,,,10.8124,10.8124,,,,0.00017069988674838787,0.00017069988674838787,
LTS,0,,NO_CONTR_OD,,2037,,0.3901,0.3901,0.3901,0.3901,,,,,,,17.2444,7.70946,17.2444,,25.7848,,,,40.4306,18.0754,,,,,,,,,,9.5585,9.5585,,,,0.00015315013160027976,0.00015315013160027976,
LTS,0,,NO_CONTR_OD,,2038,,0.3601,0.3601,0.3601,0.3601,,,,,,,15.9182,6.77769,15.9182,,22.5186,,,,36.9694,15.7409,,,,,,,,,,8.4001,8.4001,,,,0.00013659125437232603,0.00013659125437232603,
LTS,0,,NO_CONTR_OD,,2039,,0.3301,0.3301,0.3301,0.3301,,,,,,,14.5921,5.91718,14.5921,,19.5255,,,,33.5587,13.6083,,,,,,,,,,7.3308,7.3308,,,,0.00012097799534700981,0.00012097799534700981,
LTS,0,,NO_CONTR_OD,,2040,,0.3001,0.3001,0.3001,0.3001,,,,,,,13.2659,5.12326,13.2659,,16.7865,,,,30.2003,11.6632,,,,,,,,,,6.3448,6.3448,,,,0.000106263705490162,0.000106263705490162,
LTS,0,,NO_CONTR_OD,,2041,,0.2701,0.2701,0.2701,0.2701,,,,,,,11.9398,4.39152,11.9398,,14.3014,,,,26.9433,9.90992,,,,,,,,,,5.4365,5.4365,,,,9.240701447654385e-05,9.240701447654385e-05,
LTS,0,,NO_CONTR_OD,,2042,,0.2401,0.2401,0.2401,0.2401,,,,,,,10.6136,3.71787,10.6136,,12.0308,,,,23.7315,8.31295,,,,,,,,,,4.6008,4.6008,,,,7.936522527693848e-05,7.936522527693848e-05,
LTS,0,,NO_CONTR_OD,,2043,,0.21,0.21,0.21,0.21,,,,,,,9.28305,3.09693,9.28305,,9.95508,,,,20.5573,6.85815,,,,,,,,,,3.8309,3.8309,,,,6.706838937728641e-05,6.706838937728641e-05,
LTS,0,,NO_CONTR_OD,,2044,,0.18,0.18,0.18,0.18,,,,,,,7.9569,2.52811,7.9569,,8.07063,,,,17.4444,5.54252,,,,,,,,,,3.1261,3.1261,,,,5.5543179608518765e-05,5.5543179608518765e-05,
LTS,0,,NO_CONTR_OD,,2045,,0.15,0.15,0.15,0.15,,,,,,,6.63075,2.00643,6.63075,,6.35987,,,,14.387,4.35343,,,,,,,,,,2.4801,2.4801,,,,4.4720756528598046e-05,4.4720756528598046e-05,
LTS,0,,NO_CONTR_OD,,2046,,0.12,0.12,0.12,0.12,,,,,,,5.3046,1.52871,5.3046,,4.81514,,,,11.4039,3.28643,,,,,,,,,,1.8889,1.8889,,,,3.456676833128352e-05,3.456676833128352e-05,
LTS,0,,NO_CONTR_OD,,2047,,0.09,0.09,0.09,0.09,,,,,,,3.97845,1.09194,3.97845,,3.41708,,,,8.47162,2.32514,,,,,,,,,,1.3487,1.3487,,,,2.5048382848756174e-05,2.5048382848756174e-05,
LTS,0,,NO_CONTR_OD,,2048,,0.06,0.06,0.06,0.06,,,,,,,2.6523,0.693293,2.6523,,2.15514,,,,5.59252,1.46185,,,,,,,,,,0.856,0.856,,,,1.613422405716984e-05,1.613422405716984e-05,
LTS,0,,NO_CONTR_OD,,2049,,0.03,0.03,0.03,0.03,,,,,,,1.32615,0.33014,1.32615,,1.01921,,,,2.76796,0.689072,,,,,,,,,,0.4075,0.4075,,,,7.794311138729392e-06,7.794311138729392e-06,
LTS,0,,OPEN_BURN,,2021,,0.3884,0.3884,0.3884,0.3884,,,,,,,,,,,32.5633,,,,33.3674,32.5633,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2022,,0.3926,0.3926,0.3926,0.3926,,,,,,,,,,,31.0253,,,,33.381,31.0253,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2023,,0.3968,0.3968,0.3968,0.3968,,,,,,,,,,,29.5514,,,,33.385,29.5514,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2024,,0.4011,0.4011,0.4011,0.4011,,,,,,,,,,,28.1422,,,,33.3827,28.1422,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2025,,0.4054,0.4054,0.4054,0.4054,,,,,,,,,,,26.7861,,,,33.3628,26.7861,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2026,,0.4086,0.4086,0.4086,0.4086,,,,,,,,,,,25.4731,,,,33.3136,25.4731,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2027,,0.4119,0.4119,0.4119,0.4119,,,,,,,,,,,24.22,,,,33.2586,24.22,,,,,,,,,,,,,,,,,
LTS,0,,OPEN_BURN,,2028,,0.4152,0.4152,0.4152,0.4152,,,,,,,,,,,23.022,,,,33.1943,23.022,,,,,,,,,,,,,,,,,
