Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
LTS,0,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,111.946,,111.946,,,,,,,,,,,,,,,139.6433,,,,0.0016868125404387,0.0016868125404387,,,
LTS,0,,DIST_DSL,,2022,,7.38626,7.38626,7.38626,7.38626,,,,,,,142.987,132.896,,132.896,,,,,,,,,,,,,,,165.7146,,,,0.0019860509598949,0.0019860509598949,,,
LTS,0,,DIST_DSL,,2023,,6.89854,6.89854,6.89854,6.89854,,,,,,,135.501,119.942,,119.942,,,,,,,,,,,,,,,149.5037,,,,0.0018184274724392,0.0018184274724392,,,
LTS,0,,DIST_DSL,,2024,,6.69988,6.69988,6.69988,6.69988,,,,,,,132.794,111.948,,111.948,,,,,,,,,,,,,,,139.4868,,,,0.001721835218822,0.001721835218822,,,
LTS,0,,DIST_DSL,,2025,,6.8642,6.8642,6.8642,6.8642,,,,,,,136.628,109.695,,109.695,,,,,,,,,,,,,,,136.628,,,,0.0017116402680525,0.0017116402680525,,,
LTS,0,,DIST_DSL,,2026,,7.0296,7.0296,7.0296,7.0296,,,,,,,139.772,106.876,,106.876,,,,,,,,,,,,,,,133.0655,,,,0.0016918139974719,0.0016918139974719,,,
LTS,0,,DIST_DSL,,2027,,7.22958,7.22958,7.22958,7.22958,,,,,,,144.811,105.456,,105.456,,,,,,,,,,,,,,,131.2478,,,,0.0016935328963478,0.0016935328963478,,,
LTS,0,,DIST_DSL,,2028,,7.2298,7.2298,7.2298,7.2298,,,,,,,146.03,101.28,,101.28,,,,,,,,,,,,,,,126.0021,,,,0.0016500375208616,0.0016500375208616,,,
LTS,0,,DIST_DSL,,2029,,7.2652,7.2652,7.2652,7.2652,,,,,,,148.957,98.3902,,98.3902,,,,,,,,,,,,,,,122.3607,,,,0.0016261938037018,0.0016261938037018,,,
LTS,0,,DIST_DSL,,2030,,7.2478,7.2478,7.2478,7.2478,,,,,,,149.742,94.1986,,94.1986,,,,,,,,,,,,,,,117.1036,,,,0.0015794819401333,0.0015794819401333,,,
LTS,0,,DIST_DSL,,2031,,7.2169,7.2169,7.2169,7.2169,,,,,,,150.921,90.4196,,90.4196,,,,,,,,,,,,,,,112.3625,,,,0.0015380850804889,0.0015380850804889,,,
LTS,0,,DIST_DSL,,2032,,7.1722,7.1722,7.1722,7.1722,,,,,,,151.417,86.397,,86.397,,,,,,,,,,,,,,,107.3227,,,,0.0014909565005641,0.0014909565005641,,,
LTS,0,,DIST_DSL,,2033,,7.0871,7.0871,7.0871,7.0871,,,,,,,151.406,82.2767,,82.2767,,,,,,,,,,,,,,,102.1658,,,,0.0014404330308759,0.0014404330308759,,,
LTS,0,,DIST_DSL,,2034,,7.0217,7.0217,7.0217,7.0217,,,,,,,151.852,78.5896,,78.5896,,,,,,,,,,,,,,,97.5502,,,,0.0013958223635613,0.0013958223635613,,,
LTS,0,,DIST_DSL,,2035,,6.9613,6.9613,6.9613,6.9613,,,,,,,151.423,74.6357,,74.6357,,,,,,,,,,,,,,,92.6072,,,,0.001344810627062,0.001344810627062,,,
LTS,0,,DIST_DSL,,2036,,6.8955,6.8955,6.8955,6.8955,,,,,,,150.933,70.8516,,70.8516,,,,,,,,,,,,,,,87.8784,,,,0.0012951293359913,0.0012951293359913,,,
LTS,0,,DIST_DSL,,2037,,6.8274,6.8274,6.8274,6.8274,,,,,,,152.596,68.2212,,68.2212,,,,,,,,,,,,,,,84.5837,,,,0.001265120042898,0.001265120042898,,,
LTS,0,,DIST_DSL,,2038,,6.7546,6.7546,6.7546,6.7546,,,,,,,151.394,64.4609,,64.4609,,,,,,,,,,,,,,,79.8909,,,,0.0012127098371748,0.0012127098371748,,,
LTS,0,,DIST_DSL,,2039,,6.7169,6.7169,6.7169,6.7169,,,,,,,150.549,61.0487,,61.0487,,,,,,,,,,,,,,,75.6331,,,,0.0011651605238303,0.0011651605238303,,,
LTS,0,,DIST_DSL,,2040,,6.676,6.676,6.676,6.676,,,,,,,149.633,57.7876,,57.7876,,,,,,,,,,,,,,,71.566,,,,0.0011189093949144,0.0011189093949144,,,
