Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,32,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
BAU,32,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
BAU,32,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
BAU,32,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
BAU,32,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,138.179,122.192,,,122.192,,,,,,138.179,,Energy
BAU,32,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,140.027,120.489,,,120.489,,,,,,133.359,,Energy
BAU,32,,DIST_DSL,,2027,,7.08932,7.08932,7.08932,7.08932,,,,139.99,117.21,,,117.21,,,,,,126.9751,,Energy
BAU,32,,DIST_DSL,,2028,,7.18231,7.18231,7.18231,7.18231,,,,141.335,115.147,,,115.147,,,,,,122.0905,,Energy
BAU,32,,DIST_DSL,,2029,,7.2702,7.2702,7.2702,7.2702,,,,142.567,113.02,,,113.02,,,,,,117.2902,,Energy
BAU,32,,DIST_DSL,,2030,,7.36155,7.36155,7.36155,7.36155,,,,143.855,110.967,,,110.967,,,,,,112.7142,,Energy
BAU,32,,DIST_DSL,,2031,,7.47525,7.47525,7.47525,7.47525,,,,145.566,109.261,,,109.261,,,,,,108.6236,,Energy
BAU,32,,DIST_DSL,,2032,,7.58038,7.58038,7.58038,7.58038,,,,147.095,107.432,,,107.432,,,,,,104.5377,,Energy
BAU,32,,DIST_DSL,,2033,,7.68473,7.68473,7.68473,7.68473,,,,148.594,105.602,,,105.602,,,,,,100.5743,,Energy
BAU,32,,DIST_DSL,,2034,,7.78094,7.78094,7.78094,7.78094,,,,149.922,103.674,,,103.674,,,,,,96.6411,,Energy
BAU,32,,DIST_DSL,,2035,,7.87505,7.87505,7.87505,7.87505,,,,151.197,101.737,,,101.737,,,,,,92.8218,,Energy
BAU,32,,DIST_DSL,,2036,,8.02161,8.02161,8.02161,8.02161,,,,153.462,100.478,,,100.478,,,,,,89.7261,,Energy
BAU,32,,DIST_DSL,,2037,,8.19564,8.19564,8.19564,8.19564,,,,156.231,99.5342,,,99.5342,,,,,,86.9953,,Energy
