Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,87,,COMPOST,,2026,,0.0142925,0.0142925,0.0142925,0.0142925,,,0.525248,0.357475,,,0.900426,0.589681,0.900426,,0.400157,,,,-0.835252,-0.546999,,,,,,,,0.5,,0.8572,0.8572,,nan,,nan,nan,
LTS,87,,COMPOST,,2027,,0.0285428,0.0285428,0.0285428,0.0285428,,,1.04895,0.661015,,,1.7982,1.09039,1.7982,,0.739939,,,,-1.66804,-1.01147,,,,,,,,0.9507,,1.6298,1.6298,,nan,,nan,nan,
LTS,87,,COMPOST,,2028,,0.0428488,0.0428488,0.0428488,0.0428488,,,1.57469,0.918818,,,2.69947,1.51566,2.69947,,1.02852,,,,-2.50408,-1.40595,,,,,,,,1.3587,,2.3292,2.3292,,nan,,nan,nan,
LTS,87,,COMPOST,,2029,,0.0570118,0.0570118,0.0570118,0.0570118,,,2.09518,1.13196,,,3.59175,1.86725,3.59175,,1.26712,,,,-3.33177,-1.7321,,,,,,,,1.7211,,2.9504,2.9504,,nan,,nan,nan,
LTS,87,,COMPOST,,2030,,0.0711392,0.0711392,0.0711392,0.0711392,,,2.61437,1.30783,,,4.48177,2.15737,4.48177,,1.46399,,,,-4.15738,-2.00121,,,,,,,,2.0445,,3.5049,3.5049,,nan,,nan,nan,
LTS,87,,COMPOST,,2031,,0.085402,0.085402,0.085402,0.085402,,,3.13853,1.45374,,,5.38033,2.39806,5.38033,,1.62732,,,,-4.9909,-2.22448,,,,,,,,2.3367,,4.0057,4.0057,,nan,,nan,nan,
LTS,87,,COMPOST,,2032,,0.0996825,0.0996825,0.0996825,0.0996825,,,3.66333,1.57114,,,6.28,2.59171,6.28,,1.75873,,,,-5.82544,-2.40412,,,,,,,,2.5965,,4.4512,4.4512,,nan,,nan,nan,
LTS,87,,COMPOST,,2033,,0.11398,0.11398,0.11398,0.11398,,,4.18877,1.66342,,,7.18075,2.74393,7.18075,,1.86203,,,,-6.661,-2.54532,,,,,,,,2.8265,,4.8454,4.8454,,nan,,nan,nan,
LTS,87,,COMPOST,,2034,,0.128395,0.128395,0.128395,0.128395,,,4.71853,1.73499,,,8.0889,2.86199,8.0889,,1.94215,,,,-7.50342,-2.65484,,,,,,,,3.0312,,5.1963,5.1963,,nan,,nan,nan,
LTS,87,,COMPOST,,2035,,0.142727,0.142727,0.142727,0.142727,,,5.24521,1.78579,,,8.99179,2.94579,8.99179,,1.99901,,,,-8.34095,-2.73257,,,,,,,,3.2079,,5.4992,5.4992,,nan,,nan,nan,
LTS,87,,COMPOST,,2036,,0.157374,0.157374,0.157374,0.157374,,,5.78351,1.8232,,,9.91458,3.0075,9.91458,,2.04089,,,,-9.19696,-2.78982,,,,,,,,3.3674,,5.7726,5.7726,,nan,,nan,nan,
LTS,87,,COMPOST,,2037,,0.172091,0.172091,0.172091,0.172091,,,6.32433,1.84601,,,10.8417,3.04513,10.8417,,2.06642,,,,-10.057,-2.82472,,,,,,,,3.5056,,6.0095,6.0095,,nan,,nan,nan,
LTS,87,,COMPOST,,2038,,0.186875,0.186875,0.186875,0.186875,,,6.86764,1.85611,,,11.7731,3.06179,11.7731,,2.07773,,,,-10.921,-2.84017,,,,,,,,3.6241,,6.2127,6.2127,,nan,,nan,nan,
LTS,87,,COMPOST,,2039,,0.201827,0.201827,0.201827,0.201827,,,7.41716,1.85614,,,12.7151,3.06183,12.7151,,2.07775,,,,-11.7948,-2.84021,,,,,,,,3.7262,,6.3878,6.3878,,nan,,nan,nan,
LTS,87,,COMPOST,,2040,,0.216745,0.216745,0.216745,0.216745,,,7.96539,1.84568,,,13.655,3.04458,13.655,,2.06605,,,,-12.6666,-2.82421,,,,,,,,3.8097,,6.5309,6.5309,,nan,,nan,nan,
LTS,87,,COMPOST,,2041,,0.23211,0.23211,0.23211,0.23211,,,8.53003,1.8301,,,14.6229,3.01889,14.6229,,2.04861,,,,-13.5645,-2.80038,,,,,,,,3.884,,6.6582,6.6582,,nan,,nan,nan,
LTS,87,,COMPOST,,2042,,0.247606,0.247606,0.247606,0.247606,,,9.09954,1.80768,,,15.5992,2.98189,15.5992,,2.02351,,,,-14.4701,-2.76606,,,,,,,,3.9445,,6.762,6.762,,nan,,nan,nan,
LTS,87,,COMPOST,,2043,,0.263197,0.263197,0.263197,0.263197,,,9.6725,1.77917,,,16.5814,2.93486,16.5814,,1.99159,,,,-15.3813,-2.72243,,,,,,,,3.9917,,6.8428,6.8428,,nan,,nan,nan,
LTS,87,,COMPOST,,2044,,0.2789,0.2789,0.2789,0.2789,,,10.2496,1.74566,,,17.5707,2.87959,17.5707,,1.95409,,,,-16.2989,-2.67116,,,,,,,,4.0269,,6.9032,6.9032,,nan,,nan,nan,
LTS,87,,COMPOST,,2045,,0.29484,0.29484,0.29484,0.29484,,,10.8354,1.70873,,,18.5749,2.81868,18.5749,,1.91275,,,,-17.2305,-2.61466,,,,,,,,4.0528,,6.9476,6.9476,,nan,,nan,nan,
LTS,87,,COMPOST,,2046,,0.311224,0.311224,0.311224,0.311224,,,11.4375,1.67008,,,19.6071,2.75492,19.6071,,1.86948,,,,-18.188,-2.55551,,,,,,,,4.0727,,6.9818,6.9818,,nan,,nan,nan,
LTS,87,,COMPOST,,2047,,0.327791,0.327791,0.327791,0.327791,,,12.0463,1.62868,,,20.6508,2.68663,20.6508,,1.82314,,,,-19.1561,-2.49217,,,,,,,,4.0837,,7.0006,7.0006,,nan,,nan,nan,
LTS,87,,COMPOST,,2048,,0.344489,0.344489,0.344489,0.344489,,,12.66,1.58486,,,21.7028,2.61435,21.7028,,1.77409,,,,-20.132,-2.42512,,,,,,,,4.0858,,7.0042,7.0042,,nan,,nan,nan,
LTS,87,,COMPOST,,2049,,0.361345,0.361345,0.361345,0.361345,,,13.2794,1.53927,,,22.7647,2.53913,22.7647,,1.72305,,,,-21.117,-2.35535,,,,,,,,4.08,,6.9944,6.9944,,nan,,nan,nan,
LTS,87,,COMPOST,,2050,,0.378492,0.378492,0.378492,0.378492,,,13.9096,1.49288,,,23.845,2.46261,23.845,,1.67113,,,,-22.1191,-2.28437,,,,,,,,4.0686,,6.9748,6.9748,,nan,,nan,nan,
LTS,87,,COMPOST,,2051,,0.395661,0.395661,0.395661,0.395661,,,14.5405,1.445,,,24.9267,2.38363,24.9267,,1.61753,,,,-23.1224,-2.2111,,,,,,,,4.0491,,6.9413,6.9413,,nan,,nan,nan,
LTS,87,,COMPOST,,2052,,0.412987,0.412987,0.412987,0.412987,,,15.1773,1.39655,,,26.0181,2.30371,26.0181,,1.5633,,,,-24.1349,-2.13697,,,,,,,,4.0236,,6.8976,6.8976,,nan,,nan,nan,
LTS,87,,COMPOST,,2053,,0.430501,0.430501,0.430501,0.430501,,,15.8209,1.34794,,,27.1216,2.22353,27.1216,,1.50888,,,,-25.1585,-2.06259,,,,,,,,3.993,,6.8452,6.8452,,nan,,nan,nan,
LTS,87,,COMPOST,,2054,,0.448139,0.448139,0.448139,0.448139,,,16.4691,1.29923,,,28.2327,2.14317,28.2327,,1.45435,,,,-26.1892,-1.98805,,,,,,,,3.9572,,6.7837,6.7837,,nan,,nan,nan,
LTS,87,,COMPOST,,2055,,0.465968,0.465968,0.465968,0.465968,,,17.1243,1.25085,,,29.356,2.06337,29.356,,1.4002,,,,-27.2312,-1.91402,,,,,,,,3.9172,,6.7151,6.7151,,nan,,nan,nan,
LTS,87,,LANDFILL,,2026,,0.021942,0.021942,0.021942,0.021942,,,0.115195,0.0784,,,1.45837,0.955076,1.45837,,1.03348,,,,,,,,,,,,,0.1097,,1.3884,1.3884,,nan,,nan,nan,
LTS,87,,LANDFILL,,2027,,0.0439197,0.0439197,0.0439197,0.0439197,,,0.230579,0.145304,,,2.91913,1.7701,2.91913,,1.91541,,,,5.87897e-09,3.55067e-09,,,,,,,,0.209,,2.6457,2.6457,,nan,,nan,nan,
LTS,87,,LANDFILL,,2028,,0.0658286,0.0658286,0.0658286,0.0658286,,,0.3456,0.201654,,,4.3753,2.45657,4.3753,,2.65823,,,,-4.48199e-09,-2.51748e-09,,,,,,,,0.2982,,3.7752,3.7752,,nan,,nan,nan,
LTS,87,,LANDFILL,,2029,,0.0875718,0.0875718,0.0875718,0.0875718,,,0.459752,0.24839,,,5.82046,3.0259,5.82046,,3.27429,,,,-2.01981e-08,-1.04919e-08,,,,,,,,0.3777,,4.7812,4.7812,,nan,,nan,nan,
LTS,87,,LANDFILL,,2030,,0.10926,0.10926,0.10926,0.10926,,,0.573616,0.286951,,,7.26198,3.49566,7.26198,,3.78261,,,,3.40515e-09,1.64437e-09,,,,,,,,0.4486,,5.6791,5.6791,,nan,,nan,nan,
