Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,99,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
BAU,99,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
BAU,99,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
BAU,99,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
BAU,99,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,138.179,122.192,,,122.192,,,,,,138.179,,Energy
BAU,99,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,142.904,122.964,,,122.964,,,,,,136.099,,Energy
BAU,99,,DIST_DSL,,2027,,7.03889,7.03889,7.03889,7.03889,,,,144.725,121.175,,,121.175,,,,,,131.2698,,Energy
BAU,99,,DIST_DSL,,2028,,7.08197,7.08197,7.08197,7.08197,,,,148.01,120.585,,,120.585,,,,,,127.8566,,Energy
BAU,99,,DIST_DSL,,2029,,7.11738,7.11738,7.11738,7.11738,,,,151.16,119.832,,,119.832,,,,,,124.3597,,Energy
BAU,99,,DIST_DSL,,2030,,7.15394,7.15394,7.15394,7.15394,,,,154.36,119.07,,,119.07,,,,,,120.9451,,Energy
BAU,99,,DIST_DSL,,2031,,7.20994,7.20994,7.20994,7.20994,,,,158.01,118.601,,,118.601,,,,,,117.9095,,Energy
BAU,99,,DIST_DSL,,2032,,7.25831,7.25831,7.25831,7.25831,,,,161.529,117.975,,,117.975,,,,,,114.7956,,Energy
BAU,99,,DIST_DSL,,2033,,7.30566,7.30566,7.30566,7.30566,,,,165.057,117.302,,,117.302,,,,,,111.7171,,Energy
BAU,99,,DIST_DSL,,2034,,7.34703,7.34703,7.34703,7.34703,,,,168.481,116.507,,,116.507,,,,,,108.6044,,Energy
BAU,99,,DIST_DSL,,2035,,7.38534,7.38534,7.38534,7.38534,,,,171.861,115.642,,,115.642,,,,,,105.5077,,Energy
BAU,99,,DIST_DSL,,2036,,7.49512,7.49512,7.49512,7.49512,,,,176.954,115.859,,,115.859,,,,,,103.4613,,Energy
BAU,99,,DIST_DSL,,2037,,7.59119,7.59119,7.59119,7.59119,,,,181.793,115.82,,,115.82,,,,,,101.2291,,Energy
BAU,99,,DIST_DSL,,2038,,7.66334,7.66334,7.66334,7.66334,,,,186.116,115.378,,,115.378,,,,,,98.7013,,Energy
BAU,99,,DIST_DSL,,2039,,7.72917,7.72917,7.72917,7.72917,,,,190.333,114.812,,,114.812,,,,,,96.1311,,Energy
BAU,99,,DIST_DSL,,2040,,7.78999,7.78999,7.78999,7.78999,,,,194.469,114.145,,,114.145,,,,,,93.5429,,Energy
BAU,99,,DIST_DSL,,2041,,7.95807,7.95807,7.95807,7.95807,,,,201.361,115.004,,,115.004,,,,,,92.2458,,Energy
BAU,99,,DIST_DSL,,2042,,8.11656,8.11656,8.11656,8.11656,,,,208.12,115.661,,,115.661,,,,,,90.8021,,Energy
BAU,99,,DIST_DSL,,2043,,8.27176,8.27176,8.27176,8.27176,,,,214.901,116.211,,,116.211,,,,,,89.2958,,Energy
BAU,99,,DIST_DSL,,2044,,8.41857,8.41857,8.41857,8.41857,,,,221.567,116.586,,,116.586,,,,,,87.6816,,Energy
BAU,99,,DIST_DSL,,2045,,8.56035,8.56035,8.56035,8.56035,,,,228.198,116.839,,,116.839,,,,,,86.0054,,Energy
BAU,99,,DIST_DSL,,2046,,8.7318,8.7318,8.7318,8.7318,,,,235.726,117.44,,,117.44,,,,,,84.612,,Energy
BAU,99,,DIST_DSL,,2047,,8.90421,8.90421,8.90421,8.90421,,,,243.397,117.993,,,117.993,,,,,,83.2052,,Energy
BAU,99,,DIST_DSL,,2048,,9.07237,9.07237,9.07237,9.07237,,,,251.066,118.43,,,118.43,,,,,,81.7399,,Energy
BAU,99,,DIST_DSL,,2049,,9.23351,9.23351,9.23351,9.23351,,,,258.653,118.721,,,118.721,,,,,,80.2,,Energy
BAU,99,,DIST_DSL,,2050,,9.38677,9.38677,9.38677,9.38677,,,,266.125,118.858,,,118.858,,,,,,78.5875,,Energy
BAU,99,,DIST_DSL,,2051,,9.54386,9.54386,9.54386,9.54386,,,,273.811,118.995,,,118.995,,,,,,77.0068,,Energy
BAU,99,,DIST_DSL,,2052,,9.6998,9.6998,9.6998,9.6998,,,,281.571,119.069,,,119.069,,,,,,75.4183,,Energy
BAU,99,,DIST_DSL,,2053,,9.85808,9.85808,9.85808,9.85808,,,,289.504,119.124,,,119.124,,,,,,73.8506,,Energy
BAU,99,,DIST_DSL,,2054,,10.0143,10.0143,10.0143,10.0143,,,,297.485,119.108,,,119.108,,,,,,72.2729,,Energy
BAU,99,,DIST_DSL,,2055,,10.1715,10.1715,10.1715,10.1715,,,,305.599,119.059,,,119.059,,,,,,70.7087,,Energy
BAU,99,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,388.333,383.064,,,383.064,,,,,,472.0212,,Energy
BAU,99,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.922,454.891,,,454.891,,,,,,548.624,,Energy
BAU,99,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,404.916,,,404.916,,,,,,477.9801,,Energy
BAU,99,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.721,365.993,,,365.993,,,,,,422.8571,,Energy
BAU,99,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,340.38,,,340.38,,,,,,384.913,,Energy
BAU,99,,DIST_GSL,,2026,,21.7438,21.7438,21.7438,21.7438,,,,393.565,338.65,,,338.65,,,,,,374.8238,,Energy
BAU,99,,DIST_GSL,,2027,,21.9967,21.9967,21.9967,21.9967,,,,403.949,338.217,,,338.217,,,,,,366.3937,,Energy
BAU,99,,DIST_GSL,,2028,,22.2558,22.2558,22.2558,22.2558,,,,414.58,337.762,,,337.762,,,,,,358.1298,,Energy
BAU,99,,DIST_GSL,,2029,,22.5103,22.5103,22.5103,22.5103,,,,425.264,337.128,,,337.128,,,,,,349.8657,,Energy
BAU,99,,DIST_GSL,,2030,,22.7505,22.7505,22.7505,22.7505,,,,435.809,336.175,,,336.175,,,,,,341.4678,,Energy
BAU,99,,DIST_GSL,,2031,,23.0244,23.0244,23.0244,23.0244,,,,447.133,335.614,,,335.614,,,,,,333.6575,,Energy
BAU,99,,DIST_GSL,,2032,,23.2914,23.2914,23.2914,23.2914,,,,458.467,334.846,,,334.846,,,,,,325.8239,,Energy
BAU,99,,DIST_GSL,,2033,,23.5435,23.5435,23.5435,23.5435,,,,469.644,333.764,,,333.764,,,,,,317.8735,,Energy
BAU,99,,DIST_GSL,,2034,,23.7903,23.7903,23.7903,23.7903,,,,480.847,332.515,,,332.515,,,,,,309.9583,,Energy
BAU,99,,DIST_GSL,,2035,,24.0258,24.0258,24.0258,24.0258,,,,491.951,331.024,,,331.024,,,,,,302.0152,,Energy
BAU,99,,DIST_GSL,,2036,,24.3363,24.3363,24.3363,24.3363,,,,504.732,330.47,,,330.47,,,,,,295.1063,,Energy
BAU,99,,DIST_GSL,,2037,,24.6432,24.6432,24.6432,24.6432,,,,517.602,329.763,,,329.763,,,,,,288.2202,,Energy
BAU,99,,DIST_GSL,,2038,,24.9577,24.9577,24.9577,24.9577,,,,530.796,329.053,,,329.053,,,,,,281.4925,,Energy
BAU,99,,DIST_GSL,,2039,,25.2629,25.2629,25.2629,25.2629,,,,543.955,328.122,,,328.122,,,,,,274.7342,,Energy
BAU,99,,DIST_GSL,,2040,,25.5559,25.5559,25.5559,25.5559,,,,557.011,326.941,,,326.941,,,,,,267.9318,,Energy
BAU,99,,DIST_GSL,,2041,,26.0263,26.0263,26.0263,26.0263,,,,574.134,327.909,,,327.909,,,,,,263.0174,,Energy
