Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,28,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
LTS,28,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
LTS,28,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
LTS,28,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
LTS,28,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,136.627,120.82,,,120.82,,,,,,136.627,,Energy
LTS,28,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,142.164,122.328,,,122.328,,,,,,135.3943,,Energy
LTS,28,,DIST_DSL,,2027,,7.32634,7.32634,7.32634,7.32634,,,,150.658,126.142,,,126.142,,,,,,136.6512,,Energy
LTS,28,,DIST_DSL,,2028,,7.51959,7.51959,7.51959,7.51959,,,,157.191,128.065,,,128.065,,,,,,135.7875,,Energy
LTS,28,,DIST_DSL,,2029,,7.76395,7.76395,7.76395,7.76395,,,,164.941,130.757,,,130.757,,,,,,135.6974,,Energy
LTS,28,,DIST_DSL,,2030,,7.96701,7.96701,7.96701,7.96701,,,,171.965,132.651,,,132.651,,,,,,134.7391,,Energy
LTS,28,,DIST_DSL,,2031,,7.87984,7.87984,7.87984,7.87984,,,,172.766,129.676,,,129.676,,,,,,128.9206,,Energy
LTS,28,,DIST_DSL,,2032,,7.77406,7.77406,7.77406,7.77406,,,,173.092,126.419,,,126.419,,,,,,123.0133,,Energy
LTS,28,,DIST_DSL,,2033,,7.62759,7.62759,7.62759,7.62759,,,,172.426,122.538,,,122.538,,,,,,116.7047,,Energy
LTS,28,,DIST_DSL,,2034,,7.50374,7.50374,7.50374,7.50374,,,,172.179,119.065,,,119.065,,,,,,110.9881,,Energy
LTS,28,,DIST_DSL,,2035,,7.38494,7.38494,7.38494,7.38494,,,,171.966,115.713,,,115.713,,,,,,105.5722,,Energy
LTS,28,,DIST_DSL,,2036,,7.26072,7.26072,7.26072,7.26072,,,,171.545,112.318,,,112.318,,,,,,100.2988,,Energy
LTS,28,,DIST_DSL,,2037,,7.13702,7.13702,7.13702,7.13702,,,,171.05,108.975,,,108.975,,,,,,95.247,,Energy
LTS,28,,DIST_DSL,,2038,,7.01172,7.01172,7.01172,7.01172,,,,170.433,105.656,,,105.656,,,,,,90.3843,,Energy
LTS,28,,DIST_DSL,,2039,,6.92182,6.92182,6.92182,6.92182,,,,170.604,102.911,,,102.911,,,,,,86.1666,,Energy
LTS,28,,DIST_DSL,,2040,,6.82504,6.82504,6.82504,6.82504,,,,170.54,100.1,,,100.1,,,,,,82.0327,,Energy
LTS,28,,DIST_DSL,,2041,,6.86822,6.86822,6.86822,6.86822,,,,173.956,99.3527,,,99.3527,,,,,,79.6912,,Energy
LTS,28,,DIST_DSL,,2042,,6.87121,6.87121,6.87121,6.87121,,,,176.37,98.0163,,,98.0163,,,,,,76.9496,,Energy
LTS,28,,DIST_DSL,,2043,,6.91092,6.91092,6.91092,6.91092,,,,179.741,97.197,,,97.197,,,,,,74.6861,,Energy
LTS,28,,DIST_DSL,,2044,,6.91369,6.91369,6.91369,6.91369,,,,182.165,95.8532,,,95.8532,,,,,,72.0889,,Energy
LTS,28,,DIST_DSL,,2045,,6.90293,6.90293,6.90293,6.90293,,,,184.231,94.3272,,,94.3272,,,,,,69.4347,,Energy
LTS,28,,DIST_DSL,,2046,,6.89709,6.89709,6.89709,6.89709,,,,186.421,92.8761,,,92.8761,,,,,,66.9144,,Energy
LTS,28,,DIST_DSL,,2047,,6.89172,6.89172,6.89172,6.89172,,,,188.622,91.4393,,,91.4393,,,,,,64.4804,,Energy
LTS,28,,DIST_DSL,,2048,,6.88599,6.88599,6.88599,6.88599,,,,190.808,90.0061,,,90.0061,,,,,,62.1216,,Energy
LTS,28,,DIST_DSL,,2049,,6.86322,6.86322,6.86322,6.86322,,,,192.512,88.3622,,,88.3622,,,,,,59.6918,,Energy
LTS,28,,DIST_DSL,,2050,,6.82239,6.82239,6.82239,6.82239,,,,193.688,86.5059,,,86.5059,,,,,,57.1966,,Energy
LTS,28,,DIST_DSL,,2051,,6.80937,6.80937,6.80937,6.80937,,,,195.636,85.0207,,,85.0207,,,,,,55.0208,,Energy
LTS,28,,DIST_DSL,,2052,,6.79985,6.79985,6.79985,6.79985,,,,197.676,83.592,,,83.592,,,,,,52.9472,,Energy
LTS,28,,DIST_DSL,,2053,,6.79138,6.79138,6.79138,6.79138,,,,199.741,82.1883,,,82.1883,,,,,,50.9527,,Energy
LTS,28,,DIST_DSL,,2054,,6.77273,6.77273,6.77273,6.77273,,,,201.497,80.6761,,,80.6761,,,,,,48.953,,Energy
LTS,28,,DIST_DSL,,2055,,6.73525,6.73525,6.73525,6.73525,,,,202.674,78.9602,,,78.9602,,,,,,46.8942,,Energy
LTS,28,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,388.333,383.064,,,383.064,,,,,,472.0212,,Energy
LTS,28,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,473.922,454.891,,,454.891,,,,,,548.624,,Energy
LTS,28,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,433.542,404.916,,,404.916,,,,,,477.9801,,Energy
LTS,28,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,402.721,365.993,,,365.993,,,,,,422.8571,,Energy
LTS,28,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,384.913,340.38,,,340.38,,,,,,384.913,,Energy
LTS,28,,DIST_GSL,,2026,,19.1405,19.1405,19.1405,19.1405,,,,346.469,298.126,,,298.126,,,,,,329.9705,,Energy
LTS,28,,DIST_GSL,,2027,,17.4448,17.4448,17.4448,17.4448,,,,320.405,268.267,,,268.267,,,,,,290.6168,,Energy
LTS,28,,DIST_GSL,,2028,,15.7873,15.7873,15.7873,15.7873,,,,294.151,239.647,,,239.647,,,,,,254.0987,,Energy
LTS,28,,DIST_GSL,,2029,,14.1642,14.1642,14.1642,14.1642,,,,267.667,212.192,,,212.192,,,,,,220.2103,,Energy
LTS,28,,DIST_GSL,,2030,,12.5864,12.5864,12.5864,12.5864,,,,241.189,186.049,,,186.049,,,,,,188.9779,,Energy
LTS,28,,DIST_GSL,,2031,,12.1935,12.1935,12.1935,12.1935,,,,236.897,177.813,,,177.813,,,,,,176.7762,,Energy
LTS,28,,DIST_GSL,,2032,,11.7921,11.7921,11.7921,11.7921,,,,232.227,169.609,,,169.609,,,,,,165.0394,,Energy
LTS,28,,DIST_GSL,,2033,,11.4111,11.4111,11.4111,11.4111,,,,227.751,161.857,,,161.857,,,,,,154.1508,,Energy
LTS,28,,DIST_GSL,,2034,,10.9919,10.9919,10.9919,10.9919,,,,222.3,153.725,,,153.725,,,,,,143.2966,,Energy
LTS,28,,DIST_GSL,,2035,,10.5558,10.5558,10.5558,10.5558,,,,216.282,145.532,,,145.532,,,,,,132.7784,,Energy
LTS,28,,DIST_GSL,,2036,,10.2082,10.2082,10.2082,10.2082,,,,211.868,138.719,,,138.719,,,,,,123.8748,,Energy
LTS,28,,DIST_GSL,,2037,,9.83832,9.83832,9.83832,9.83832,,,,206.801,131.752,,,131.752,,,,,,115.1545,,Energy
LTS,28,,DIST_GSL,,2038,,9.38797,9.38797,9.38797,9.38797,,,,199.827,123.877,,,123.877,,,,,,105.9725,,Energy
LTS,28,,DIST_GSL,,2039,,8.94021,8.94021,8.94021,8.94021,,,,192.668,116.22,,,116.22,,,,,,97.3104,,Energy
LTS,28,,DIST_GSL,,2040,,8.47804,8.47804,8.47804,8.47804,,,,184.957,108.562,,,108.562,,,,,,88.9675,,Energy
