Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
BAU,31,2021,DIST_DSL,,,9.3170296,,,,,,,,,,,,,9.3170296,,,,,9.3170296,,,9.3170296,,,,,,
BAU,31,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
BAU,31,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
BAU,31,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
BAU,31,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
BAU,31,2026,DIST_DSL,,,11.139703,,,,,,,,,,,,,11.139703,,,,,11.139703,,,11.139703,,,,,,
BAU,31,2027,DIST_DSL,,,11.212283,,,,,,,,,,,,,11.212283,,,,,11.212283,,,11.212283,,,,,,
BAU,31,2028,DIST_DSL,,,11.358435,,,,,,,,,,,,,11.358435,,,,,11.358435,,,11.358435,,,,,,
BAU,31,2029,DIST_DSL,,,11.506438,,,,,,,,,,,,,11.506438,,,,,11.506438,,,11.506438,,,,,,
BAU,31,2030,DIST_DSL,,,11.657466,,,,,,,,,,,,,11.657466,,,,,11.657466,,,11.657466,,,,,,
BAU,31,2031,DIST_DSL,,,11.830069,,,,,,,,,,,,,11.830069,,,,,11.830069,,,11.830069,,,,,,
BAU,31,2032,DIST_DSL,,,11.998323,,,,,,,,,,,,,11.998323,,,,,11.998323,,,11.998323,,,,,,
BAU,31,2033,DIST_DSL,,,12.165347,,,,,,,,,,,,,12.165347,,,,,12.165347,,,12.165347,,,,,,
BAU,31,2034,DIST_DSL,,,12.329691,,,,,,,,,,,,,12.329691,,,,,12.329691,,,12.329691,,,,,,
BAU,31,2035,DIST_DSL,,,12.492194,,,,,,,,,,,,,12.492194,,,,,12.492194,,,12.492194,,,,,,
BAU,31,2036,DIST_DSL,,,12.700486,,,,,,,,,,,,,12.700486,,,,,12.700486,,,12.700486,,,,,,
BAU,31,2037,DIST_DSL,,,12.956373,,,,,,,,,,,,,12.956373,,,,,12.956373,,,12.956373,,,,,,
BAU,31,2038,DIST_DSL,,,13.160826,,,,,,,,,,,,,13.160826,,,,,13.160826,,,13.160826,,,,,,
BAU,31,2039,DIST_DSL,,,13.363134,,,,,,,,,,,,,13.363134,,,,,13.363134,,,13.363134,,,,,,
BAU,31,2040,DIST_DSL,,,13.562323,,,,,,,,,,,,,13.562323,,,,,13.562323,,,13.562323,,,,,,
BAU,31,2041,DIST_DSL,,,13.886774,,,,,,,,,,,,,13.886774,,,,,13.886774,,,13.886774,,,,,,
BAU,31,2042,DIST_DSL,,,14.210533,,,,,,,,,,,,,14.210533,,,,,14.210533,,,14.210533,,,,,,
BAU,31,2043,DIST_DSL,,,14.534102,,,,,,,,,,,,,14.534102,,,,,14.534102,,,14.534102,,,,,,
BAU,31,2044,DIST_DSL,,,14.857506,,,,,,,,,,,,,14.857506,,,,,14.857506,,,14.857506,,,,,,
BAU,31,2045,DIST_DSL,,,15.181912,,,,,,,,,,,,,15.181912,,,,,15.181912,,,15.181912,,,,,,
