Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit,DistanceDriven,UnitCapitalCost (USD),UnitFixedCost (USD),BiofuelShares,FilterFuelType,FilterVehicleType
0,0,BAU,E5COMGSL,,,,2041.0,0.1477703546952024,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2042.0,0.1480868224707056,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2043.0,0.1484032902462088,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2044.0,0.148719758021712,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2045.0,0.1490362257972152,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2046.0,0.1493874567370935,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2047.0,0.1497386876769719,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2048.0,0.1500899186168503,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2049.0,0.1504411495567287,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2050.0,0.150792380496607,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2051.0,0.151144431445994,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2052.0,0.151497304319344,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2053.0,0.1518510010355808,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2054.0,0.1522055235181087,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMGSL,,,,2055.0,0.152560873694822,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2021.0,1.91854,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2022.0,2.26681,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2023.0,2.36457,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2024.0,2.368224118842126,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2025.0,2.3718782376842524,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2026.0,2.3751219504522645,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2027.0,2.3783656632202765,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2028.0,2.3816093759882886,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2029.0,2.3848530887563006,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2030.0,2.3880968015243136,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2031.0,2.3917130974658605,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2032.0,2.395329393407408,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2033.0,2.398945689348954,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2034.0,2.4025619852905007,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2035.0,2.406178281232047,,,,,,,,,,,,,,,,,,,,
0,0,BAU,E5COMLPG,,,,2036.0,2.410599256797753,,,,,,,,,,,,,,,,,,,,
